"","city_lms_name","floor","no_rooms","one_rooms","two_rooms","three_rooms","four_rooms","five_rooms","six_rooms","seven_rooms","eight_rooms","nine_rooms","ten_rooms","more_rooms"
"62","Zefat",4,0,0,28,32,6,0,0,0,0,0,0,0
"63","Eli",1,0,0,0,32,0,0,0,0,0,0,0,0
"64","Eilat",10,0,0,0,0,1,0,0,0,0,0,0,0
"65","Nof Hagalil",8,0,0,4,13,2,0,0,0,0,0,0,0
"66","Netanya",5,0,0,3,20,10,1,0,0,0,0,0,0
"67","Tel Mond",3,0,0,0,2,1,0,0,0,0,0,0,0
"68","Yehud",9,0,0,0,0,1,0,0,0,0,0,0,0
"69","Tirat Carmel",1,0,45,90,73,14,0,0,0,0,0,0,0
"70","Yakneam Alit",4,0,1,7,6,1,0,0,0,0,0,0,0
"71","Afula",10,0,0,0,3,0,0,0,0,0,0,0,0
"72","Rekhasim",2,0,0,3,1,3,0,0,0,0,0,0,0
"73","Ramat Hasharon",7,0,0,0,0,2,0,0,0,0,0,0,0
"74","Rosh Pinna",2,0,0,0,7,0,0,0,0,0,0,0,0
"75","Pardes Hana",2,0,7,20,11,1,1,0,0,0,0,0,0
"76","Zefat",9,0,0,1,15,3,0,0,0,0,0,0,0
"77","Ramat Hasharon",13,0,0,0,0,2,0,0,0,0,0,0,0
"78","Eilat",7,0,0,0,3,2,0,0,0,0,0,0,0
"79","Kiryat Bialik",2,0,38,48,25,3,1,0,0,0,0,0,0
"80","Beitar Illit",0,0,0,0,2,3,1,0,0,0,0,0,0
"81","Afula",4,0,2,57,106,14,1,1,0,0,0,0,0
"82","Yakneam Alit",1,0,5,17,9,5,1,0,0,0,0,0,0
"83","Ma'ale Levona",1,0,0,0,3,0,0,0,0,0,0,0,0
"84","Tel Aviv Jaffa",11,0,0,0,1,1,0,0,0,0,0,0,0
"85","Netanya",2,0,13,38,112,32,8,0,0,0,0,0,0
"86","Ramat Hasharon",10,0,0,0,0,1,0,0,0,0,0,0,0
"87","Afula",7,0,0,32,21,3,0,0,0,0,0,0,0
"88","Ramat Hasharon",4,0,0,6,4,1,0,0,0,0,0,0,0
"89","Eilat",4,0,0,8,27,7,0,0,0,0,0,0,0
"90","Sdei Avraham",0,0,0,0,2,0,0,0,0,0,0,0,0
"91","Acre",2,0,38,87,74,12,0,0,0,0,0,0,0
"92","Gadida-Makr",1,0,0,10,14,0,0,0,0,0,0,0,0
"93","Argaman",1,0,0,0,1,0,0,0,0,0,0,0,0
"94","Azur",2,0,0,0,9,1,0,0,0,0,0,0,0
"95","Kiryat Arba",4,0,1,0,21,8,0,0,0,0,0,0,0
"96","Jerusalem",10,0,0,0,3,1,0,0,0,0,0,0,0
"97","Ariel",1,0,0,8,6,0,0,0,0,0,0,0,0
"98","Efraim",1,0,0,0,0,2,0,0,0,0,0,0,0
"99","Petah Tikva",11,0,0,0,0,1,0,0,0,0,0,0,0
"100","Ashdod",16,0,0,0,0,1,0,0,0,0,0,0,0
"101","Petah Tikva",8,0,0,0,3,2,0,0,0,0,0,0,0
"102","Elkana",0,0,0,0,0,0,1,0,0,0,0,0,0
"103","Harish",0,0,0,0,1,0,0,0,0,0,0,0,0
"104","Haifa",3,0,25,102,96,33,3,0,0,0,0,0,0
"105","Bat Yam",2,0,2,57,96,19,1,0,0,0,0,0,0
"106","Kiryat Bialik",5,0,0,0,2,2,0,0,0,0,0,0,0
"107","Kiryat Arba",1,0,2,9,30,15,0,0,0,0,0,0,0
"108","Ariel",4,0,0,0,4,0,0,0,0,0,0,0,0
"109","Haifa",0,0,10,30,20,12,2,0,1,0,0,0,0
"110","Ein Sharid",1,0,1,1,1,1,0,0,0,0,0,0,0
"111","Hebron",1,0,0,0,0,0,0,0,1,0,0,0,0
"112","Jerusalem",7,0,0,0,16,9,0,0,0,0,0,0,0
"113","Jerusalem",13,0,0,0,1,0,0,0,0,0,0,0,0
"114","Petah Tikva",5,0,0,0,6,13,0,0,0,0,0,0,0
"115","Kiryat Tiv'on",4,0,0,0,0,2,0,0,0,0,0,0,0
"116","Kalanit",0,0,0,0,9,0,0,0,0,0,0,0,0
"117","Kiryat Bialik",8,0,0,0,1,3,0,0,0,0,0,0,0
"118","Nesher",12,0,0,0,0,1,0,0,0,0,0,0,0
"119","Ma'alot-Tarshiha",4,0,0,2,36,5,0,0,0,0,0,0,0
"120","Ramla",2,0,0,43,70,30,3,0,0,0,0,0,0
"121","Yeruham",1,0,5,63,104,19,8,7,1,0,0,0,0
"122","Kfar Yona",2,0,0,3,4,4,0,0,0,0,0,0,0
"123","Beit Shean",3,0,0,1,113,105,1,1,0,1,0,0,0
"124","Bat Yam",8,0,0,0,5,3,0,0,0,0,0,0,0
"125","Haifa",1,0,58,118,140,36,3,0,0,0,0,0,0
"126","Modi'in Illit",5,0,0,0,0,1,0,0,0,0,0,0,0
"127","Kiryat Natafim",1,0,0,0,10,0,0,0,0,0,0,0,0
"128","Ein Sharid",0,0,0,0,0,1,0,0,0,0,0,0,0
"129","Zichron Yaakov",2,0,1,2,1,4,0,0,0,0,0,0,0
"130","Metzad",0,0,0,0,5,0,0,0,0,0,0,0,0
"131","Ramat Yishai",0,0,0,0,1,0,0,0,0,0,0,0,0
"132","Kiryat Shmona",6,0,0,0,1,8,0,0,0,0,0,0,0
"133","Rishon Lezion",0,0,1,0,1,0,0,0,0,0,0,0,0
"134","Petah Tikva",4,0,0,33,56,7,3,0,0,0,0,0,0
"135","Nesher",5,0,7,1,6,3,0,0,0,0,0,0,0
"136","Rishon Lezion",6,0,0,0,10,4,0,0,0,0,0,0,0
"137","Kfar Saba",5,0,0,0,6,0,0,0,0,0,0,0,0
"138","Kiryat Gat",15,0,0,0,0,1,0,0,0,0,0,0,0
"139","Naomi",0,0,0,0,3,0,0,0,0,0,0,0,0
"140","Holon",0,0,0,2,6,0,0,0,0,0,0,0,0
"141","Raanana",3,0,0,2,8,3,2,0,0,0,0,0,0
"142","Carmiel",9,0,0,0,0,3,0,0,0,0,0,0,0
"143","Haifa",7,0,5,5,17,10,1,0,0,0,0,0,0
"144","Ashkelon",8,0,0,0,8,1,0,0,0,0,0,0,0
"145","Kiryat Shmona",9,0,0,0,8,4,0,0,0,0,0,0,0
"146","Petah Tikva",10,0,0,0,3,0,0,0,0,0,0,0,0
"147","Kfar Saba",2,0,0,15,25,6,1,0,0,0,0,0,0
"148","Rishon Lezion",3,0,2,23,74,43,2,0,0,0,0,0,0
"149","Petah Tikva",7,0,0,0,1,0,0,0,0,0,0,0,0
"150","Yevul",0,0,0,0,3,0,0,0,0,0,0,0,0
"151","Holon",3,0,9,37,69,16,4,0,0,0,0,0,0
"152","Haifa",4,0,16,70,76,18,0,0,0,0,0,0,0
"153","Harish",1,0,0,0,3,1,0,0,0,0,0,0,0
"154","Kiryat Gat",12,0,0,0,0,1,0,0,0,0,0,0,0
"155","Ashkelon",5,0,0,4,9,5,1,0,0,0,0,0,0
"156","Bnei Aish",2,0,0,0,1,0,0,0,0,0,0,0,0
"157","Nof Hagalil",12,0,0,0,0,4,0,0,0,0,0,0,0
"158","Yakneam Alit",8,0,0,0,1,0,0,0,0,0,0,0,0
"159","Tel Mond",1,0,0,6,4,1,6,0,0,0,0,0,0
"160","Netanya",7,0,0,1,11,9,1,0,0,0,0,0,0
"161","Ma'alot-Tarshiha",0,0,0,1,2,3,1,0,0,0,0,0,0
"162","Ma'ale Adumim",2,0,0,0,3,1,0,0,0,0,0,0,0
"163","Afula",3,0,2,52,182,41,0,0,0,0,0,0,0
"164","Nesher",8,0,0,0,2,4,0,0,0,0,0,0,0
"165","Ma'alot-Tarshiha",6,0,0,0,3,2,0,0,0,0,0,0,0
"166","Yakneam Alit",2,0,6,11,11,4,0,0,0,0,0,0,0
"167","Yated",0,0,0,0,2,0,0,0,0,0,0,0,0
"168","Nof Hagalil",3,0,7,126,226,21,0,4,0,0,0,0,0
"169","Beit Shean",5,0,0,0,13,2,0,0,0,0,0,0,0
"170","Netanya",1,0,73,74,138,58,11,2,0,0,0,0,0
"171","Afula",6,0,0,32,33,6,1,0,0,0,0,0,0
"172","Or Yehuda",2,0,0,13,18,2,0,0,0,0,0,0,0
"173","Kiryat Ono",5,0,0,0,1,3,0,0,0,0,0,0,0
"174","Be'er Ya'akov",3,0,0,3,18,0,0,0,0,0,0,0,0
"175","Bnei Aish",5,0,0,0,1,0,0,0,0,0,0,0,0
"176","Ma'alot-Tarshiha",3,0,0,31,63,9,0,0,0,0,0,0,0
"177","Netanya",4,0,0,19,79,30,2,0,0,0,0,0,0
"178","Herzliya",4,0,6,10,9,2,0,0,0,0,0,0,0
"179","Kiryat Ekron",4,0,0,1,1,0,0,0,0,0,0,0,0
"180","Matula",2,0,0,0,0,2,0,0,0,0,0,0,0
"181","Emmanuel",1,0,0,0,0,0,1,0,0,0,0,0,0
"182","Yakneam Alit",5,0,0,0,0,5,0,0,0,0,0,0,0
"183","Rosh Pinna",1,0,0,3,11,0,2,0,0,0,0,0,0
"184","Afula",9,0,0,2,3,0,0,0,0,0,0,0,0
"185","Beit Shean",2,0,2,19,123,86,1,0,0,1,0,0,0
"186","Nof Hagalil",6,0,0,14,30,2,0,0,0,0,0,0,0
"187","Ashdod",10,0,0,0,0,1,0,0,0,0,0,0,0
"188","Ramat Hasharon",19,0,0,0,0,1,0,0,0,0,0,0,0
"189","Tel Aviv Jaffa",2,0,25,153,201,75,11,1,0,0,0,0,0
"190","Kiryat Malachi",2,0,0,34,33,16,1,0,0,0,0,0,0
"191","Kiryat Motzkin",9,0,0,0,0,0,1,0,0,0,0,0,0
"192","Migdal Haemek",4,0,0,6,80,11,0,0,0,0,0,0,0
"193","Eilat",1,0,5,19,60,12,1,0,0,0,0,0,0
"194","Lod",8,0,0,0,1,2,0,0,0,0,0,0,0
"195","Kiryat Motzkin",6,0,0,0,0,0,1,0,0,0,0,0,0
"196","Tel Aviv Jaffa",8,0,0,1,24,4,0,0,0,0,0,0,0
"197","Ashdod",4,0,5,133,121,41,5,0,0,0,0,0,0
"198","Kiryat Motzkin",0,0,2,1,0,0,0,0,0,0,0,0,0
"199","Elad",2,0,0,0,5,5,0,0,0,0,0,0,0
"200","Kadima-Zoran",0,0,0,1,1,1,0,0,0,0,0,0,0
"201","Gedera",0,0,0,0,0,1,0,0,0,0,0,0,0
"202","Yitzhar",1,0,0,0,2,0,0,0,0,0,0,0,0
"203","Ashdod",7,0,0,0,10,14,3,0,0,0,0,0,0
"204","Ramat Hasharon",16,0,0,0,0,1,0,0,0,0,0,0,0
"205","Kiryat Malachi",5,0,0,0,0,3,0,0,0,0,0,0,0
"206","Kiryat Motzkin",3,0,0,3,18,2,0,0,0,0,0,0,0
"207","Kadima-Zoran",3,0,0,2,4,1,0,0,0,0,0,0,0
"208","Hatzeva",0,0,0,0,3,0,0,0,0,0,0,0,0
"209","Tel Aviv Jaffa",5,0,0,6,49,13,0,0,0,0,0,0,0
"210","Migdal Haemek",1,0,6,78,128,34,5,0,0,0,0,0,0
"211","Migdal Haemek",7,0,0,0,4,5,0,0,0,0,0,0,0
"212","Gedera",3,0,0,0,1,1,0,0,0,0,0,0,0
"213","Beitar Illit",3,0,0,0,2,0,0,0,0,0,0,0,0
"214","Rehovot",1,0,5,49,70,31,13,1,0,0,0,0,0
"215","Ness Ziona",3,0,1,4,13,2,1,0,0,0,0,0,0
"216","Kiryat Yam",3,0,7,32,56,8,0,0,0,0,0,0,0
"217","Ganei Tikva",2,0,0,0,10,1,0,0,0,0,0,0,0
"218","Arad",5,0,0,0,3,5,0,0,0,0,0,0,0
"219","Poria–Neve Oved",1,0,1,1,1,0,0,0,0,0,0,0,0
"220","Talmei Yosef",0,0,0,0,0,1,0,0,0,0,0,0,0
"221","Kfar Yona",8,0,0,0,1,0,0,0,0,0,0,0,0
"222","Shlomi",4,0,0,5,4,5,0,0,0,0,0,0,0
"223","Avnei Eitan",0,0,0,0,8,0,0,0,0,0,0,0,0
"224","Rosh HaAyin",2,0,0,2,15,7,4,0,0,0,0,0,0
"225","Arad",2,0,6,21,21,8,1,0,0,0,0,0,0
"226","Ness Ziona",6,0,0,0,0,1,0,0,0,0,0,0,0
"227","Tzofar",0,0,0,0,2,0,0,0,0,0,0,0,0
"228","Rehovot",4,0,1,14,37,7,0,0,0,0,0,0,0
"229","Ramla",13,0,0,0,0,1,0,0,0,0,0,0,0
"230","Ganei Tikva",5,0,0,0,1,0,0,0,0,0,0,0,0
"231","Arad",8,0,0,0,1,0,0,0,0,0,0,0,0
"232","Karnei Shomron",1,0,0,0,35,8,6,0,0,0,0,0,0
"233","Givat Shmuel",3,0,0,5,2,0,0,0,0,0,0,0,0
"234","Rehovot",7,0,0,1,2,3,0,0,0,0,0,0,0
"235","Shlomi",1,0,1,3,40,25,2,0,1,0,0,0,0
"236","Katzrin",1,0,4,2,24,5,0,0,0,0,0,0,0
"237","Kiryat Yam",9,0,0,0,0,1,0,0,0,0,0,0,0
"238","Nazareth",3,0,0,0,7,4,0,0,0,0,0,0,0
"239","Kiryat Shmona",2,0,4,19,150,115,1,1,0,0,0,0,0
"240","Sapir",0,0,0,0,3,0,0,0,0,0,0,0,0
"241","Rehovot",10,0,0,0,0,1,0,0,0,0,0,0,0
"242","Tzohar",1,0,0,0,17,3,0,0,0,0,0,0,0
"243","Holon",10,0,0,0,1,0,0,0,0,0,0,0,0
"244","Kiryat Ata",0,0,0,0,1,0,1,0,0,0,0,0,0
"245","Hadera",0,0,0,0,0,2,0,0,0,0,0,0,0
"246","Kiryat Gat",5,0,0,7,11,2,0,0,0,0,0,0,0
"247","Carmiel",2,0,0,24,82,7,0,0,0,0,0,0,0
"248","Kmehin",1,0,0,0,4,0,0,0,0,0,0,0,0
"249","Raanana",0,0,0,2,2,2,0,0,0,0,0,0,0
"250","Kiryat Yam",5,0,0,2,1,1,1,0,0,0,0,0,0
"251","Arad",7,0,0,0,7,3,0,0,0,0,0,0,0
"252","Ein Tamar",0,0,0,0,1,0,0,0,0,0,0,0,0
"253","Holon",6,0,1,5,7,11,0,0,0,0,0,0,0
"254","Kiryat Ata",4,0,0,42,44,4,3,0,0,0,0,0,0
"255","Kiryat Ata",10,0,0,0,0,1,0,0,0,0,0,0,0
"256","Kiryat Gat",3,0,0,146,160,27,2,0,0,0,0,0,0
"257","Kiryat Gat",9,0,0,0,1,0,0,0,0,0,0,0,0
"258","Kadesh Barnea",1,0,0,0,2,0,0,0,0,0,0,0,0
"259","Kiryat Yam",8,0,3,1,3,0,0,0,0,0,0,0,0
"260","Ashkelon",2,0,10,156,167,50,1,1,0,0,0,0,0
"261","Migdalim",1,0,0,0,4,0,0,0,0,0,0,0,0
"262","Kiryat Shmona",3,0,0,28,122,100,1,0,0,1,0,0,0
"263","Ramla",15,0,0,0,0,1,1,0,0,0,0,0,0
"264","Yavne",2,0,0,13,18,11,2,0,0,0,0,0,0
"265","Holon",9,0,2,6,5,1,0,0,0,0,0,0,0
"266","Or Yehuda",11,0,0,0,1,0,0,0,0,0,0,0,0
"267","Nesher",2,0,12,21,34,2,0,0,0,0,0,0,0
"268","Beer Sheva",6,0,2,1,26,16,0,0,0,0,0,0,0
"269","Kiryat Ata",7,0,0,2,10,0,0,0,0,0,0,0,0
"270","Kiryat Yam",2,0,19,45,67,3,0,0,0,0,0,0,0
"271","Kiryat Ekron",1,0,2,4,16,13,1,0,0,0,0,0,0
"272","Kiryat Ata",1,0,55,50,58,9,1,1,0,1,0,0,0
"273","Kiryat Gat",6,0,0,3,2,0,0,0,0,0,0,0,0
"274","Kiryat Malachi",0,0,0,0,0,1,0,0,0,0,0,0,0
"275","Rishon Lezion",9,0,0,0,2,0,0,0,0,0,0,0,0
"276","Kiryat Shmona",0,0,0,0,0,5,0,1,0,0,0,0,0
"277","Givatayim",1,0,1,10,5,0,0,0,0,0,0,0,0
"278","Kiryat Malachi",6,0,0,0,0,2,0,0,0,0,0,0,0
"279","Kiryat Motzkin",4,0,1,2,6,2,0,0,0,0,0,0,0
"280","Or Yehuda",8,0,0,0,1,0,0,0,0,0,0,0,0
"281","Tel Aviv Jaffa",4,0,2,56,110,34,4,0,0,0,0,0,0
"282","Beer Sheva",3,0,10,314,405,80,1,5,0,0,0,0,0
"283","Byria",1,0,0,0,0,1,0,0,0,0,0,0,0
"284","Dimona",3,0,21,270,274,69,4,1,0,0,0,0,0
"285","Katzir",1,0,0,0,3,0,0,0,0,0,0,0,0
"286","Ramat Gan",10,0,0,0,1,0,0,0,0,0,0,0,0
"287","Beer Sheva",0,0,1,10,55,6,1,1,0,0,0,0,1
"288","Givatayim",4,0,1,2,1,0,0,0,0,0,0,0,0
"289","Even Yehuda",3,0,0,1,1,0,0,0,0,0,0,0,0
"290","Kiryat Malachi",3,0,0,36,36,11,0,0,0,0,0,0,0
"291","Lod",7,0,0,0,2,4,0,0,0,0,0,0,0
"292","Nahariya",8,0,0,0,7,1,0,0,0,0,0,0,0
"293","Dimona",0,0,0,2,1,7,0,0,0,0,0,0,0
"294","Ramat Gan",7,0,0,0,1,0,0,0,0,0,0,0,0
"295","Ness Ziona",7,0,0,0,0,1,0,0,0,0,0,0,0
"296","Tiberias",3,0,0,39,126,33,1,7,0,1,0,0,0
"297","Hazor HaGalilit",4,0,0,6,30,0,0,0,0,0,0,0,0
"298","Kiryat Motzkin",13,0,0,0,0,1,0,0,0,0,0,0,0
"299","Kiryat Motzkin",7,0,0,0,2,0,0,0,0,0,0,0,0
"300","Bnei Brak",3,0,0,26,34,15,0,0,0,0,0,0,0
"301","Ashdod",0,0,0,0,20,7,1,0,0,0,0,0,0
"302","Givat Shmuel",2,0,0,1,1,3,0,0,0,0,0,0,0
"303","Ofakim",1,0,13,92,173,27,5,6,3,0,0,0,0
"304","Shlomi",0,0,0,0,1,0,0,0,0,0,0,0,0
"305","Mazkeret Batya",3,0,0,1,6,0,0,0,0,0,0,0,0
"306","Bareket",0,0,0,8,0,1,0,0,0,0,0,0,0
"307","Migdal Haemek",0,0,17,89,20,3,0,0,0,0,0,0,0
"308","Rosh HaAyin",0,0,1,1,3,1,0,0,0,0,0,0,0
"309","Ness Ziona",4,0,1,0,9,2,0,0,0,0,0,0,0
"310","Hasfin",1,0,0,0,47,0,0,0,0,0,0,0,0
"311","Nof Hagalil",14,0,0,0,0,3,0,0,0,0,0,0,0
"312","Yakir",1,0,0,0,3,0,0,0,0,0,0,0,0
"313","Beit Dagan",1,0,2,2,5,1,0,0,0,0,0,0,0
"314","Hazor HaGalilit",0,0,0,1,0,0,0,0,0,0,0,0,0
"315","Kiryat Tiv'on",5,0,0,0,2,0,0,0,0,0,0,0,0
"316","Nahariya",5,0,0,0,2,1,0,0,0,0,0,0,0
"317","Menachemia",1,0,0,0,6,0,0,0,0,0,0,0,0
"318","Herzliya",6,0,0,0,1,0,0,0,0,0,0,0,0
"319","Beit Dagan",4,0,0,3,3,1,0,0,0,0,0,0,0
"320","Nahariya",2,0,5,85,43,10,0,0,0,0,0,0,0
"321","Hazor HaGalilit",3,0,0,6,40,7,0,0,0,0,0,0,0
"322","Ariel",2,0,0,0,9,5,0,0,0,0,0,0,0
"323","Pri Gan",0,0,0,0,2,0,0,0,0,0,0,0,0
"324","Kfar Yona",3,0,0,2,3,2,0,0,0,0,0,0,0
"325","Harish",9,0,0,0,0,1,0,0,0,0,0,0,0
"326","Nazareth",1,0,0,0,5,4,0,0,0,0,0,0,0
"327","Maale Ephraim",1,0,1,2,2,16,0,0,0,0,0,0,0
"328","Yavne",7,0,0,0,0,0,1,0,0,0,0,0,0
"329","Ma'ale Amos",0,0,0,0,2,0,0,0,0,0,0,0,0
"330","Mitzpe Ramon",0,0,0,3,0,3,0,0,0,0,0,0,0
"331","Or Akiva",0,0,3,0,0,1,0,0,0,0,0,0,0
"332","Ramat Hasharon",11,0,0,0,0,1,0,0,0,0,0,0,0
"333","Kfar Yona",0,0,1,0,3,0,0,0,0,0,0,0,0
"334","Haifa",15,0,0,0,0,2,0,0,0,0,0,0,0
"335","Paran",1,0,0,0,2,0,0,0,0,0,0,0,0
"336","Haifa",9,0,1,2,2,3,1,0,0,0,0,0,0
"337","Kiryat Gat",7,0,0,0,6,2,0,0,0,0,0,0,0
"338","Or Akiva",6,0,0,0,0,1,0,0,0,0,0,0,0
"339","Harish",3,0,0,0,1,1,0,0,0,0,0,0,0
"340","Eilat",19,0,0,0,1,0,0,0,0,0,0,0,0
"341","Nazareth",4,0,0,0,3,2,0,0,0,0,0,0,0
"342","Yavne",4,0,0,11,21,5,2,0,0,0,0,0,0
"343","Ramat Hasharon",8,0,0,0,0,1,0,0,0,0,0,0,0
"344","Yavne",1,0,18,22,22,11,8,0,0,0,0,0,0
"345","Haifa",12,0,0,0,0,2,0,0,0,0,0,0,0
"346","Kiryat Motzkin",1,0,4,7,21,2,0,0,0,0,0,0,0
"347","Or Akiva",3,0,1,27,39,4,0,0,0,0,0,0,0
"348","Mitzpe Ramon",3,0,0,19,59,23,2,0,0,0,0,0,0
"349","Beit Arye",1,0,0,0,2,0,0,0,0,0,0,0,0
"350","Kiryat Gat",4,0,0,117,142,26,0,0,0,0,0,0,0
"351","Kiryat Gat",10,0,0,0,2,1,0,0,0,0,0,0,0
"352","Haifa",6,0,0,3,26,4,1,0,0,0,0,0,0
"353","Kiryat Bialik",3,0,16,36,27,1,1,0,0,0,0,0,0
"354","Migdal",1,0,1,1,2,0,0,0,0,0,0,0,0
"355","Netanya",9,0,0,1,0,1,0,0,0,0,0,0,0
"356","Ramat Gan",1,0,23,52,38,15,2,0,0,0,0,0,0
"357","Arad",3,0,6,30,40,5,0,0,0,0,0,0,0
"358","Kiryat Arba",0,0,0,0,2,1,0,0,0,0,0,0,0
"359","Ness Ziona",1,0,16,9,22,19,0,0,0,0,0,0,0
"360","Pardes Hana",0,0,0,0,1,0,0,0,0,0,0,0,0
"361","Yakneam Alit",0,0,0,0,0,3,0,0,0,0,0,0,0
"362","Azur",8,0,0,0,0,1,0,0,0,0,0,0,0
"363","Hebron",0,0,0,0,0,1,1,0,0,0,0,0,0
"364","Ramla",8,0,0,0,3,1,0,0,0,0,0,0,0
"365","Pardes Hana",6,0,0,0,1,0,0,0,0,0,0,0,0
"366","Or Yehuda",10,0,0,0,0,1,0,0,0,0,0,0,0
"367","Kedumim",1,0,0,0,2,0,0,0,0,0,0,0,0
"368","Afula",8,0,0,4,8,0,0,1,0,0,0,0,0
"369","Kfar Saba",3,0,1,14,25,12,0,0,0,0,0,0,0
"370","Beer Sheva",5,0,1,6,39,21,0,0,0,0,0,0,0
"371","Or Yehuda",4,0,0,7,14,3,1,0,0,0,0,0,0
"372","Rosh Pinna",0,0,0,1,0,0,0,0,0,0,0,0,0
"373","Alon Mora",3,0,0,0,1,0,0,0,0,0,0,0,0
"374","Menachemia",2,0,0,0,6,0,0,0,0,0,0,0,0
"375","Yavne",3,0,0,14,28,5,4,0,0,0,0,0,0
"376","Ariel",3,0,0,0,11,3,0,0,0,0,0,0,0
"377","Yavne",0,0,0,0,4,1,0,0,0,0,0,0,0
"378","Haifa",11,0,0,0,1,2,0,0,0,0,0,0,0
