Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments,Lamas_name_translated
פתח תקוה,7900,2022,2.0,1910000.0,18.0,2257716.667,Petah Tikva
פתח תקוה,7900,2023,19.0,1986315.789,14.0,2416285.714,Petah Tikva
פתח תקוה,7900,2024,4.0,2027500.0,2.0,2320000.0,Petah Tikva
קרית אתא,6800,2017,3.0,875000.0,1.0,800000.0,Kiryat Ata
קרית אתא,6800,2018,1.0,770000.0,5.0,881000.0,Kiryat Ata
קרית אתא,6800,2019,,,1.0,1030000.0,Kiryat Ata
קרית אתא,6800,2022,,,1.0,2498708.0,Kiryat Ata
קרית אתא,6800,2023,,,1.0,1800000.0,Kiryat Ata
קרית גת,2630,2018,28.0,815000.0,11.0,1107727.273,Kiryat Gat
קרית גת,2630,2019,2.0,827500.0,1.0,877000.0,Kiryat Gat
קרית גת,2630,2023,2.0,1522000.0,5.0,1722000.0,Kiryat Gat
קרית גת,2630,2024,1.0,1405000.0,,,Kiryat Gat
ראש העין,2640,2017,1.0,1340000.0,3.0,1431666.667,Rosh HaAyin
ראש העין,2640,2018,3.0,1380000.0,3.0,1473333.333,Rosh HaAyin
ראש העין,2640,2019,1.0,1300000.0,4.0,1662500.0,Rosh HaAyin
ראש העין,2640,2022,,,1.0,2970000.0,Rosh HaAyin
ראש העין,2640,2023,,,7.0,2507857.143,Rosh HaAyin
ראשון לציון,8300,2017,6.0,1455000.0,1.0,1580000.0,Rishon Lezion
ראשון לציון,8300,2018,28.0,1422428.571,9.0,1638333.333,Rishon Lezion
ראשון לציון,8300,2019,6.0,1505500.0,3.0,1681666.667,Rishon Lezion
ראשון לציון,8300,2020,,,1.0,1950000.0,Rishon Lezion
ראשון לציון,8300,2021,,,1.0,1630000.0,Rishon Lezion
ראשון לציון,8300,2022,1.0,1845000.0,5.0,2100000.0,Rishon Lezion
ראשון לציון,8300,2023,13.0,2189230.769,9.0,2397777.778,Rishon Lezion
ראשון לציון,8300,2024,1.0,2010000.0,1.0,2543000.0,Rishon Lezion
רחובות,8400,2017,6.0,1226666.667,2.0,1482000.0,streets
רחובות,8400,2018,13.0,1262384.615,11.0,1651818.182,streets
רחובות,8400,2019,1.0,1060000.0,,,streets
רחובות,8400,2020,1.0,1430000.0,,,streets
רחובות,8400,2022,4.0,2034750.0,7.0,2191428.571,streets
רחובות,8400,2023,8.0,1760000.0,10.0,2452300.0,רחובות
רחובות,8400,2024,1.0,1740000.0,1.0,2130000.0,streets
רמלה,8500,2017,1.0,940000.0,4.0,1312500.0,Ramla
רמלה,8500,2018,7.0,971000.0,13.0,1293076.923,Ramla
רמלה,8500,2019,15.0,1018933.333,9.0,1363888.889,Ramla
רמלה,8500,2020,8.0,1016875.0,,,Ramla
רמלה,8500,2022,1.0,1380000.0,4.0,1622500.0,Ramla
רמלה,8500,2023,3.0,1636666.667,4.0,2087500.0,Ramla
רמלה,8500,2024,2.0,1170000.0,1.0,2070000.0,Ramla
רמת גן,8600,2017,3.0,1673333.333,,,Ramat Gan
רמת גן,8600,2018,3.0,1677000.0,1.0,1680000.0,Ramat Gan
רמת גן,8600,2019,5.0,1668000.0,1.0,1950000.0,Ramat Gan
רמת גן,8600,2020,5.0,1766000.0,2.0,1890000.0,Ramat Gan
רמת גן,8600,2022,1.0,2290000.0,,,Ramat Gan
רמת גן,8600,2023,5.0,2298000.0,,,Ramat Gan
רמת גן,8600,2024,1.0,2120000.0,,,Ramat Gan
רעננה,8700,2017,,,1.0,1955000.0,fresh
רעננה,8700,2018,1.0,1890000.0,,,fresh
רעננה,8700,2020,1.0,1700000.0,,,fresh
רעננה,8700,2023,,,2.0,2570000.0,fresh
תל אביב -יפו,5000,2017,23.0,1556956.522,6.0,1660833.333,Tel Aviv Jaffa
תל אביב -יפו,5000,2018,16.0,1577500.0,13.0,1712692.308,Tel Aviv Jaffa
תל אביב -יפו,5000,2019,11.0,1514636.364,3.0,1765000.0,Tel Aviv Jaffa
תל אביב -יפו,5000,2020,5.0,1507800.0,1.0,1870000.0,Tel Aviv Jaffa
תל אביב -יפו,5000,2021,1.0,1570000.0,,,Tel Aviv Jaffa
תל אביב -יפו,5000,2022,1.0,2645000.0,,,Tel Aviv Jaffa
תל אביב -יפו,5000,2023,16.0,2172100.5,5.0,2378384.4,Tel Aviv Jaffa
תל אביב -יפו,5000,2024,4.0,2070000.0,1.0,2500000.0,Tel Aviv Jaffa
