CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms
בת ים,2,0,2,57,96,19,1,0,0,0,0,0,0
קרית ביאליק,5,0,0,0,2,2,0,0,0,0,0,0,0
קרית ארבע,1,0,2,9,30,15,0,0,0,0,0,0,0
אריאל,4,0,0,0,4,0,0,0,0,0,0,0,0
חיפה,0,0,10,30,20,12,2,0,1,0,0,0,0
עין שריד,1,0,1,1,1,1,0,0,0,0,0,0,0
חברון,1,0,0,0,0,0,0,0,1,0,0,0,0
ירושלים,7,0,0,0,16,9,0,0,0,0,0,0,0
ירושלים,13,0,0,0,1,0,0,0,0,0,0,0,0
פתח תקוה,5,0,0,0,6,13,0,0,0,0,0,0,0
קרית טבעון,4,0,0,0,0,2,0,0,0,0,0,0,0
כלנית,0,0,0,0,9,0,0,0,0,0,0,0,0
קרית ביאליק,8,0,0,0,1,3,0,0,0,0,0,0,0
נשר,12,0,0,0,0,1,0,0,0,0,0,0,0
מעלות-תרשיחא,4,0,0,2,36,5,0,0,0,0,0,0,0
רמלה,2,0,0,43,70,30,3,0,0,0,0,0,0
ירוחם,1,0,5,63,104,19,8,7,1,0,0,0,0
כפר יונה,2,0,0,3,4,4,0,0,0,0,0,0,0
בית שאן,3,0,0,1,113,105,1,1,0,1,0,0,0
כחל,,0,0,0,1,0,0,0,0,0,0,0,0
בת ים,8,0,0,0,5,3,0,0,0,0,0,0,0
חיפה,1,0,58,118,140,36,3,0,0,0,0,0,0
מודיעין עילית,5,0,0,0,0,1,0,0,0,0,0,0,0
קרית נטפים,1,0,0,0,10,0,0,0,0,0,0,0,0
עין שריד,0,0,0,0,0,1,0,0,0,0,0,0,0
זכרון יעקב,2,0,1,2,1,4,0,0,0,0,0,0,0
אספר,0,0,0,0,5,0,0,0,0,0,0,0,0
רמת ישי,0,0,0,0,1,0,0,0,0,0,0,0,0
קרית שמונה,6,0,0,0,1,8,0,0,0,0,0,0,0
ראשון לציון,0,0,1,0,1,0,0,0,0,0,0,0,0
פתח תקוה,4,0,0,33,56,7,3,0,0,0,0,0,0
נשר,5,0,7,1,6,3,0,0,0,0,0,0,0
ראשון לציון,6,0,0,0,10,4,0,0,0,0,0,0,0
כפר סבא,5,0,0,0,6,0,0,0,0,0,0,0,0
קרית גת,15,0,0,0,0,1,0,0,0,0,0,0,0
נעמי,0,0,0,0,3,0,0,0,0,0,0,0,0
חולון,0,0,0,2,6,0,0,0,0,0,0,0,0
רעננה,3,0,0,2,8,3,2,0,0,0,0,0,0
כרמיאל,9,0,0,0,0,3,0,0,0,0,0,0,0
חיפה,7,0,5,5,17,10,1,0,0,0,0,0,0
אשקלון,8,0,0,0,8,1,0,0,0,0,0,0,0
קרית שמונה,9,0,0,0,8,4,0,0,0,0,0,0,0
פתח תקוה,10,0,0,0,3,0,0,0,0,0,0,0,0
כפר סבא,2,0,0,15,25,6,1,0,0,0,0,0,0
ראשון לציון,3,0,2,23,74,43,2,0,0,0,0,0,0
פתח תקוה,7,0,0,0,1,0,0,0,0,0,0,0,0
יבול,0,0,0,0,3,0,0,0,0,0,0,0,0
חולון,3,0,9,37,69,16,4,0,0,0,0,0,0
חיפה,4,0,16,70,76,18,0,0,0,0,0,0,0
חריש,1,0,0,0,3,1,0,0,0,0,0,0,0
קרית גת,12,0,0,0,0,1,0,0,0,0,0,0,0
אשקלון,5,0,0,4,9,5,1,0,0,0,0,0,0
"בני עי""ש",2,0,0,0,1,0,0,0,0,0,0,0,0
נוף הגליל,12,0,0,0,0,4,0,0,0,0,0,0,0
יקנעם עלית,8,0,0,0,1,0,0,0,0,0,0,0,0
תל מונד,1,0,0,6,4,1,6,0,0,0,0,0,0
נתניה,7,0,0,1,11,9,1,0,0,0,0,0,0
מעלות-תרשיחא,0,0,0,1,2,3,1,0,0,0,0,0,0
מעלה אדומים,2,0,0,0,3,1,0,0,0,0,0,0,0
עפולה,3,0,2,52,182,41,0,0,0,0,0,0,0
נשר,8,0,0,0,2,4,0,0,0,0,0,0,0
מעלות-תרשיחא,6,0,0,0,3,2,0,0,0,0,0,0,0
יקנעם עלית,2,0,6,11,11,4,0,0,0,0,0,0,0
יתד,0,0,0,0,2,0,0,0,0,0,0,0,0
נוף הגליל,3,0,7,126,226,21,0,4,0,0,0,0,0
בית שאן,5,0,0,0,13,2,0,0,0,0,0,0,0
נתניה,1,0,73,74,138,58,11,2,0,0,0,0,0
עפולה,6,0,0,32,33,6,1,0,0,0,0,0,0
אור יהודה,2,0,0,13,18,2,0,0,0,0,0,0,0
קרית אונו,5,0,0,0,1,3,0,0,0,0,0,0,0
באר יעקב,3,0,0,3,18,0,0,0,0,0,0,0,0
"בני עי""ש",5,0,0,0,1,0,0,0,0,0,0,0,0
מעלות-תרשיחא,3,0,0,31,63,9,0,0,0,0,0,0,0
נתניה,4,0,0,19,79,30,2,0,0,0,0,0,0
הרצליה,4,0,6,10,9,2,0,0,0,0,0,0,0
קרית עקרון,4,0,0,1,1,0,0,0,0,0,0,0,0
מטולה,2,0,0,0,0,2,0,0,0,0,0,0,0
עמנואל,1,0,0,0,0,0,1,0,0,0,0,0,0
יקנעם עלית,5,0,0,0,0,5,0,0,0,0,0,0,0
ראש פנה,1,0,0,3,11,0,2,0,0,0,0,0,0
עפולה,9,0,0,2,3,0,0,0,0,0,0,0,0
בית שאן,2,0,2,19,123,86,1,0,0,1,0,0,0
נוף הגליל,6,0,0,14,30,2,0,0,0,0,0,0,0
אשדוד,10,0,0,0,0,1,0,0,0,0,0,0,0
רמת השרון,19,0,0,0,0,1,0,0,0,0,0,0,0
תל אביב -יפו,2,0,25,153,201,75,11,1,0,0,0,0,0
קרית מלאכי,2,0,0,34,33,16,1,0,0,0,0,0,0
קרית מוצקין,9,0,0,0,0,0,1,0,0,0,0,0,0
מגדל העמק,4,0,0,6,80,11,0,0,0,0,0,0,0
אילת,1,0,5,19,60,12,1,0,0,0,0,0,0
לוד,8,0,0,0,1,2,0,0,0,0,0,0,0
קרית מוצקין,6,0,0,0,0,0,1,0,0,0,0,0,0
תל אביב -יפו,8,0,0,1,24,4,0,0,0,0,0,0,0
אשדוד,4,0,5,133,121,41,5,0,0,0,0,0,0
קרית מוצקין,0,0,2,1,0,0,0,0,0,0,0,0,0
אלעד,2,0,0,0,5,5,0,0,0,0,0,0,0
קדימה-צורן,0,0,0,1,1,1,0,0,0,0,0,0,0
גדרה,0,0,0,0,0,1,0,0,0,0,0,0,0
יצהר,1,0,0,0,2,0,0,0,0,0,0,0,0
אשדוד,7,0,0,0,10,14,3,0,0,0,0,0,0
רמת השרון,16,0,0,0,0,1,0,0,0,0,0,0,0
קרית מלאכי,5,0,0,0,0,3,0,0,0,0,0,0,0
קרית מוצקין,3,0,0,3,18,2,0,0,0,0,0,0,0
קדימה-צורן,3,0,0,2,4,1,0,0,0,0,0,0,0
חצבה,0,0,0,0,3,0,0,0,0,0,0,0,0
תל אביב -יפו,5,0,0,6,49,13,0,0,0,0,0,0,0
מגדל העמק,1,0,6,78,128,34,5,0,0,0,0,0,0
מגדל העמק,7,0,0,0,4,5,0,0,0,0,0,0,0
גדרה,3,0,0,0,1,1,0,0,0,0,0,0,0
ביתר עלית,3,0,0,0,2,0,0,0,0,0,0,0,0
רחובות,1,0,5,49,70,31,13,1,0,0,0,0,0
נס ציונה,3,0,1,4,13,2,1,0,0,0,0,0,0
קרית ים,3,0,7,32,56,8,0,0,0,0,0,0,0
גני תקוה,2,0,0,0,10,1,0,0,0,0,0,0,0
ערד,5,0,0,0,3,5,0,0,0,0,0,0,0
פוריה-נוה עוב,1,0,1,1,1,0,0,0,0,0,0,0,0
תלמי יוסף,0,0,0,0,0,1,0,0,0,0,0,0,0
כפר יונה,8,0,0,0,1,0,0,0,0,0,0,0,0
שלומי,4,0,0,5,4,5,0,0,0,0,0,0,0
אבני איתן,0,0,0,0,8,0,0,0,0,0,0,0,0
ראש העין,2,0,0,2,15,7,4,0,0,0,0,0,0
ערד,2,0,6,21,21,8,1,0,0,0,0,0,0
נס ציונה,6,0,0,0,0,1,0,0,0,0,0,0,0
צופר,0,0,0,0,2,0,0,0,0,0,0,0,0
רחובות,4,0,1,14,37,7,0,0,0,0,0,0,0
רמלה,13,0,0,0,0,1,0,0,0,0,0,0,0
גני תקוה,5,0,0,0,1,0,0,0,0,0,0,0,0
ערד,8,0,0,0,1,0,0,0,0,0,0,0,0
קרני שומרון,1,0,0,0,35,8,6,0,0,0,0,0,0
גבעת שמואל,3,0,0,5,2,0,0,0,0,0,0,0,0
רחובות,7,0,0,1,2,3,0,0,0,0,0,0,0
שלומי,1,0,1,3,40,25,2,0,1,0,0,0,0
קצרין,1,0,4,2,24,5,0,0,0,0,0,0,0
קרית ים,9,0,0,0,0,1,0,0,0,0,0,0,0
נצרת,3,0,0,0,7,4,0,0,0,0,0,0,0
קרית שמונה,2,0,4,19,150,115,1,1,0,0,0,0,0
ספיר,0,0,0,0,3,0,0,0,0,0,0,0,0
רחובות,10,0,0,0,0,1,0,0,0,0,0,0,0
צחר,1,0,0,0,17,3,0,0,0,0,0,0,0
חולון,10,0,0,0,1,0,0,0,0,0,0,0,0
קרית אתא,0,0,0,0,1,0,1,0,0,0,0,0,0
חדרה,0,0,0,0,0,2,0,0,0,0,0,0,0
קרית גת,5,0,0,7,11,2,0,0,0,0,0,0,0
כרמיאל,2,0,0,24,82,7,0,0,0,0,0,0,0
כמהין,1,0,0,0,4,0,0,0,0,0,0,0,0
רעננה,0,0,0,2,2,2,0,0,0,0,0,0,0
ראשון לציון,,0,0,0,4,0,0,0,0,0,0,0,0
קרית ים,5,0,0,2,1,1,1,0,0,0,0,0,0
ערד,7,0,0,0,7,3,0,0,0,0,0,0,0
עין תמר,0,0,0,0,1,0,0,0,0,0,0,0,0
חולון,6,0,1,5,7,11,0,0,0,0,0,0,0
קרית אתא,4,0,0,42,44,4,3,0,0,0,0,0,0
קרית אתא,10,0,0,0,0,1,0,0,0,0,0,0,0
קרית גת,3,0,0,146,160,27,2,0,0,0,0,0,0
קרית גת,9,0,0,0,1,0,0,0,0,0,0,0,0
נצני סיני,1,0,0,0,2,0,0,0,0,0,0,0,0
קרית ים,8,0,3,1,3,0,0,0,0,0,0,0,0
אשקלון,2,0,10,156,167,50,1,1,0,0,0,0,0
מגדלים,1,0,0,0,4,0,0,0,0,0,0,0,0
קרית שמונה,3,0,0,28,122,100,1,0,0,1,0,0,0
רמלה,15,0,0,0,0,1,1,0,0,0,0,0,0
יבנה,2,0,0,13,18,11,2,0,0,0,0,0,0
חולון,9,0,2,6,5,1,0,0,0,0,0,0,0
אור יהודה,11,0,0,0,1,0,0,0,0,0,0,0,0
נשר,2,0,12,21,34,2,0,0,0,0,0,0,0
באר שבע,6,0,2,1,26,16,0,0,0,0,0,0,0
קרית אתא,7,0,0,2,10,0,0,0,0,0,0,0,0
קרית ים,2,0,19,45,67,3,0,0,0,0,0,0,0
קרית עקרון,1,0,2,4,16,13,1,0,0,0,0,0,0
קרית אתא,1,0,55,50,58,9,1,1,0,1,0,0,0
קרית גת,6,0,0,3,2,0,0,0,0,0,0,0,0
קרית מלאכי,0,0,0,0,0,1,0,0,0,0,0,0,0
ראשון לציון,9,0,0,0,2,0,0,0,0,0,0,0,0
קרית שמונה,0,0,0,0,0,5,0,1,0,0,0,0,0
גבעתים,1,0,1,10,5,0,0,0,0,0,0,0,0
קרית מלאכי,6,0,0,0,0,2,0,0,0,0,0,0,0
קרית מוצקין,4,0,1,2,6,2,0,0,0,0,0,0,0
אור יהודה,8,0,0,0,1,0,0,0,0,0,0,0,0
תל אביב -יפו,4,0,2,56,110,34,4,0,0,0,0,0,0
באר שבע,3,0,10,314,405,80,1,5,0,0,0,0,0
ביריה,1,0,0,0,0,1,0,0,0,0,0,0,0
דימונה,3,0,21,270,274,69,4,1,0,0,0,0,0
קציר,1,0,0,0,3,0,0,0,0,0,0,0,0
רמת גן,10,0,0,0,1,0,0,0,0,0,0,0,0
באר שבע,0,0,1,10,55,6,1,1,0,0,0,0,1
גבעתים,4,0,1,2,1,0,0,0,0,0,0,0,0
אבן יהודה,3,0,0,1,1,0,0,0,0,0,0,0,0
קרית מלאכי,3,0,0,36,36,11,0,0,0,0,0,0,0
לוד,7,0,0,0,2,4,0,0,0,0,0,0,0
נהריה,8,0,0,0,7,1,0,0,0,0,0,0,0
דימונה,0,0,0,2,1,7,0,0,0,0,0,0,0
רמת גן,7,0,0,0,1,0,0,0,0,0,0,0,0
נס ציונה,7,0,0,0,0,1,0,0,0,0,0,0,0
טבריה,3,0,0,39,126,33,1,7,0,1,0,0,0
חצור הגלילית,4,0,0,6,30,0,0,0,0,0,0,0,0
קרית מוצקין,13,0,0,0,0,1,0,0,0,0,0,0,0
קרית מוצקין,7,0,0,0,2,0,0,0,0,0,0,0,0
בני ברק,3,0,0,26,34,15,0,0,0,0,0,0,0
אשדוד,0,0,0,0,20,7,1,0,0,0,0,0,0
גבעת שמואל,2,0,0,1,1,3,0,0,0,0,0,0,0
אופקים,1,0,13,92,173,27,5,6,3,0,0,0,0
שלומי,0,0,0,0,1,0,0,0,0,0,0,0,0
מזכרת בתיה,3,0,0,1,6,0,0,0,0,0,0,0,0
ברקת,0,0,0,8,0,1,0,0,0,0,0,0,0
מגדל העמק,0,0,17,89,20,3,0,0,0,0,0,0,0
ראש העין,0,0,1,1,3,1,0,0,0,0,0,0,0
נס ציונה,4,0,1,0,9,2,0,0,0,0,0,0,0
חספין,1,0,0,0,47,0,0,0,0,0,0,0,0
נוף הגליל,14,0,0,0,0,3,0,0,0,0,0,0,0
יקיר,1,0,0,0,3,0,0,0,0,0,0,0,0
בית דגן,1,0,2,2,5,1,0,0,0,0,0,0,0
חצור הגלילית,0,0,0,1,0,0,0,0,0,0,0,0,0
קרית טבעון,5,0,0,0,2,0,0,0,0,0,0,0,0
נהריה,5,0,0,0,2,1,0,0,0,0,0,0,0
מנחמיה,1,0,0,0,6,0,0,0,0,0,0,0,0
הרצליה,6,0,0,0,1,0,0,0,0,0,0,0,0
בית דגן,4,0,0,3,3,1,0,0,0,0,0,0,0
נהריה,2,0,5,85,43,10,0,0,0,0,0,0,0
חצור הגלילית,3,0,0,6,40,7,0,0,0,0,0,0,0
אריאל,2,0,0,0,9,5,0,0,0,0,0,0,0
פרי גן,0,0,0,0,2,0,0,0,0,0,0,0,0
כפר יונה,3,0,0,2,3,2,0,0,0,0,0,0,0
חריש,9,0,0,0,0,1,0,0,0,0,0,0,0
נצרת,1,0,0,0,5,4,0,0,0,0,0,0,0
מעלה אפרים,1,0,1,2,2,16,0,0,0,0,0,0,0
יבנה,7,0,0,0,0,0,1,0,0,0,0,0,0
מעלה עמוס,0,0,0,0,2,0,0,0,0,0,0,0,0
מצפה רמון,0,0,0,3,0,3,0,0,0,0,0,0,0
אור עקיבא,0,0,3,0,0,1,0,0,0,0,0,0,0
רמת השרון,11,0,0,0,0,1,0,0,0,0,0,0,0
כפר יונה,0,0,1,0,3,0,0,0,0,0,0,0,0
חיפה,15,0,0,0,0,2,0,0,0,0,0,0,0
פארן,1,0,0,0,2,0,0,0,0,0,0,0,0
חיפה,9,0,1,2,2,3,1,0,0,0,0,0,0
קרית גת,7,0,0,0,6,2,0,0,0,0,0,0,0
אור עקיבא,6,0,0,0,0,1,0,0,0,0,0,0,0
חריש,3,0,0,0,1,1,0,0,0,0,0,0,0
אילת,19,0,0,0,1,0,0,0,0,0,0,0,0
נצרת,4,0,0,0,3,2,0,0,0,0,0,0,0
יבנה,4,0,0,11,21,5,2,0,0,0,0,0,0
רמת השרון,8,0,0,0,0,1,0,0,0,0,0,0,0
יבנה,1,0,18,22,22,11,8,0,0,0,0,0,0
חיפה,12,0,0,0,0,2,0,0,0,0,0,0,0
קרית מוצקין,1,0,4,7,21,2,0,0,0,0,0,0,0
אור עקיבא,3,0,1,27,39,4,0,0,0,0,0,0,0
מצפה רמון,3,0,0,19,59,23,2,0,0,0,0,0,0
בית אריה,1,0,0,0,2,0,0,0,0,0,0,0,0
קרית גת,4,0,0,117,142,26,0,0,0,0,0,0,0
קרית גת,10,0,0,0,2,1,0,0,0,0,0,0,0
חיפה,6,0,0,3,26,4,1,0,0,0,0,0,0
קרית ביאליק,3,0,16,36,27,1,1,0,0,0,0,0,0
מגדל,1,0,1,1,2,0,0,0,0,0,0,0,0
נתניה,9,0,0,1,0,1,0,0,0,0,0,0,0
רמת גן,1,0,23,52,38,15,2,0,0,0,0,0,0
ערד,3,0,6,30,40,5,0,0,0,0,0,0,0
קרית ארבע,0,0,0,0,2,1,0,0,0,0,0,0,0
נס ציונה,1,0,16,9,22,19,0,0,0,0,0,0,0
פרדס חנה-כרכו,0,0,0,0,1,0,0,0,0,0,0,0,0
יקנעם עלית,0,0,0,0,0,3,0,0,0,0,0,0,0
אזור,8,0,0,0,0,1,0,0,0,0,0,0,0
חברון,0,0,0,0,0,1,1,0,0,0,0,0,0
רמלה,8,0,0,0,3,1,0,0,0,0,0,0,0
פרדס חנה-כרכו,6,0,0,0,1,0,0,0,0,0,0,0,0
אור יהודה,10,0,0,0,0,1,0,0,0,0,0,0,0
קדומים,1,0,0,0,2,0,0,0,0,0,0,0,0
עפולה,8,0,0,4,8,0,0,1,0,0,0,0,0
כפר סבא,3,0,1,14,25,12,0,0,0,0,0,0,0
באר שבע,5,0,1,6,39,21,0,0,0,0,0,0,0
אור יהודה,4,0,0,7,14,3,1,0,0,0,0,0,0
ראש פנה,0,0,0,1,0,0,0,0,0,0,0,0,0
אלון מורה,3,0,0,0,1,0,0,0,0,0,0,0,0
מנחמיה,2,0,0,0,6,0,0,0,0,0,0,0,0
יבנה,3,0,0,14,28,5,4,0,0,0,0,0,0
אריאל,3,0,0,0,11,3,0,0,0,0,0,0,0
יבנה,0,0,0,0,4,1,0,0,0,0,0,0,0
חיפה,11,0,0,0,1,2,0,0,0,0,0,0,0
ראשון לציון,4,0,1,16,37,19,1,0,0,0,0,0,0
חיפה,5,0,0,11,17,11,0,0,0,0,0,0,0
נוף הגליל,7,0,0,13,25,7,0,0,0,0,0,0,0
נהריה,3,0,2,26,54,8,1,0,0,0,0,0,0
חריש,2,0,0,0,2,2,0,0,0,0,0,0,0
קצרין,2,0,0,9,20,5,0,0,0,0,0,0,0
קרני שומרון,2,0,0,0,23,6,0,0,0,0,0,0,0
ראשון לציון,10,0,0,0,1,0,0,0,0,0,0,0,0
קרית מלאכי,1,0,0,29,40,8,0,0,0,0,0,0,0
ראשון לציון,7,0,0,1,3,1,1,0,0,0,0,0,0
נהריה,6,0,0,0,5,2,0,0,0,0,0,0,0
חיפה,8,0,9,3,10,8,2,0,0,0,0,0,0
באר שבע,1,0,162,429,712,185,42,14,3,0,0,0,0
נס ציונה,5,0,0,0,1,0,0,0,0,0,0,0,0
רמת השרון,15,0,0,0,0,1,0,0,0,0,0,0,0
אבן יהודה,2,0,0,1,1,0,0,0,0,0,0,0,0
פני חבר,0,0,0,0,3,0,0,0,0,0,0,0,0
כרמיאל,,0,0,1,0,0,0,0,0,0,0,0,0
נוף הגליל,16,0,0,0,0,1,0,0,0,0,0,0,0
רכסים,4,0,0,0,2,0,0,0,0,0,0,0,0
כפר יונה,4,0,0,0,0,1,0,0,0,0,0,0,0
קרית מוצקין,2,0,3,3,14,2,1,0,0,0,0,0,0
פרדס חנה-כרכו,4,0,0,1,5,1,1,0,0,0,0,0,0
בית שאן,1,0,5,35,68,73,6,2,1,2,0,0,0
אור יהודה,6,0,0,0,0,1,0,0,0,0,0,0,0
קרית גת,11,0,0,0,1,1,0,0,0,0,0,0,0
קרית אונו,1,0,2,9,9,8,1,0,0,0,0,0,0
נס ציונה,2,0,1,6,11,8,1,0,0,0,0,0,0
רמת השרון,18,0,0,0,0,1,0,0,0,0,0,0,0
זכרון יעקב,1,0,7,16,12,3,2,0,0,0,0,0,0
קרית מוצקין,5,0,1,0,1,0,0,0,0,0,0,0,0
רכסים,1,0,7,7,4,2,0,0,0,0,0,0,0
רמת השרון,12,0,0,0,0,1,0,0,0,0,0,0,0
חולון,11,0,0,0,0,1,0,0,0,0,0,0,0
קרית גת,14,0,0,0,0,1,0,0,0,0,0,0,0
חיפה,2,0,13,102,122,47,2,0,0,0,0,0,0
אור יהודה,3,0,0,16,23,2,1,0,0,0,0,0,0
קרית אונו,4,0,1,0,6,3,1,0,0,0,0,0,0
חדרה,6,0,0,0,2,0,0,0,0,0,0,0,0
קרית גת,16,0,0,0,0,1,0,0,0,0,0,0,0
קרית טבעון,1,0,9,18,11,1,0,0,0,0,0,0,0
מודיעין עילית,4,0,0,0,0,1,0,0,0,0,0,0,0
שדרות,2,0,0,26,90,27,4,1,0,0,0,0,0
מעלה אדומים,3,0,0,0,6,0,0,0,0,0,0,0,0
