Committee symbol,Lamas_code,settlement name,settlement name_Heb,settlement ID,BZB,Voters,Rejected,Accepted,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
17,24,LAKHISH,לכיש,24,562,465,2,463,52,0,2,0,0,0,8,12,0,1,0,0,0,0,0,3,8,29,83,0,0,0,264,0,0,0,0,0,0,0,0,1
3,26,ROSH PINNA,ראש פינה,26,2404,1730,3,1727,198,17,13,0,2,0,4,98,0,1,0,0,0,0,0,33,63,430,182,0,0,0,663,1,1,1,0,0,0,0,1,19
2,27,SEDOT MIKHA,שדות מיכה,27,268,187,1,186,7,4,0,2,0,0,19,10,0,0,0,0,0,0,0,5,1,76,0,0,0,0,10,0,0,0,0,0,0,0,0,52
13,28,MAZKERET BATYA,מזכרת בתיה,28,10432,7973,28,7945,653,35,7,2,0,0,36,557,1,6,1,0,1,0,1,130,357,2121,385,3,1,0,3457,1,8,0,1,1,1,5,1,173
3,29,YESUD HAMA'ALA,יסוד המעלה,29,1230,874,7,867,63,3,1,0,0,0,4,58,0,0,0,0,0,0,0,3,36,175,70,0,0,0,443,0,0,3,0,0,0,1,0,7
18,31,OFAQIM,אופקים,31,21413,14236,134,14102,488,2202,12,8,1,0,14,606,2,10,0,1,1,0,3,365,1216,4886,53,5,2,0,980,2,15,1,1,5,1,3,2,3217
17,32,OZEM,עוצם,32,434,344,2,342,6,5,0,0,0,0,3,9,0,0,0,0,0,0,0,7,4,109,0,0,0,0,8,0,0,0,0,0,0,0,0,191
9,33,BAT SHELOMO,בת שלמה,33,435,338,0,338,41,2,1,0,0,0,2,16,0,0,0,0,0,0,0,4,10,47,49,0,0,0,161,0,0,0,0,0,0,0,0,5
3,35,GADOT,גדות,35,371,242,1,241,35,0,1,0,1,0,0,3,0,1,0,0,0,0,0,1,5,10,44,0,0,0,140,0,0,0,0,0,0,0,0,0
17,36,SEDE DAWID,שדה דוד,36,415,314,1,313,12,5,1,0,0,0,17,12,0,0,0,0,0,0,0,7,7,142,2,0,0,0,57,1,0,0,0,0,0,0,0,50
17,37,ETAN,איתן,37,354,281,0,281,2,9,0,0,0,0,4,25,0,0,0,0,0,0,0,43,0,145,0,0,0,0,7,0,1,0,0,0,0,1,0,44
2,39,GEFEN,גפן,39,266,213,2,211,5,6,0,0,0,0,4,13,0,0,0,0,0,0,0,2,2,109,2,0,0,0,16,0,0,0,0,0,0,0,0,52
10,41,ELYAKHIN,אליכין,41,2595,1983,11,1972,87,43,0,1,0,0,7,131,1,4,0,0,0,0,0,52,57,954,29,0,0,0,338,0,1,0,0,0,1,0,0,266
3,43,METULA,מטולה,43,1416,837,4,833,89,3,0,0,0,0,6,33,0,1,0,0,0,0,0,10,42,140,63,0,0,0,433,0,0,1,0,1,1,1,0,9
17,44,ZOHAR,זוהר,44,265,199,0,199,6,8,0,0,0,0,6,10,0,0,0,0,0,0,0,1,3,119,1,0,0,0,23,0,0,0,0,0,0,0,0,22
4,46,YAVNE'EL,יבנאל,46,2496,1787,5,1782,45,66,3,0,0,0,3,58,1,3,0,0,0,0,0,76,29,410,28,0,0,0,308,0,2,0,0,0,1,0,8,741
4,47,KEFAR TAVOR,כפר תבור,47,3343,2435,3,2432,208,6,10,1,0,0,3,136,0,1,0,0,0,0,0,17,130,549,127,0,0,0,1212,0,2,3,0,0,0,0,4,23
4,48,MENAHEMYA,מנחמיה,48,932,593,2,591,39,16,2,0,0,0,4,24,1,0,0,0,0,0,0,21,22,269,8,0,1,0,162,1,0,1,0,0,0,0,3,17
4,49,ILANIYYA,אילניה,49,460,310,0,310,20,1,1,0,0,0,10,18,0,0,0,0,0,0,0,3,14,102,14,0,0,0,121,0,1,0,0,0,0,0,2,3
2,52,LUZIT,לוזית,52,451,340,1,339,16,8,2,1,0,0,10,22,0,1,0,0,0,0,0,6,8,137,14,0,0,0,63,0,0,0,0,0,0,0,0,51
9,53,ATLIT,עתלית,53,5675,4063,24,4039,265,38,20,1,0,0,2,157,0,2,3,1,0,0,1,50,175,1392,196,2,1,0,1551,0,2,1,0,0,0,0,4,175
17,55,NOGAH,נוגה,55,407,279,1,278,20,0,0,0,0,0,79,13,0,0,0,0,0,0,0,4,7,111,0,0,0,0,28,0,1,0,0,0,0,0,0,15
4,57,KINNERET(QEVUZA),כנרת (קבוצה),57,632,439,0,439,83,0,0,0,0,0,1,4,0,1,0,0,0,0,0,5,17,45,32,0,0,0,248,0,0,1,0,0,0,0,2,0
4,58,MIZPA,מצפה,58,136,94,0,94,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,20,5,0,0,0,53,0,0,0,0,0,0,0,0,0
2,59,NEHUSHA,נחושה,59,769,596,3,593,13,9,0,0,0,0,2,340,0,0,0,0,0,0,0,35,2,119,2,0,0,0,48,0,0,0,0,0,0,0,0,23
4,62,DEGANYA ALEF,דגניה א',62,514,335,0,335,78,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,4,20,48,0,0,0,178,0,0,0,0,0,0,0,0,1
4,63,KINNERET(MOSHAVA),כנרת (מושבה),63,522,363,2,361,33,3,2,1,0,0,0,12,0,0,0,0,0,0,0,0,7,110,21,0,0,0,170,0,0,0,0,0,0,0,2,0
12,64,YAD RAMBAM,"יד רמב""ם",64,848,638,0,638,24,9,0,0,0,0,60,35,0,0,0,0,0,0,0,14,13,328,4,0,0,0,83,0,0,0,0,0,0,0,0,68
4,65,MIGDAL,מגדל,65,1390,914,4,910,36,28,5,0,0,0,1,43,1,1,0,0,0,0,0,43,22,465,7,0,0,0,106,0,0,1,0,0,0,0,8,143
5,66,MERHAVYA(QIBBUZ),מרחביה (קיבוץ),66,891,639,2,637,54,1,2,0,0,0,1,17,1,0,0,0,0,0,0,6,43,117,113,0,0,0,277,0,0,0,0,0,0,0,0,5
17,67,OR HANER,אור הנר,67,614,473,1,472,97,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,22,23,50,0,0,0,274,0,0,0,0,0,0,0,0,0
18,69,NIR OZ,ניר עוז,69,325,225,1,224,27,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,13,77,0,0,0,96,0,2,0,1,0,0,0,0,1
17,70,ASHDOD,אשדוד,70,178302,116800,808,115992,3177,13627,35,33,11,0,171,3689,11,89,22,9,11,0,21,1703,20902,36221,691,32,14,0,18956,22,88,2,11,43,15,18,68,16300
18,71,ESHBOL,אשבול,71,408,313,0,313,39,1,0,0,0,0,7,17,0,0,0,0,0,0,0,7,8,136,4,0,0,0,68,1,0,0,0,0,0,0,0,25
9,72,GAN SHEMU'EL,גן שמואל,72,875,684,0,684,53,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3,9,304,0,0,0,309,1,0,0,0,0,0,0,0,0
9,74,EN HOD,עין הוד,74,496,358,1,357,27,2,9,0,0,0,0,7,0,0,0,0,0,0,0,0,12,17,116,0,0,0,166,0,0,0,0,0,1,0,0,0
3,76,KEFAR GIL'ADI,כפר גלעדי,76,567,355,0,355,56,1,0,0,0,0,1,6,0,1,0,0,0,0,0,1,14,18,42,0,0,0,213,0,0,0,0,0,0,0,0,2
3,77,AYYELET HASHAHAR,איילת השחר,77,814,567,1,566,110,3,0,0,1,0,4,6,0,0,0,0,0,0,0,0,29,44,73,1,0,0,291,0,0,0,0,0,0,1,2,1
2,78,QIRYAT ANAVIM,קרית ענבים,78,306,209,0,209,39,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,17,40,0,0,0,100,0,0,0,0,0,0,0,0,1
4,79,DEGANYA BET,דגניה ב',79,556,404,2,402,73,2,0,1,0,0,1,8,0,0,0,0,0,0,0,1,5,31,59,0,0,0,220,0,0,0,0,0,0,0,1,0
5,80,NAHALAL,נהלל,80,742,560,2,558,55,1,1,0,0,0,2,8,0,1,0,0,0,0,0,0,24,46,62,0,0,0,356,1,0,0,0,0,0,0,0,1
5,82,EN HAROD(ME'UHAD),עין חרוד (מאוחד),82,674,497,0,497,122,4,1,0,0,0,2,13,0,0,0,1,0,0,0,1,15,22,61,0,0,0,252,0,0,2,0,0,0,0,0,1
5,84,TEL YOSEF,תל יוסף,84,372,275,3,272,55,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,6,9,35,0,0,0,155,0,0,0,0,0,0,0,0,2
5,85,KEFAR YEHEZQEL,כפר יחזקאל,85,729,585,0,585,71,0,3,0,0,0,5,15,0,1,0,0,0,0,0,4,28,57,42,0,0,0,357,0,0,0,0,0,0,0,0,2
5,86,GEVA,גבע,86,522,380,0,380,128,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,4,11,47,0,0,0,185,0,0,0,0,0,0,0,0,0
5,89,EN HAROD (IHUD),עין חרוד (איחוד),89,519,376,1,375,61,1,1,0,0,0,0,6,0,1,0,0,0,0,0,2,13,15,39,0,0,0,236,0,0,0,0,0,0,0,0,0
5,90,HEFZI-BAH,חפצי-בה,90,566,432,1,431,79,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,10,68,48,0,0,0,209,0,0,1,0,0,0,0,0,2
5,92,GINNEGAR,גיניגר,92,536,384,2,382,64,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,12,31,81,0,0,0,187,0,0,1,0,0,0,0,0,0
5,94,BALFURYA,בלפוריה,94,393,322,0,322,32,3,0,0,0,0,9,19,0,1,0,0,0,0,0,3,26,51,18,0,0,0,156,0,0,0,0,0,0,0,0,4
5,95,BET ALFA,בית אלפא,95,592,425,3,422,54,4,2,0,0,0,1,7,0,1,0,0,1,0,0,1,8,12,102,0,0,0,222,0,0,0,0,0,0,0,2,5
8,96,YAGUR,יגור,96,1343,936,2,934,220,2,1,0,1,0,1,9,0,0,0,0,0,0,0,2,23,44,108,0,0,0,519,2,0,0,0,1,0,0,0,1
5,97,MERHAVYA(MOSHAV),מרחביה (מושב),97,563,429,5,424,35,5,2,0,0,0,26,12,0,0,0,0,0,0,0,4,11,65,32,0,0,0,229,0,0,0,0,0,0,0,0,3
19,98,KEFAR MALAL,"כפר מל""ל",98,285,232,0,232,28,0,0,0,0,0,32,4,0,0,0,0,0,0,0,2,2,31,32,0,0,0,101,0,0,0,0,0,0,0,0,0
18,99,MIZPE RAMON,מצפה רמון,99,3673,2092,17,2075,168,122,40,0,0,0,1,215,0,7,0,0,1,0,0,88,224,643,186,2,1,0,308,1,1,0,3,0,1,1,1,61
9,102,ME'IR SHEFEYA,מאיר שפיה,102,118,63,1,62,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,18,4,0,0,0,24,0,0,0,0,0,0,1,0,0
5,103,TEL ADASHIM,תל עדשים,103,846,658,1,657,59,7,2,0,0,0,5,21,0,0,0,0,0,0,0,3,31,127,43,0,0,0,357,0,0,0,0,0,0,0,0,2
5,104,MIZRA,מזרע,104,683,488,1,487,45,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,11,17,164,0,0,0,244,0,0,0,0,0,0,0,0,0
5,106,KEFAR GID'ON,כפר גדעון,106,182,140,0,140,5,61,0,0,0,0,2,8,0,0,0,0,0,0,0,3,2,29,0,0,0,0,9,0,0,0,0,0,0,0,0,21
17,107,KEFAR SILVER,כפר סילבר,107,97,35,0,35,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0,23,0,0,0,0,0,0,0,0,0
8,112,KEFAR HASIDIM ALEF,כפר חסידים א',112,516,393,1,392,19,18,0,0,0,0,1,76,0,0,0,0,0,0,1,12,13,73,9,1,0,0,152,0,0,0,0,0,0,0,0,17
5,113,ADDIRIM,אדירים,113,230,191,0,191,2,8,0,0,0,0,1,13,0,1,0,0,0,0,0,9,2,84,0,0,0,0,9,0,0,0,0,0,0,0,0,62
10,115,HOFIT,חופית,115,737,521,0,521,29,2,1,0,1,0,0,15,0,1,0,0,0,0,0,0,17,42,89,0,0,0,324,0,0,0,0,0,0,0,0,0
5,122,RAMAT YISHAY,רמת ישי,122,5665,4199,9,4190,345,15,1,0,1,0,2,152,0,3,0,0,0,0,0,50,226,1044,235,0,0,0,2058,1,1,1,1,3,1,0,2,48
5,126,SARID,שריד,126,752,549,3,546,66,1,2,0,0,0,0,6,0,0,0,0,0,0,0,3,26,25,158,0,0,0,255,1,0,0,0,0,0,0,1,2
1,127,RAMAT RAHEL,רמת רחל,127,358,284,0,284,37,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,10,23,27,0,0,0,175,0,0,0,0,0,0,0,0,2
11,128,GAT RIMMON,גת רימון,128,198,147,0,147,13,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,29,15,1,1,0,66,0,0,0,0,0,0,0,0,3
5,130,MISHMAR HAEMEQ,משמר העמק,130,951,719,0,719,132,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,268,0,0,0,291,1,0,0,0,0,0,0,1,0
5,132,KEFAR BARUKH,כפר ברוך,132,362,291,0,291,34,1,0,0,0,0,1,3,0,0,0,0,1,0,0,3,10,72,10,0,0,0,155,0,0,0,0,0,0,0,0,1
5,133,GEVAT,גבת,133,681,560,1,559,116,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,8,18,96,0,0,0,316,0,0,0,0,0,0,0,0,0
5,134,YIF'AT,יפעת,134,826,636,11,625,117,0,3,0,0,0,0,8,0,0,0,0,0,0,0,5,21,60,90,0,0,0,318,0,0,0,0,0,0,0,0,3
5,135,RAMAT DAWID,רמת דוד,135,355,288,2,286,41,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,21,45,0,0,0,166,0,0,0,0,0,0,0,0,0
9,139,EN SHEMER,עין שמר,139,587,428,1,427,52,0,0,0,0,0,0,7,0,3,0,0,0,0,0,2,10,13,149,0,1,0,189,0,0,0,0,0,0,0,0,1
5,140,KEFAR YEHOSHUA,כפר יהושע,140,828,654,0,654,63,0,2,0,2,0,10,10,0,1,0,0,0,0,1,1,21,38,100,0,0,0,403,0,0,0,0,1,0,0,0,1
5,141,BARAQ,ברק,141,306,227,1,226,25,1,0,0,0,0,3,11,0,1,0,0,0,0,0,0,5,92,0,0,0,0,83,0,0,0,0,0,0,0,0,5
5,142,SEDE YA'AQOV,שדה יעקב,142,626,494,0,494,25,7,0,0,0,0,10,225,0,0,0,0,0,0,0,18,6,123,6,0,0,0,65,0,0,0,0,0,0,0,0,9
4,143,BET ZERA,בית זרע,143,609,375,0,375,46,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,9,13,116,0,0,0,180,0,0,0,1,0,0,0,0,1
13,144,GAN SHELOMO,גן שלמה,144,398,319,1,318,63,0,1,0,0,0,1,3,0,2,0,0,0,0,0,2,2,10,66,0,0,0,166,1,0,0,0,0,0,0,0,1
5,145,GADISH,גדיש,145,275,188,0,188,5,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8,1,144,0,0,0,0,6,0,0,0,0,0,0,0,0,12
5,146,DEVORA,דבורה,146,230,165,0,165,24,0,1,0,0,0,0,6,0,1,0,0,0,0,0,2,6,35,3,0,0,0,83,0,0,1,0,0,0,0,0,3
13,147,GIV'AT BRENNER,גבעת ברנר,147,1875,1412,4,1408,249,2,6,0,1,0,6,31,0,1,0,0,0,0,0,9,33,131,195,0,0,0,735,0,3,0,0,0,0,1,1,4
10,154,TEL MOND,תל מונד,154,9348,7078,28,7050,396,45,6,0,0,0,16,407,0,7,0,0,0,0,0,85,279,1696,376,1,1,0,3552,1,1,0,1,0,0,2,0,178
17,155,BE'ER TOVIYYA,באר טוביה,155,805,664,0,664,55,0,1,0,0,0,33,11,0,0,0,0,0,0,0,3,18,63,56,0,0,0,413,0,4,0,0,0,0,0,0,7
13,156,AYANOT,עיינות,156,136,53,0,53,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,12,4,0,0,0,17,0,0,0,0,0,0,0,0,0
10,157,EN WERED,עין ורד,157,1091,879,2,877,58,4,3,0,0,0,78,15,0,0,0,0,0,0,0,3,26,46,103,0,0,0,540,0,0,0,0,0,0,0,0,1
12,158,NA'AN,נען,158,1295,981,1,980,224,0,3,0,0,0,4,18,0,0,0,0,0,0,0,1,21,48,165,0,0,0,495,0,0,0,0,0,0,1,0,0
13,159,BET HANAN,בית חנן,159,522,404,0,404,39,0,0,0,0,0,35,8,0,1,0,0,0,0,0,1,17,46,33,0,0,0,222,0,0,0,0,0,0,0,0,2
12,160,HULDA,חולדה,160,643,523,1,522,75,2,0,0,0,0,2,11,0,2,1,0,0,0,0,2,14,70,67,0,0,0,274,0,1,0,0,0,0,0,0,1
10,162,HERUT,חירות,162,932,759,0,759,91,0,3,0,1,0,19,13,0,0,0,0,0,0,0,0,21,30,108,0,0,0,470,0,0,0,0,1,0,0,1,1
17,163,TIMMORIM,תימורים,163,636,476,0,476,50,0,1,0,0,0,11,13,0,0,0,0,0,0,0,4,18,48,29,0,0,0,299,0,1,0,0,0,1,0,0,1
5,164,MELE'A,מלאה,164,278,216,1,215,12,1,0,0,0,0,5,13,0,0,0,0,0,0,0,6,4,129,1,0,0,0,21,0,0,0,0,0,0,0,0,23
5,165,NIR YAFE,ניר יפה,165,408,298,0,298,31,0,0,1,0,0,3,9,0,0,0,1,0,0,0,4,8,116,3,0,0,0,107,0,0,0,0,0,0,0,0,15
13,166,GAN YAVNE,גן יבנה,166,16360,12192,60,12132,702,66,11,5,1,0,53,674,1,22,0,1,0,0,0,223,807,4615,206,1,1,0,3962,2,6,0,0,1,2,1,8,761
10,167,EN HAHORESH,עין החורש,167,694,555,0,555,89,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,179,0,0,0,271,0,0,0,0,0,0,0,0,1
10,168,KEFAR YONA,כפר יונה,168,15904,11619,51,11568,647,156,10,4,1,0,18,502,0,17,0,1,0,0,2,167,635,3937,348,1,0,0,4552,1,7,0,0,6,1,0,3,552
10,170,KEFAR YA'BEZ,כפר יעבץ,170,465,369,0,369,6,13,1,0,0,0,6,63,0,0,0,0,0,0,0,26,2,183,3,0,0,0,34,0,0,0,0,0,0,0,0,32
10,171,PARDESIYYA,פרדסיה,171,4991,3775,7,3768,327,16,0,1,1,0,3,178,0,3,0,0,0,0,0,35,134,908,159,2,0,0,1901,0,1,0,1,0,0,0,1,97
10,173,GIV'AT HAYYIM(ME'UHAD),גבעת חיים (מאוחד),173,893,672,1,671,156,1,3,0,0,0,2,9,0,1,0,0,0,0,0,2,17,31,146,0,0,0,302,0,0,0,0,0,0,0,0,1
13,174,NETA'IM,נטעים,174,544,415,2,413,51,5,1,0,0,0,5,12,0,2,0,0,0,0,0,0,10,59,36,1,0,0,228,0,1,0,0,0,0,0,0,2
10,175,AVIHAYIL,אביחיל,175,984,733,1,732,67,0,5,0,0,0,6,22,0,0,0,0,0,0,0,1,24,85,80,1,0,0,432,0,0,0,0,0,0,0,2,7
4,176,AFIQIM,אפיקים,176,1082,715,3,712,180,1,2,0,0,0,3,11,0,2,0,0,0,0,0,2,19,33,76,0,0,0,377,0,1,0,0,0,0,0,3,2
13,177,KEFAR BILU,"כפר ביל""ו",177,868,681,1,680,59,9,2,1,0,0,53,9,0,0,0,0,0,0,0,5,21,58,74,0,0,0,380,0,1,1,0,0,1,0,0,6
8,178,RAMAT YOHANAN,רמת יוחנן,178,828,562,1,561,88,2,2,0,0,0,1,10,0,0,0,0,0,0,0,4,20,30,96,0,0,0,307,0,1,0,0,0,0,0,0,0
10,182,EVEN YEHUDA,אבן יהודה,182,9906,7512,12,7500,547,52,13,1,0,0,6,255,0,8,1,2,0,0,0,52,304,1584,572,1,0,0,3956,0,0,0,0,0,0,0,3,143
19,183,YARQONA,ירקונה,183,311,227,0,227,19,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,6,23,29,0,0,0,132,0,0,0,0,0,0,0,0,1
19,184,RAMAT HAKOVESH,רמת הכובש,184,659,526,0,526,90,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,14,19,106,0,0,0,288,0,0,0,0,0,0,1,0,2
10,186,NE'URIM,נעורים,186,195,73,1,72,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,11,2,0,0,0,44,0,0,0,0,0,0,0,0,1
10,187,KEFAR HESS,כפר הס,187,1051,810,0,810,96,0,5,0,0,0,23,12,0,1,0,0,0,0,0,1,13,44,119,0,0,0,494,0,0,0,0,0,1,0,0,1
4,188,ASHDOT YA'AQOV(ME'UHAD),אשדות יעקב  (מאוחד),188,516,345,1,344,84,0,0,0,1,0,2,9,0,0,0,0,0,0,0,7,17,49,26,0,0,0,146,0,0,0,0,0,0,0,0,3
9,189,KEFAR PINES,כפר פינס,189,376,302,0,302,3,3,0,0,0,0,1,208,0,0,0,0,0,0,0,13,3,50,1,0,0,0,19,0,0,0,0,0,0,1,0,0
10,190,KEFAR VITKIN,כפר ויתקין,190,1402,1059,2,1057,115,4,2,0,0,0,43,12,0,0,0,0,0,0,0,1,22,46,188,0,0,0,624,0,0,0,0,0,0,0,0,0
10,191,HADAR AM,הדר עם,191,511,413,0,413,33,2,2,0,0,0,1,6,0,2,0,0,0,0,0,1,20,36,61,0,0,0,248,0,0,0,0,0,0,0,0,1
5,192,KEFAR HAHORESH,כפר החורש,192,479,359,2,357,53,0,0,1,0,0,2,7,0,0,0,0,0,0,0,5,25,28,55,0,0,0,180,0,0,0,0,0,0,0,0,1
10,193,KEFAR HAYYIM,כפר חיים,193,422,331,0,331,39,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,6,29,43,0,0,0,204,0,0,1,0,0,0,0,0,0
10,194,MISHMAR HASHARON,משמר השרון,194,515,348,0,348,64,1,2,0,0,0,3,4,0,0,0,1,0,0,0,1,6,13,102,0,0,0,149,0,0,0,0,0,0,1,0,1
10,195,QADIMA-ZORAN,קדימה-צורן,195,15422,11682,24,11658,736,57,17,4,0,0,31,398,3,7,1,0,0,0,0,128,618,2511,697,2,1,0,5815,5,1,1,0,2,2,0,3,618
13,196,GIBBETON,גיבתון,196,260,207,0,207,27,2,1,0,0,0,2,9,0,0,0,0,0,0,0,2,8,23,23,0,0,0,110,0,0,0,0,0,0,0,0,0
10,197,MA'BAROT,מעברות,197,738,568,1,567,68,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,15,230,0,0,0,237,0,0,0,1,1,0,0,0,1
19,198,ZOFIT,צופית,198,804,593,0,593,61,3,1,0,0,0,38,5,0,0,0,0,0,0,0,1,14,38,84,0,0,0,346,1,0,0,0,0,0,0,0,1
4,199,ASHDOT YA'AQOV(IHUD),אשדות יעקב  (איחוד),199,647,476,0,476,97,0,0,0,0,0,0,19,0,1,0,0,0,0,0,1,16,53,32,0,0,0,256,0,0,0,0,0,0,0,1,0
10,200,BET YANNAY,בית ינאי,200,303,193,0,193,16,0,4,0,0,0,3,2,0,0,0,0,0,0,0,0,5,12,31,0,0,0,120,0,0,0,0,0,0,0,0,0
13,202,BET OVED,בית עובד,202,249,190,0,190,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,6,12,28,0,0,0,122,0,0,0,0,0,0,0,0,0
10,204,ELYASHIV,אלישיב,204,467,353,1,352,12,1,0,0,0,0,1,37,0,2,0,0,0,0,0,11,8,163,9,0,0,0,84,0,0,0,0,0,1,0,0,23
10,205,HOGLA,חגלה,205,506,401,0,401,50,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,7,20,66,0,0,0,242,0,0,0,0,0,0,0,1,0
19,206,RAMOT HASHAVIM,רמות השבים,206,1169,876,1,875,61,2,1,0,2,0,6,20,0,1,0,0,0,0,0,5,33,59,128,0,0,0,548,0,4,0,0,0,0,0,0,5
19,207,GIV'AT HEN,"גבעת ח""ן",207,303,251,2,249,32,0,1,0,0,0,23,4,0,0,0,0,0,0,0,1,5,12,34,0,0,0,136,0,1,0,0,0,0,0,0,0
2,208,MOZA ILLIT,מוצא עילית,208,906,642,0,642,70,0,9,0,0,0,4,11,0,0,1,0,0,0,0,5,27,91,108,0,0,0,306,0,1,0,0,0,0,0,1,8
9,212,BET ZEVI,בית צבי,212,74,36,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,213,MISHMAROT,משמרות,213,585,467,0,467,72,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,6,30,73,0,0,0,274,0,0,0,0,0,0,0,0,1
10,217,KEFAR HARO'E,"כפר הרא""ה",217,729,581,0,581,18,12,0,0,0,0,3,331,0,0,0,0,0,0,0,35,2,92,5,0,0,0,70,0,1,0,0,0,0,0,0,12
19,218,GANNE AM,גני עם,218,212,167,0,167,27,0,1,0,0,0,4,6,0,0,0,0,0,0,0,1,6,16,19,0,0,0,86,0,0,0,0,0,0,0,0,1
10,219,HIBBAT ZIYYON,חיבת ציון,219,448,368,1,367,37,2,0,0,0,0,13,47,0,2,0,0,0,0,0,5,11,40,26,0,0,0,181,0,0,0,0,0,0,0,0,3
8,220,KEFAR BIALIK,כפר ביאליק,220,471,360,0,360,23,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,16,84,17,0,0,0,201,0,0,0,0,0,0,0,0,4
9,223,EN IRON,עין עירון,223,405,330,0,330,25,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,3,20,70,0,0,0,203,0,0,0,0,0,0,0,0,1
10,224,SHOSHANNAT HAAMAQIM,שושנת העמקים,224,446,315,4,311,23,1,1,0,0,0,0,10,0,0,0,0,0,0,0,5,7,115,9,0,0,0,104,0,0,0,0,0,0,0,0,36
