lamas_code,CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms
2034,HAZOR HAGELILIT,2,0,0,15,47,6,1,1,0,0,0,0,0
6100,BENE BERAQ,5,0,0,6,9,0,1,0,0,0,0,0,0
6900,KEFAR SAVA,1,0,4,24,44,9,1,0,0,0,0,0,0
8000,ZEFAT,7,0,0,13,18,2,0,0,0,0,0,0,0
3717,HERMESH,1,0,0,0,5,0,0,0,0,0,0,0,0
3574,BET EL,1,0,0,0,8,5,0,0,0,0,0,0,0
6800,QIRYAT ATTA,2,0,16,74,62,8,1,1,0,0,0,0,0
874,MIGDAL HAEMEQ,8,0,0,0,0,4,0,0,0,0,0,0,0
8000,ZEFAT,1,0,2,37,86,9,1,1,0,0,0,0,0
874,MIGDAL HAEMEQ,2,0,1,99,120,19,0,0,0,0,0,0,0
466,BET DAGAN,2,0,1,2,6,0,0,0,0,0,0,0,0
2034,HAZOR HAGELILIT,5,0,0,1,4,0,0,0,0,0,0,0,0
9100,NAHARIYYA,0,0,0,0,2,2,0,0,0,0,0,0,0
6900,KEFAR SAVA,7,0,0,0,1,0,0,0,0,0,0,0,0
8500,RAMLA,7,0,1,0,7,1,0,0,0,0,0,0,0
122,RAMAT YISHAY,1,0,3,0,5,0,0,0,0,0,0,0,0
874,MIGDAL HAEMEQ,5,0,0,0,1,5,0,0,0,0,0,0,0
8300,RISHON LEZIYYON,1,0,16,40,107,42,4,0,0,0,0,0,0
6900,KEFAR SAVA,4,0,0,1,18,4,0,0,0,0,0,0,0
8000,ZEFAT,10,0,0,1,6,0,0,0,0,0,0,0,0
9600,QIRYAT YAM,0,0,4,4,1,1,1,1,0,0,0,0,0
8000,ZEFAT,4,0,0,28,32,6,0,0,0,0,0,0,0
3765,ELI,1,0,0,0,32,0,0,0,0,0,0,0,0
2600,ELAT,10,0,0,0,0,1,0,0,0,0,0,0,0
1061,NOF HAGALIL,8,0,0,4,13,2,0,0,0,0,0,0,0
7400,NETANYA,5,0,0,3,20,10,1,0,0,0,0,0,0
154,TEL MOND,3,0,0,0,2,1,0,0,0,0,0,0,0
9400,YEHUD,9,0,0,0,0,1,0,0,0,0,0,0,0
2100,TIRAT KARMEL,1,0,45,90,73,14,0,0,0,0,0,0,0
240,YOQNE'AM ILLIT,4,0,1,7,6,1,0,0,0,0,0,0,0
7700,AFULA,10,0,0,0,3,0,0,0,0,0,0,0,0
922,REKHASIM,2,0,0,3,1,3,0,0,0,0,0,0,0
2650,RAMAT HASHARON,7,0,0,0,0,2,0,0,0,0,0,0,0
26,ROSH PINNA,2,0,0,0,7,0,0,0,0,0,0,0,0
7800,PARDES HANNA-KARKUR,2,0,7,20,11,1,1,0,0,0,0,0,0
8000,ZEFAT,9,0,0,1,15,3,0,0,0,0,0,0,0
2650,RAMAT HASHARON,13,0,0,0,0,2,0,0,0,0,0,0,0
2600,ELAT,7,0,0,0,3,2,0,0,0,0,0,0,0
9500,QIRYAT BIALIK,2,0,38,48,25,3,1,0,0,0,0,0,0
3780,BETAR ILLIT,0,0,0,0,2,3,1,0,0,0,0,0,0
7700,AFULA,4,0,2,57,106,14,1,1,0,0,0,0,0
240,YOQNE'AM ILLIT,1,0,5,17,9,5,1,0,0,0,0,0,0
3752,MA'ALE LEVONA,1,0,0,0,3,0,0,0,0,0,0,0,0
5000,TEL AVIV - YAFO,11,0,0,0,1,1,0,0,0,0,0,0,0
7400,NETANYA,2,0,13,38,112,32,8,0,0,0,0,0,0
2650,RAMAT HASHARON,10,0,0,0,0,1,0,0,0,0,0,0,0
7700,AFULA,7,0,0,32,21,3,0,0,0,0,0,0,0
2650,RAMAT HASHARON,4,0,0,6,4,1,0,0,0,0,0,0,0
2600,ELAT,4,0,0,8,27,7,0,0,0,0,0,0,0
1223,SEDE AVRAHAM,0,0,0,0,2,0,0,0,0,0,0,0,0
7600,AKKO,2,0,38,87,74,12,0,0,0,0,0,0,0
1292,JUDEIDE-MAKER,1,0,0,10,14,0,0,0,0,0,0,0,0
3598,ARGAMAN,1,0,0,0,1,0,0,0,0,0,0,0,0
565,AZOR,2,0,0,0,9,1,0,0,0,0,0,0,0
3611,QIRYAT ARBA,4,0,1,0,21,8,0,0,0,0,0,0,0
3000,JERUSALEM,10,0,0,0,3,1,0,0,0,0,0,0,0
3570,ARI'EL,1,0,0,8,6,0,0,0,0,0,0,0,0
3652,BET ARYE-OFARIM,1,0,0,0,0,2,0,0,0,0,0,0,0
7900,PETAH TIQWA,11,0,0,0,0,1,0,0,0,0,0,0,0
70,ASHDOD,16,0,0,0,0,1,0,0,0,0,0,0,0
7900,PETAH TIQWA,8,0,0,0,3,2,0,0,0,0,0,0,0
3560,ELQANA,0,0,0,0,0,0,1,0,0,0,0,0,0
1247,HARISH,0,0,0,0,1,0,0,0,0,0,0,0,0
4000,HAIFA,3,0,25,102,96,33,3,0,0,0,0,0,0
6200,BAT YAM,2,0,2,57,96,19,1,0,0,0,0,0,0
9500,QIRYAT BIALIK,5,0,0,0,2,2,0,0,0,0,0,0,0
3611,QIRYAT ARBA,1,0,2,9,30,15,0,0,0,0,0,0,0
3570,ARI'EL,4,0,0,0,4,0,0,0,0,0,0,0,0
4000,HAIFA,0,0,10,30,20,12,2,0,1,0,0,0,0
880,EN SARID,1,0,1,1,1,1,0,0,0,0,0,0,0
#N/A,Hebron,1,0,0,0,0,0,0,0,1,0,0,0,0
3000,JERUSALEM,7,0,0,0,16,9,0,0,0,0,0,0,0
3000,JERUSALEM,13,0,0,0,1,0,0,0,0,0,0,0,0
7900,PETAH TIQWA,5,0,0,0,6,13,0,0,0,0,0,0,0
2300,QIRYAT TIV'ON,4,0,0,0,0,2,0,0,0,0,0,0,0
1229,KALLANIT,0,0,0,0,9,0,0,0,0,0,0,0,0
9500,QIRYAT BIALIK,8,0,0,0,1,3,0,0,0,0,0,0,0
2500,NESHER,12,0,0,0,0,1,0,0,0,0,0,0,0
1063,MA'ALOT-TARSHIHA,4,0,0,2,36,5,0,0,0,0,0,0,0
8500,RAMLA,2,0,0,43,70,30,3,0,0,0,0,0,0
831,YEROHAM,1,0,5,63,104,19,8,7,1,0,0,0,0
168,KEFAR YONA,2,0,0,3,4,4,0,0,0,0,0,0,0
9200,BET SHE'AN,3,0,0,1,113,105,1,1,0,1,0,0,0
1210,KAHAL,,0,0,0,1,0,0,0,0,0,0,0,0
6200,BAT YAM,8,0,0,0,5,3,0,0,0,0,0,0,0
4000,HAIFA,1,0,58,118,140,36,3,0,0,0,0,0,0
3797,MODI'IN ILLIT,5,0,0,0,0,1,0,0,0,0,0,0,0
3746,QIRYAT NETAFIM,1,0,0,0,10,0,0,0,0,0,0,0,0
880,EN SARID,0,0,0,0,0,1,0,0,0,0,0,0,0
9300,ZIKHRON YA'AQOV,2,0,1,2,1,4,0,0,0,0,0,0,0
3754,ASFAR,0,0,0,0,5,0,0,0,0,0,0,0,0
122,RAMAT YISHAY,0,0,0,0,1,0,0,0,0,0,0,0,0
2800,QIRYAT SHEMONA,6,0,0,0,1,8,0,0,0,0,0,0,0
8300,RISHON LEZIYYON,0,0,1,0,1,0,0,0,0,0,0,0,0
7900,PETAH TIQWA,4,0,0,33,56,7,3,0,0,0,0,0,0
2500,NESHER,5,0,7,1,6,3,0,0,0,0,0,0,0
8300,RISHON LEZIYYON,6,0,0,0,10,4,0,0,0,0,0,0,0
6900,KEFAR SAVA,5,0,0,0,6,0,0,0,0,0,0,0,0
2630,QIRYAT GAT,15,0,0,0,0,1,0,0,0,0,0,0,0
#N/A,Neomi,0,0,0,0,3,0,0,0,0,0,0,0,0
6600,HOLON,0,0,0,2,6,0,0,0,0,0,0,0,0
8700,RA'ANNANA,3,0,0,2,8,3,2,0,0,0,0,0,0
1139,KARMI'EL,9,0,0,0,0,3,0,0,0,0,0,0,0
4000,HAIFA,7,0,5,5,17,10,1,0,0,0,0,0,0
7100,ASHQELON,8,0,0,0,8,1,0,0,0,0,0,0,0
2800,QIRYAT SHEMONA,9,0,0,0,8,4,0,0,0,0,0,0,0
7900,PETAH TIQWA,10,0,0,0,3,0,0,0,0,0,0,0,0
6900,KEFAR SAVA,2,0,0,15,25,6,1,0,0,0,0,0,0
8300,RISHON LEZIYYON,3,0,2,23,74,43,2,0,0,0,0,0,0
7900,PETAH TIQWA,7,0,0,0,1,0,0,0,0,0,0,0,0
1232,YEVUL,0,0,0,0,3,0,0,0,0,0,0,0,0
6600,HOLON,3,0,9,37,69,16,4,0,0,0,0,0,0
4000,HAIFA,4,0,16,70,76,18,0,0,0,0,0,0,0
1247,HARISH,1,0,0,0,3,1,0,0,0,0,0,0,0
2630,QIRYAT GAT,12,0,0,0,0,1,0,0,0,0,0,0,0
7100,ASHQELON,5,0,0,4,9,5,1,0,0,0,0,0,0
1066,BENE AYISH,2,0,0,0,1,0,0,0,0,0,0,0,0
1061,NOF HAGALIL,12,0,0,0,0,4,0,0,0,0,0,0,0
240,YOQNE'AM ILLIT,8,0,0,0,1,0,0,0,0,0,0,0,0
154,TEL MOND,1,0,0,6,4,1,6,0,0,0,0,0,0
7400,NETANYA,7,0,0,1,11,9,1,0,0,0,0,0,0
1063,MA'ALOT-TARSHIHA,0,0,0,1,2,3,1,0,0,0,0,0,0
3616,MA'ALE ADUMMIM,2,0,0,0,3,1,0,0,0,0,0,0,0
7700,AFULA,3,0,2,52,182,41,0,0,0,0,0,0,0
2500,NESHER,8,0,0,0,2,4,0,0,0,0,0,0,0
1063,MA'ALOT-TARSHIHA,6,0,0,0,3,2,0,0,0,0,0,0,0
240,YOQNE'AM ILLIT,2,0,6,11,11,4,0,0,0,0,0,0,0
1227,YATED,0,0,0,0,2,0,0,0,0,0,0,0,0
1061,NOF HAGALIL,3,0,7,126,226,21,0,4,0,0,0,0,0
9200,BET SHE'AN,5,0,0,0,13,2,0,0,0,0,0,0,0
7400,NETANYA,1,0,73,74,138,58,11,2,0,0,0,0,0
7700,AFULA,6,0,0,32,33,6,1,0,0,0,0,0,0
2400,OR YEHUDA,2,0,0,13,18,2,0,0,0,0,0,0,0
2620,QIRYAT ONO,5,0,0,0,1,3,0,0,0,0,0,0,0
2530,BE'ER YA'AQOV,3,0,0,3,18,0,0,0,0,0,0,0,0
1066,BENE AYISH,5,0,0,0,1,0,0,0,0,0,0,0,0
1063,MA'ALOT-TARSHIHA,3,0,0,31,63,9,0,0,0,0,0,0,0
7400,NETANYA,4,0,0,19,79,30,2,0,0,0,0,0,0
6400,HERZLIYYA,4,0,6,10,9,2,0,0,0,0,0,0,0
469,QIRYAT EQRON,4,0,0,1,1,0,0,0,0,0,0,0,0
43,METULA,2,0,0,0,0,2,0,0,0,0,0,0,0
3660,IMMANU'EL,1,0,0,0,0,0,1,0,0,0,0,0,0
240,YOQNE'AM ILLIT,5,0,0,0,0,5,0,0,0,0,0,0,0
26,ROSH PINNA,1,0,0,3,11,0,2,0,0,0,0,0,0
7700,AFULA,9,0,0,2,3,0,0,0,0,0,0,0,0
9200,BET SHE'AN,2,0,2,19,123,86,1,0,0,1,0,0,0
1061,NOF HAGALIL,6,0,0,14,30,2,0,0,0,0,0,0,0
70,ASHDOD,10,0,0,0,0,1,0,0,0,0,0,0,0
2650,RAMAT HASHARON,19,0,0,0,0,1,0,0,0,0,0,0,0
5000,TEL AVIV - YAFO,2,0,25,153,201,75,11,1,0,0,0,0,0
1034,QIRYAT MAL'AKHI,2,0,0,34,33,16,1,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,9,0,0,0,0,0,1,0,0,0,0,0,0
874,MIGDAL HAEMEQ,4,0,0,6,80,11,0,0,0,0,0,0,0
2600,ELAT,1,0,5,19,60,12,1,0,0,0,0,0,0
7000,LOD,8,0,0,0,1,2,0,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,6,0,0,0,0,0,1,0,0,0,0,0,0
5000,TEL AVIV - YAFO,8,0,0,1,24,4,0,0,0,0,0,0,0
70,ASHDOD,4,0,5,133,121,41,5,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,0,0,2,1,0,0,0,0,0,0,0,0,0
1309,EL'AD,2,0,0,0,5,5,0,0,0,0,0,0,0
195,QADIMA-ZORAN,0,0,0,1,1,1,0,0,0,0,0,0,0
2550,GEDERA,0,0,0,0,0,1,0,0,0,0,0,0,0
3749,YIZHAR,1,0,0,0,2,0,0,0,0,0,0,0,0
70,ASHDOD,7,0,0,0,10,14,3,0,0,0,0,0,0
2650,RAMAT HASHARON,16,0,0,0,0,1,0,0,0,0,0,0,0
1034,QIRYAT MAL'AKHI,5,0,0,0,0,3,0,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,3,0,0,3,18,2,0,0,0,0,0,0,0
195,QADIMA-ZORAN,3,0,0,2,4,1,0,0,0,0,0,0,0
13,HAZEVA,0,0,0,0,3,0,0,0,0,0,0,0,0
5000,TEL AVIV - YAFO,5,0,0,6,49,13,0,0,0,0,0,0,0
874,MIGDAL HAEMEQ,1,0,6,78,128,34,5,0,0,0,0,0,0
874,MIGDAL HAEMEQ,7,0,0,0,4,5,0,0,0,0,0,0,0
2550,GEDERA,3,0,0,0,1,1,0,0,0,0,0,0,0
3780,BETAR ILLIT,3,0,0,0,2,0,0,0,0,0,0,0,0
8400,REHOVOT,1,0,5,49,70,31,13,1,0,0,0,0,0
7200,NES ZIYYONA,3,0,1,4,13,2,1,0,0,0,0,0,0
9600,QIRYAT YAM,3,0,7,32,56,8,0,0,0,0,0,0,0
229,GANNE TIQWA,2,0,0,0,10,1,0,0,0,0,0,0,0
2560,ARAD,5,0,0,0,3,5,0,0,0,0,0,0,0
1105,PORIYYA-NEWE OVED,1,0,1,1,1,0,0,0,0,0,0,0,0
1237,TALME YOSEF,0,0,0,0,0,1,0,0,0,0,0,0,0
168,KEFAR YONA,8,0,0,0,1,0,0,0,0,0,0,0,0
812,SHELOMI,4,0,0,5,4,5,0,0,0,0,0,0,0
4011,AVNE ETAN,0,0,0,0,8,0,0,0,0,0,0,0,0
2640,ROSH HAAYIN,2,0,0,2,15,7,4,0,0,0,0,0,0
2560,ARAD,2,0,6,21,21,8,1,0,0,0,0,0,0
7200,NES ZIYYONA,6,0,0,0,0,1,0,0,0,0,0,0,0
1150,ZOFAR,0,0,0,0,2,0,0,0,0,0,0,0,0
8400,REHOVOT,4,0,1,14,37,7,0,0,0,0,0,0,0
8500,RAMLA,13,0,0,0,0,1,0,0,0,0,0,0,0
229,GANNE TIQWA,5,0,0,0,1,0,0,0,0,0,0,0,0
2560,ARAD,8,0,0,0,1,0,0,0,0,0,0,0,0
3640,QARNE SHOMERON,1,0,0,0,35,8,6,0,0,0,0,0,0
681,GIV'AT SHEMU'EL,3,0,0,5,2,0,0,0,0,0,0,0,0
8400,REHOVOT,7,0,0,1,2,3,0,0,0,0,0,0,0
812,SHELOMI,1,0,1,3,40,25,2,0,1,0,0,0,0
4100,QAZRIN,1,0,4,2,24,5,0,0,0,0,0,0,0
9600,QIRYAT YAM,9,0,0,0,0,1,0,0,0,0,0,0,0
7300,NAZARETH,3,0,0,0,7,4,0,0,0,0,0,0,0
2800,QIRYAT SHEMONA,2,0,4,19,150,115,1,1,0,0,0,0,0
1176,SAPPIR,0,0,0,0,3,0,0,0,0,0,0,0,0
8400,REHOVOT,10,0,0,0,0,1,0,0,0,0,0,0,0
#N/A,ZROR,1,0,0,0,17,3,0,0,0,0,0,0,0
6600,HOLON,10,0,0,0,1,0,0,0,0,0,0,0,0
6800,QIRYAT ATTA,0,0,0,0,1,0,1,0,0,0,0,0,0
6500,HADERA,0,0,0,0,0,2,0,0,0,0,0,0,0
2630,QIRYAT GAT,5,0,0,7,11,2,0,0,0,0,0,0,0
1139,KARMI'EL,2,0,0,24,82,7,0,0,0,0,0,0,0
1291,KEMEHIN,1,0,0,0,4,0,0,0,0,0,0,0,0
8700,RA'ANNANA,0,0,0,2,2,2,0,0,0,0,0,0,0
8300,RISHON LEZIYYON,,0,0,0,4,0,0,0,0,0,0,0,0
9600,QIRYAT YAM,5,0,0,2,1,1,1,0,0,0,0,0,0
2560,ARAD,7,0,0,0,7,3,0,0,0,0,0,0,0
1251,EN TAMAR,0,0,0,0,1,0,0,0,0,0,0,0,0
6600,HOLON,6,0,1,5,7,11,0,0,0,0,0,0,0
6800,QIRYAT ATTA,4,0,0,42,44,4,3,0,0,0,0,0,0
6800,QIRYAT ATTA,10,0,0,0,0,1,0,0,0,0,0,0,0
2630,QIRYAT GAT,3,0,0,146,160,27,2,0,0,0,0,0,0
2630,QIRYAT GAT,9,0,0,0,1,0,0,0,0,0,0,0,0
1280,NIZZANE SINAY,1,0,0,0,2,0,0,0,0,0,0,0,0
9600,QIRYAT YAM,8,0,3,1,3,0,0,0,0,0,0,0,0
7100,ASHQELON,2,0,10,156,167,50,1,1,0,0,0,0,0
3751,MIGDALIM,1,0,0,0,4,0,0,0,0,0,0,0,0
2800,QIRYAT SHEMONA,3,0,0,28,122,100,1,0,0,1,0,0,0
8500,RAMLA,15,0,0,0,0,1,1,0,0,0,0,0,0
2660,YAVNE,2,0,0,13,18,11,2,0,0,0,0,0,0
6600,HOLON,9,0,2,6,5,1,0,0,0,0,0,0,0
2400,OR YEHUDA,11,0,0,0,1,0,0,0,0,0,0,0,0
2500,NESHER,2,0,12,21,34,2,0,0,0,0,0,0,0
9000,BE'ER SHEVA,6,0,2,1,26,16,0,0,0,0,0,0,0
6800,QIRYAT ATTA,7,0,0,2,10,0,0,0,0,0,0,0,0
9600,QIRYAT YAM,2,0,19,45,67,3,0,0,0,0,0,0,0
469,QIRYAT EQRON,1,0,2,4,16,13,1,0,0,0,0,0,0
6800,QIRYAT ATTA,1,0,55,50,58,9,1,1,0,1,0,0,0
2630,QIRYAT GAT,6,0,0,3,2,0,0,0,0,0,0,0,0
1034,QIRYAT MAL'AKHI,0,0,0,0,0,1,0,0,0,0,0,0,0
8300,RISHON LEZIYYON,9,0,0,0,2,0,0,0,0,0,0,0,0
2800,QIRYAT SHEMONA,0,0,0,0,0,5,0,1,0,0,0,0,0
6300,GIV'ATAYIM,1,0,1,10,5,0,0,0,0,0,0,0,0
1034,QIRYAT MAL'AKHI,6,0,0,0,0,2,0,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,4,0,1,2,6,2,0,0,0,0,0,0,0
2400,OR YEHUDA,8,0,0,0,1,0,0,0,0,0,0,0,0
5000,TEL AVIV - YAFO,4,0,2,56,110,34,4,0,0,0,0,0,0
9000,BE'ER SHEVA,3,0,10,314,405,80,1,5,0,0,0,0,0
368,BIRIYYA,1,0,0,0,0,1,0,0,0,0,0,0,0
2200,DIMONA,3,0,21,270,274,69,4,1,0,0,0,0,0
1243,QAZIR,1,0,0,0,3,0,0,0,0,0,0,0,0
8600,RAMAT GAN,10,0,0,0,1,0,0,0,0,0,0,0,0
9000,BE'ER SHEVA,0,0,1,10,55,6,1,1,0,0,0,0,1
6300,GIV'ATAYIM,4,0,1,2,1,0,0,0,0,0,0,0,0
182,EVEN YEHUDA,3,0,0,1,1,0,0,0,0,0,0,0,0
1034,QIRYAT MAL'AKHI,3,0,0,36,36,11,0,0,0,0,0,0,0
7000,LOD,7,0,0,0,2,4,0,0,0,0,0,0,0
9100,NAHARIYYA,8,0,0,0,7,1,0,0,0,0,0,0,0
2200,DIMONA,0,0,0,2,1,7,0,0,0,0,0,0,0
8600,RAMAT GAN,7,0,0,0,1,0,0,0,0,0,0,0,0
7200,NES ZIYYONA,7,0,0,0,0,1,0,0,0,0,0,0,0
6700,TIBERIAS,3,0,0,39,126,33,1,7,0,1,0,0,0
2034,HAZOR HAGELILIT,4,0,0,6,30,0,0,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,13,0,0,0,0,1,0,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,7,0,0,0,2,0,0,0,0,0,0,0,0
6100,BENE BERAQ,3,0,0,26,34,15,0,0,0,0,0,0,0
70,ASHDOD,0,0,0,0,20,7,1,0,0,0,0,0,0
681,GIV'AT SHEMU'EL,2,0,0,1,1,3,0,0,0,0,0,0,0
31,OFAQIM,1,0,13,92,173,27,5,6,3,0,0,0,0
812,SHELOMI,0,0,0,0,1,0,0,0,0,0,0,0,0
28,MAZKERET BATYA,3,0,0,1,6,0,0,0,0,0,0,0,0
2038,BAREQET,0,0,0,8,0,1,0,0,0,0,0,0,0
874,MIGDAL HAEMEQ,0,0,17,89,20,3,0,0,0,0,0,0,0
2640,ROSH HAAYIN,0,0,1,1,3,1,0,0,0,0,0,0,0
7200,NES ZIYYONA,4,0,1,0,9,2,0,0,0,0,0,0,0
4005,HASPIN,1,0,0,0,47,0,0,0,0,0,0,0,0
1061,NOF HAGALIL,14,0,0,0,0,3,0,0,0,0,0,0,0
3647,YAQIR,1,0,0,0,3,0,0,0,0,0,0,0,0
466,BET DAGAN,1,0,2,2,5,1,0,0,0,0,0,0,0
2034,HAZOR HAGELILIT,0,0,0,1,0,0,0,0,0,0,0,0,0
2300,QIRYAT TIV'ON,5,0,0,0,2,0,0,0,0,0,0,0,0
9100,NAHARIYYA,5,0,0,0,2,1,0,0,0,0,0,0,0
48,MENAHEMYA,1,0,0,0,6,0,0,0,0,0,0,0,0
6400,HERZLIYYA,6,0,0,0,1,0,0,0,0,0,0,0,0
466,BET DAGAN,4,0,0,3,3,1,0,0,0,0,0,0,0
9100,NAHARIYYA,2,0,5,85,43,10,0,0,0,0,0,0,0
2034,HAZOR HAGELILIT,3,0,0,6,40,7,0,0,0,0,0,0,0
3570,ARI'EL,2,0,0,0,9,5,0,0,0,0,0,0,0
1231,PERI GAN,0,0,0,0,2,0,0,0,0,0,0,0,0
168,KEFAR YONA,3,0,0,2,3,2,0,0,0,0,0,0,0
1247,HARISH,9,0,0,0,0,1,0,0,0,0,0,0,0
7300,NAZARETH,1,0,0,0,5,4,0,0,0,0,0,0,0
3608,MA'ALE EFRAYIM,1,0,1,2,2,16,0,0,0,0,0,0,0
2660,YAVNE,7,0,0,0,0,0,1,0,0,0,0,0,0
3653,MA'ALE AMOS,0,0,0,0,2,0,0,0,0,0,0,0,0
99,MIZPE RAMON,0,0,0,3,0,3,0,0,0,0,0,0,0
1020,OR AQIVA,0,0,3,0,0,1,0,0,0,0,0,0,0
2650,RAMAT HASHARON,11,0,0,0,0,1,0,0,0,0,0,0,0
168,KEFAR YONA,0,0,1,0,3,0,0,0,0,0,0,0,0
4000,HAIFA,15,0,0,0,0,2,0,0,0,0,0,0,0
1151,PARAN,1,0,0,0,2,0,0,0,0,0,0,0,0
4000,HAIFA,9,0,1,2,2,3,1,0,0,0,0,0,0
2630,QIRYAT GAT,7,0,0,0,6,2,0,0,0,0,0,0,0
1020,OR AQIVA,6,0,0,0,0,1,0,0,0,0,0,0,0
1247,HARISH,3,0,0,0,1,1,0,0,0,0,0,0,0
2600,ELAT,19,0,0,0,1,0,0,0,0,0,0,0,0
7300,NAZARETH,4,0,0,0,3,2,0,0,0,0,0,0,0
2660,YAVNE,4,0,0,11,21,5,2,0,0,0,0,0,0
2650,RAMAT HASHARON,8,0,0,0,0,1,0,0,0,0,0,0,0
2660,YAVNE,1,0,18,22,22,11,8,0,0,0,0,0,0
4000,HAIFA,12,0,0,0,0,2,0,0,0,0,0,0,0
8200,QIRYAT MOTZKIN,1,0,4,7,21,2,0,0,0,0,0,0,0
1020,OR AQIVA,3,0,1,27,39,4,0,0,0,0,0,0,0
99,MIZPE RAMON,3,0,0,19,59,23,2,0,0,0,0,0,0
3652,BET ARYE-OFARIM,1,0,0,0,2,0,0,0,0,0,0,0,0
2630,QIRYAT GAT,4,0,0,117,142,26,0,0,0,0,0,0,0
2630,QIRYAT GAT,10,0,0,0,2,1,0,0,0,0,0,0,0
4000,HAIFA,6,0,0,3,26,4,1,0,0,0,0,0,0
9500,QIRYAT BIALIK,3,0,16,36,27,1,1,0,0,0,0,0,0
65,MIGDAL,1,0,1,1,2,0,0,0,0,0,0,0,0
7400,NETANYA,9,0,0,1,0,1,0,0,0,0,0,0,0
8600,RAMAT GAN,1,0,23,52,38,15,2,0,0,0,0,0,0
2560,ARAD,3,0,6,30,40,5,0,0,0,0,0,0,0
3611,QIRYAT ARBA,0,0,0,0,2,1,0,0,0,0,0,0,0
7200,NES ZIYYONA,1,0,16,9,22,19,0,0,0,0,0,0,0
7800,PARDES HANNA-KARKUR,0,0,0,0,1,0,0,0,0,0,0,0,0
240,YOQNE'AM ILLIT,0,0,0,0,0,3,0,0,0,0,0,0,0
