Lamas_Code,CityLMSName,2019 cluster,2017 cluster
508,KAFAR KAMA,6,6
3616,MA'ALE ADUMMIM,6,6
9500,QIRYAT BIALIK,7,6
41,ELYAKHIN,6,7
4000,HAIFA,7,7
6600,HOLON,7,7
8200,QIRYAT MOTZKIN,7,7
487,JISH(GUSH HALAV),6,7
2660,YAVNE,7,7
3650,EFRAT,7,7
565,AZOR,7,7
466,BET DAGAN,7,7
7900,PETAH TIQWA,7,7
26,ROSH PINNA,7,7
2500,NESHER,7,7
8400,REHOVOT,7,7
7800,PARDES HANNA-KARKUR,7,7
2550,GEDERA,7,7
8300,RISHON LEZIYYON,7,7
166,GAN YAVNE,7,7
240,YOQNE'AM ILLIT,7,7
2640,ROSH HAAYIN,7,7
168,KEFAR YONA,7,7
2530,BE'ER YA'AQOV,7,7
518,MI'ELYA,7,7
3652,BET ARYE-OFARIM,7,7
43,METULA,8,7
29,YESUD HAMA'ALA,8,7
9400,YEHUD,8,7
3560,ELQANA,8,8
8600,RAMAT GAN,8,8
681,GIV'AT SHEMU'EL,8,8
9300,ZIKHRON YA'AQOV,8,8
1015,MEVASSERET ZIYYON,8,8
5000,TEL AVIV - YAFO,8,8
3750,ALFE MENASHE,8,8
6900,KEFAR SAVA,8,8
8700,RA'ANNANA,8,8
2300,QIRYAT TIV'ON,9,8
6400,HERZLIYYA,8,8
195,QADIMA-ZORAN,8,8
28,MAZKERET BATYA,9,8
9800,BINYAMINA-GIV'AT ADA,9,8
3760,ORANIT,9,8
122,RAMAT YISHAY,9,8
7200,NES ZIYYONA,9,8
47,KEFAR TAVOR,9,8
1200,MODI'IN-MAKKABBIM-RE'UT,9,9
154,TEL MOND,9,9
229,GANNE TIQWA,9,9
171,PARDESIYYA,9,9
1263,KEFAR WERADIM,9,9
6300,GIV'ATAYIM,9,9
182,EVEN YEHUDA,9,9
1268,METAR,9,9
9700,HOD HASHARON,9,9
2620,QIRYAT ONO,9,9
2650,RAMAT HASHARON,9,9
1304,SHOHAM,9,9
3769,HAR ADAR,9,9
1224,KOKHAV YA'IR,9,10
666,OMER,10,10
1271,LEHAVIM,10,10
267,KEFAR SHEMARYAHU,10,10
587,SAVYON,10,10
528,UZEIR,2,1
539,RUMMANE,2,2
997,RUMAT HEIB,2,2
993,HAMAM,3,3
1346,TARABIN AS-SANI,1,1
1360,SA'WA,1,1
1358,UMM BATIN,1,1
1343,MAKCHUL,1,1
1359,AL SAYYID,1,1
1367,KOCHLEA,2,2
1349,DERIG'AT,2,2
360,GIV'AT NILI,7,7
679,AVI'EL,8,8
773,AMMIQAM,8,8
1366,NAVE,2,2
399,BE'ERI,3,3
1363,BNE NETSARIM,4,4
413,ZE'ELIM,5,4
1085,KEREM SHALOM,5,..
695,MAGEN,5,5
713,RE'IM,5,5
1364,SHLOMIT,5,5
1311,AVSHALOM,6,6
69,NIR OZ,6,5
676,EN HASHELOSHA,6,5
403,URIM,6,5
840,KISSUFIM,6,6
402,NIR YIZHAQ,6,6
352,GEVULOT,7,7
1239,HOLIT,7,7
1241,DEQEL,7,7
1051,TALME ELIYYAHU,7,7
602,NIRIM,7,7
1136,ZOHAR,7,7
829,MIVTAHIM,7,7
1046,OHAD,7,8
1231,PERI GAN,7,7
1238,SUFA,7,8
1227,YATED,8,7
1223,SEDE AVRAHAM,8,8
318,AMMI'OZ,8,8
1237,TALME YOSEF,8,8
1232,YEVUL,8,8
1240,EN HABESOR,9,9
916,YESHA,9,9
1058,SEDE NIZZAN,9,9
2006,KANNOT,1,1
739,SEDE UZZIYYAHU,5,5
2011,YINNON,6,6
763,SHETULIM,6,6
817,AZRIQAM,6,6
793,GIV'ATI,7,6
756,BET EZRA,7,7
700,HAZAV,7,7
727,TALME YEHI'EL,7,8
772,EMUNIM,7,8
1149,EZER,8,8
406,HAZOR-ASHDOD,8,8
690,KEFAR AHIM,8,8
320,KEFAR WARBURG,8,8
1157,AHAWA,8,8
155,BE'ER TOVIYYA,8,9
2012,OROT,8,8
827,NEWE MIVTAH,9,9
819,AVIGEDOR,9,9
593,ARUGOT,9,9
553,NIR BANIM,9,9
234,BIZZARON,9,9
163,TIMMORIM,9,9
475,DAHI,3,3
512,KAFAR MISR,3,3
523,NEIN,3,3
526,SULAM,3,3
1265,SHOMERIYYA,3,3
397,HAZERIM,5,4
2060,BEROSH,6,5
2061,TIDHAR,7,7
396,NEVATIM,7,7
2062,TE'ASHUR,7,7
1198,KERAMIM,7,7
2023,LAHAV,8,7
394,SHOVAL,8,7
395,MISHMAR HANEGEV,8,8
849,DEVIRA,9,9
1344,GEVA'OT BAR,9,9
598,BET QAMA,9,9
144,GAN SHELOMO,8,7
562,BET EL'AZARI,8,8
147,GIV'AT BRENNER,8,8
615,QIDRON,9,9
685,BENAYA,9,9
196,GIBBETON,9,9
1072,GAN HADAROM,8,9
857,KEFAR AVIV,9,9
555,SHEDEMA,9,9
765,MISGAV DOV,9,9
764,KEFAR MORDEKHAY,9,9
731,MESHAR,10,9
591,ASERET,10,9
4006,QESHET,3,3
4005,HASPIN,3,3
4017,ALLONE HABASHAN,4,3
4014,NATUR,5,3
4007,YONATAN,5,5
4304,NOV,5,4
4019,MEZAR,5,4
4701,RAMAT MAGSHIMIM,5,6
4024,QELA,6,5
4011,AVNE ETAN,6,6
4015,BENE YEHUDA,6,6
4013,ORTAL,7,5
4004,KEFAR HARUV,7,6
4002,ELI-AD,7,7
4003,EL-ROM,7,6
4026,HAD-NES,7,7
4012,ANI'AM,7,7
4101,MEROM GOLAN,7,7
4551,NE'OT GOLAN,7,7
4503,EN ZIWAN,7,7
4301,AFIQ,7,7
4204,MEVO HAMMA,7,7
4022,GESHUR,7,8
4021,GIV'AT YO'AV,7,7
4702,RAMOT,8,7
4025,QIDMAT ZEVI,8,8
4028,KANAF,8,8
4009,SHA'AL,8,8
4010,ODEM,8,9
4008,MA'ALE GAMLA,8,9
3653,MA'ALE AMOS,2,2
3754,ASFAR,2,3
3794,BAT AYIN,3,3
3561,MIGDAL OZ,3,4
3488,KEFAR EZYON,4,4
3766,KARME ZUR,5,5
3726,NOQEDIM,5,5
3563,TEQOA,5,5
3604,ALLON SHEVUT,6,6
3602,ROSH ZURIM,7,6
3781,QEDAR,7,7
3618,EL'AZAR,7,7
3725,NEWE DANIYYEL,7,7
3603,HAR GILLO,7,7
856,SHA'ALVIM,5,4
711,AZARYA,7,7
759,YAZIZ,7,7
839,PETAHYA,7,7
757,MAZLIAH,7,7
64,YAD RAMBAM,7,7
158,NA'AN,7,7
370,GEZER,7,7
838,PEDAYA,7,7
301,BET UZZI'EL,7,7
828,YASHRESH,7,7
1333,NOF AYYALON,7,7
862,GANNE YOHANAN,7,7
435,NEZER SERENI,8,8
1050,BET HASHMONAY,9,9
670,MISHMAR AYYALON,9,9
2010,KEFAR BIN NUN,9,9
610,SITRIYYA,9,9
160,HULDA,9,9
1103,GANNE HADAR,9,9
743,KEFAR SHEMU'EL,9,9
735,RAMOT ME'IR,9,9
177,KEFAR BILU,9,9
563,MISHMAR DAWID,10,9
1264,KARME YOSEF,10,10
156,AYANOT,2,2
597,PALMAHIM,8,8
853,GE'ALYA,9,9
311,GAN SOREQ,9,9
159,BET HANAN,9,9
582,KEFAR HANAGID,9,9
1336,IRUS,9,10
202,BET OVED,10,9
174,NETA'IM,10,9
1076,BET BERL,7,5
184,RAMAT HAKOVESH,7,7
718,YARHIV,7,7
841,ELISHAMA,7,7
686,NEWE YAMIN,7,7
808,NIR ELIYYAHU,7,8
705,NAHSHONIM,8,7
355,HORESHIM,8,8
1148,ZUR NATAN,8,8
716,EYAL,8,7
870,GIV'AT HASHELOSHA,8,8
717,HAGOR,8,9
871,ENAT,8,9
1345,ZUR YIZHAQ,9,9
230,MA'AS,9,9
2035,ADANIM,9,9
2015,SEDE HEMED,9,9
1315,MATTAN,9,9
128,GAT RIMMON,9,9
858,NEWE YARAQ,9,9
98,KEFAR MALAL,9,9
206,RAMOT HASHAVIM,9,9
207,GIV'AT HEN,9,9
249,KEFAR SIRKIN,9,9
239,GAN HAYYIM,9,9
183,YARQONA,9,9
218,GANNE AM,9,9
722,MAGSHIMIM,9,9
284,SEDE WARBURG,10,9
198,ZOFIT,10,9
1236,NIRIT,10,10
547,TAMRA (YIZRE'EL),2,2
95,BET ALFA,2,4
497,TAYIBE(BAEMEQ),2,2
635,MUQEIBLE,2,2
524,NA'URA,3,3
86,GEVA,3,3
89,EN HAROD (IHUD),4,4
452,YIZRE'EL,4,4
636,SANDALA,5,4
113,ADDIRIM,5,4
145,GADISH,5,5
164,MELE'A,6,6
442,GID'ONA,6,6
1155,MAGEN SHA'UL,6,6
84,TEL YOSEF,6,7
82,EN HAROD(ME'UHAD),6,6
1110,HEVER,6,6
1108,OMEN,6,6
2052,AVITAL,7,6
2053,PERAZON,7,7
165,NIR YAFE,7,7
2054,METAV,7,7
90,HEFZI-BAH,7,7
242,BET HASHITTA,7,7
141,BARAQ,7,7
1274,GAN NER,7,7
833,NURIT,7,9
269,MOLEDET,7,7
339,RAMAT ZEVI,7,8
146,DEVORA,8,8
1069,RAM-ON,8,9
85,KEFAR YEHEZQEL,8,9
667,BAR'AM,2,2
578,SASA,4,4
76,KEFAR GIL'ADI,5,5
623,YIR'ON,5,6
1213,ZIV'ON,6,5
347,MENARA,7,6
378,MISGAV AM,7,7
596,MALKIYYA,7,7
35,GADOT,7,7
366,SHAMIR,7,6
852,GONEN,7,7
443,KEFAR HANASI,7,7
319,AMIR,7,7
253,HULATA,7,6
385,AMMI'AD,7,7
380,LAHAVOT HABASHAN,7,7
77,AYYELET HASHAHAR,7,7
357,KEFAR BLUM,7,7
408,NE'OT MORDEKHAY,7,7
302,DAFNA,7,7
308,MAHANAYIM,7,7
329,SEDE NEHEMYA,7,7
416,MA'YAN BARUKH,7,8
345,KEFAR SZOLD,7,7
1211,QADDARIM,7,7
356,HAGOSHERIM,7,7
303,DAN,7,7
453,YIFTAH,7,8
1132,SENIR,8,8
1322,HODAYOT,1,1
585,LAVI,2,2
371,KADOORIE,3,3
307,HAZORE'IM,5,4
786,KEFAR ZETIM,5,4
1162,BET RIMMON,6,6
701,ARBEL,7,7
365,BET QESHET,7,6
721,SEDE ILAN,7,7
49,ILANIYYA,7,7
1190,MIZPE NETOFA,7,8
292,SHARONA,8,8
255,KEFAR HITTIM,8,8
306,SHADMOT DEVORA,8,8
388,KEFAR KISCH,8,8
1293,GIV'AT AVNI,8,8
58,MIZPA,8,9
1258,MASSAD,9,9
1176,SAPPIR,6,6
1262,ZUQIM,7,7
806,EN YAHAV,7,7
13,HAZEVA,7,7
1175,IDDAN,8,8
1150,ZOFAR,8,9
1151,PARAN,8,9
3723,PENE HEVER,2,2
3657,MA'ON,4,4
3719,TELEM,4,4
3748,OTNI'EL,5,4
3724,NEGOHOT,5,4
3756,SUSEYA,5,4
3764,HAGGAY,5,4
3656,KARMEL,5,5
3759,ADORA,5,5
3745,MEZADOT YEHUDA,5,5
3784,SHIM'A,6,5
3743,TENE,7,7
3777,SANSANA,7,7
3722,ESHKOLOT,7,7
990,RAS ALI,1,1
652,IBTIN,2,2
1321,KHAWALED,2,2
890,KEFAR HANO'AR HADATI,2,3
178,RAMAT YOHANAN,3,3
882,ORANIM,3,3
96,YAGUR,4,4
237,SHA'AR HAAMAQIM,6,6
889,KEFAR HASIDIM BET,7,3
278,USHA,7,7
254,KEFAR HAMAKKABBI,7,7
112,KEFAR HASIDIM ALEF,7,7
220,KEFAR BIALIK,9,8
1284,NOFIT,10,10
1197,NE'OT SMADAR,1,2
1156,SAMAR,3,3
866,YOTVATA,3,3
1052,QETURA,4,4
1248,ELIFAZ,4,4
1126,ELOT,5,6
1255,LOTAN,6,5
1129,GEROFIT,6,7
1266,SHAHARUT,7,6
1158,YAHEL,7,7
21,BE'ER ORA,7,7
334,QEVUZAT YAVNE,2,2
1094,KEREM YAVNE(YESHIVA),3,3
848,BET RABBAN,4,3
760,BEN ZAKKAY,5,5
720,NIR GALLIM,7,6
592,BENE DAROM,7,7
571,BET GAMLI'EL,8,8
1141,MEVO MODI'IM,3,3
1084,BEN SHEMEN(K.NO'AR),3,3
2038,BAREQET,4,4
450,BE'EROT YIZHAQ,5,4
804,AHISAMAKH,6,5
449,NEHALIM,6,7
257,NOFEKH,7,7
604,BET ARIF,7,7
618,HADID,7,6
802,GIV'AT KOAH,7,7
663,TIRAT YEHUDA,7,7
745,GIMZO,7,7
616,RINNATYA,8,8
784,BET NEHEMYA,8,8
863,GINNATON,8,8
673,KEFAR TRUMAN,9,9
1166,KEFAR RUT,9,9
1310,LAPPID,9,9
1165,SHILAT,9,9
2013,BEN SHEMEN (MOSHAV),9,9
606,MAZOR,9,9
707,KEFAR DANIYYEL,10,9
448,BENE ATAROT,10,9
107,KEFAR SILVER,2,3
746,BEREKHYA,5,4
820,HELEZ,5,5
351,NIZZAN,5,5
1419,NIZZAN B,5,5
747,BET SHIQMA,5,5
791,MASH'EN,6,6
726,HODIYYA,6,6
1376,BE'ER GANNIM,7,6
359,NIZZANIM,7,7
1323,BAT HADAR,7,7
342,GEVAR'AM,7,8
573,MAVQI'IM,7,7
358,YAD MORDEKHAY,8,8
584,ZIQIM,8,8
768,KARMIYYA,8,8
744,TALME YAFE,8,8
699,NIR YISRA'EL,8,9
824,KOKHAV MIKHA'EL,8,8
1242,NETIV HAASARA,9,9
706,GE'A,9,9
212,BET ZEVI,2,1
694,MA'AGAN MIKHA'EL,2,3
1320,EIN HOD,3,3
102,ME'IR SHEFEYA,3,3
427,KEFAR GALLIM,4,4
769,NIR EZYON,4,4
327,SEDOT YAM,5,4
612,ZERUFA,7,7
312,NEWE YAM,7,7
74,EN HOD,7,7
317,BET OREN,7,8
810,OFER,7,7
53,ATLIT,7,8
33,BAT SHELOMO,8,8
290,MA'YAN ZEVI,8,8
433,NAHSHOLIM,8,8
434,HAHOTERIM,8,9
738,DOR,9,9
426,EN KARMEL,9,9
689,MEGADIM,9,9
683,GEVA  KARMEL,9,9
580,KEREM MAHARAL,9,9
687,EN AYYALA,9,9
800,BET HANANYA,9,9
675,HABONIM,9,9
1167,QESARYYA,9,10
287,TEL YIZHAQ,5,4
232,SHEFAYIM,7,7
842,GA'ASH,7,6
417,YAQUM,7,7
1024,HARUZIM,7,7
346,GELIL YAM,8,8
288,BET YEHOSHUA,9,9
446,UDIM,9,9
247,RISHPON,9,9
418,BENE ZIYYON,9,9
316,KEFAR NETTER,10,9
389,BAZRA,10,10
1324,ARSUF,10,9
1339,AL-AZY,1,1
2045,NAHALA,7,7
393,GAL'ON,7,8
340,GAT(QIBBUZ),7,7
1133,WARDON,7,7
619,BET GUVRIN,7,8
16,BET NIR,7,7
564,REVADIM,8,8
315,NEGBA,8,8
2046,SEGULLA,8,8
274,KEFAR MENAHEM,8,9
293,SEDE YO'AV,9,8
888,KEFAR HARIF,9,9
767,PORAT,5,4
170,KEFAR YA'BEZ,6,5
837,AZRI'EL,7,6
2002,TENUVOT,7,7
379,GE'ULIM,7,7
661,SHA'AR EFRAYIM,7,7
753,YANUV,7,8
851,NIZZANE OZ,8,8
880,EN SARID,8,8
447,NORDIYYA,9,9
1044,YE'AF,9,9
276,ZUR MOSHE,9,9
549,GANNOT HADAR,9,9
386,BENE DEROR,9,9
157,EN WERED,9,9
425,MISHMERET,9,9
187,KEFAR HESS,9,9
162,HERUT,10,9
32,OZEM,3,4
814,TELAMIM,5,4
23,AMAZYA,5,6
44,ZOHAR,6,6
1368,BNE DEQALIM,6,5
821,AHUZZAM,6,5
36,SEDE DAWID,6,5
55,NOGAH,6,6
2030,MENUHA,6,6
1374,KARME KATIF,6,7
1369,NETA,6,6
309,NEHORA,7,7
7,SHAHAR,7,7
18,SEDE MOSHE,8,8
11,NIR HEN,8,8
1365,ELIAV,8,9
775,YAD NATAN,8,8
1233,SHEQEF,9,8
24,LAKHISH,10,9
730,ELIFELET,6,6
2063,DISHON,7,6
2009,YUVAL,7,7
843,MARGALIYYOT,7,6
732,MISHMAR HAYARDEN,7,7
322,BET HILLEL,7,7
324,SHE'AR YASHUV,7,7
1253,AMNUN,7,7
861,SEDE ELI'EZER,7,7
372,RAMOT NAFTALI,7,8
1252,KORAZIM,8,8
1285,KARKOM,8,8
1210,KAHAL,9,9
130,MISHMAR HAEMEQ,2,3
369,GAL'ED (EVEN YIZHAQ),3,3
270,EN HASHOFET,5,4
682,ELYAQIM,5,5
703,GIV'AT OZ,5,5
250,HAZOREA,6,6
300,DALIYYA,6,5
2029,MIDRAKH OZ,7,7
335,RAMAT HASHOFET,7,8
367,EN HAEMEQ,7,8
445,RAMOT MENASHE,8,8
586,MEGIDDO,8,9
241,YOQNE'AM(MOSHAVA),9,9
3786,AVENAT,6,4
3645,BET HAARAVA,7,6
3556,ALMOG,7,7
3639,WERED YERIHO,7,7
3610,MIZPE SHALEM,7,8
3601,QALYA,8,8
1246,ARAMSHA,3,3
658,SHEIKH DANNUN,3,3
376,EVRON,4,4
289,EN HAMIFRAZ,5,5
1183,KELIL,6,4
785,AHIHUD,6,6
708,AMQA,6,6
297,KEFAR MASARYK,7,6
1256,ASHERAT,7,7
572,BET HAEMEQ,7,6
589,BEZET,7,8
313,AFEQ,7,7
576,KABRI,7,7
280,HANITA,7,7
595,LOHAME HAGETA'OT,7,8
559,BUSTAN HAGALIL,7,9
674,LIMAN,7,8
792,NETIV HASHAYYARA,7,8
409,YEHI'AM,7,7
432,SHAMERAT,7,8
574,GESHER HAZIW,7,8
1068,ADAMIT,7,9
294,ELON,8,8
579,KEFAR ROSH HANIQRA,8,8
325,MAZZUVA,8,9
575,YAS'UR,8,9
390,REGBA,8,8
1143,NES AMMIM,8,9
463,GA'TON,8,8
454,SA'AR,8,8
712,BEN AMMI,8,9
282,SHAVE ZIYYON,9,9
3779,KOKHAV YA'AQOV,2,2
3648,MATTITYAHU,2,2
3767,NAHALI'EL,3,3
3752,MA'ALE LEVONA,3,3
3823,GANNE MODI'IN,4,3
3576,MIZPE YERIHO,4,4
3641,SHILO,4,4
3658,ATERET,4,4
3763,GEVA BINYAMIN,5,4
3765,ELI,5,4
3564,KOKHAV HASHAHAR,5,4
3824,AMMIHAY,5,..
3709,MEVO HORON,5,4
3788,TALMON,5,4
3573,NEVE TSUF,5,6
3651,MA'ALE MIKHMAS,6,5
3659,PESAGOT,6,5
3617,OFRA,6,4
3565,RIMMONIM,6,6
3747,DOLEV,6,6
3575,BET HORON,7,7
3787,NA'ALE,7,7
3770,HASHMONA'IM,7,7
3638,KEFAR ADUMMIM,7,7
3715,ALMON,7,7
3655,NILI,8,8
3644,GIV'ON HAHADASHA,8,8
3796,KEFAR HAORANIM,9,9
1325,KEFAR ZOHARIM,2,..
2039,QIRYAT YE'ARIM(INSTITUTE),2,1
521,EIN NAQQUBA,2,2
1056,EN KAREM-B.S.HAQLA'I,3,2
514,EIN RAFA,3,3
127,RAMAT RAHEL,4,4
10,TIROSH,4,3
465,ZOVA,5,4
751,BET ME'IR,5,4
805,YISH'I,5,5
816,ZANOAH,5,5
794,AGUR,5,5
27,SEDOT MIKHA,5,5
1134,YAD HASHEMONA,6,5
809,NAHAM,6,5
1071,NEWE MIKHA'EL,6,6
776,MAHSEYA,6,5
1123,ADDERET,6,5
39,GEFEN,6,5
52,LUZIT,6,6
740,ESHTA'OL,6,6
823,BAR GIYYORA,7,7
859,KESALON,7,6
799,ZEKHARYA,7,6
796,ZELAFON,7,6
778,TARUM,7,7
864,BEQOA,7,7
59,NEHUSHA,7,7
567,ZOR'A,7,7
783,EVEN SAPPIR,7,7
752,TA'OZ,7,7
780,ORA,7,7
693,NETIV HALAMED-HE,7,7
1079,ZAFRIRIM,7,7
822,MATTA,7,7
825,NES HARIM,7,7
1070,AVI'EZER,7,7
787,GIV'AT YE'ARIM,7,7
779,AMMINADAV,8,8
777,NAHSHON,8,8
78,QIRYAT ANAVIM,8,8
771,MEVO BETAR,8,8
464,HAR'EL,8,9
742,MESILLAT ZIYYON,8,9
919,GIV'AT YESHA'YAHU,8,8
672,BET NEQOFA,8,9
1113,ZUR HADASSA,8,9
1114,SARIGIM (LI-ON),8,8
364,KEFAR URIYYA,9,9
462,TAL SHAHAR,9,9
1254,NATAF,9,8
741,SHO'EVA,9,9
460,RAMAT RAZI'EL,9,9
1043,GIZO,9,9
286,MA'ALE HAHAMISHA,9,9
710,BET ZAYIT,9,9
1259,NEWE SHALOM,9,9
456,SHORESH,9,9
208,MOZA ILLIT,9,9
405,NEWE ILAN,9,9
868,ALLONE YIZHAQ,2,1
189,KEFAR PINES,3,3
72,GAN SHEMU'EL,3,3
1316,AL-ARYAN,4,4
649,MEISER,4,4
2024,UMM AL-QUTUF,5,4
139,EN SHEMER,5,6
1370,MITSPE ILAN,7,6
648,MEZER,7,6
444,REGAVIM,7,7
617,BARQAY,7,7
344,MA'ANIT,7,7
1243,QAZIR,7,7
2055,MA'OR,7,8
2008,SEDE YIZHAQ,7,8
310,KEFAR GLIKSON,8,7
375,MAGGAL,8,8
223,EN IRON,8,8
2003,TALME EL'AZAR,9,9
1128,ME AMMI,9,9
225,GAN HASHOMERON,9,9
213,MISHMAROT,9,9
715,LAHAVOT HAVIVA,9,9
281,PEQI'IN HADASHA,6,6
1045,SHETULA,6,6
795,YA'ARA,6,6
892,AVDON,7,6
662,HOSEN,7,7
1184,MATTAT,7,5
1220,ABBIRIM,7,7
1147,NETU'A,7,7
1219,GORNOT HAGALIL,7,7
813,EN YA'AQOV,7,7
1130,KEFAR ROZENWALD(ZARIT),7,7
1081,EVEN MENAHEM,7,7
603,ELQOSH,7,7
755,GOREN,7,7
1173,LAPPIDOT,7,7
614,SHOMERA,7,7
774,ZURI'EL,7,8
1205,MANOT,7,8
570,ME'ONA,7,7
1206,GITTA,8,8
1314,NEWE ZIV,8,9
1208,HILLA,8,9
1338,KADDITA,2,2
607,MERON,2,2
1294,OR HAGANUZ,2,2
546,EIN AL-ASAD,4,4
1191,BAR YOHAY,5,4
688,ALMA,5,4
605,KEFAR SHAMMAY,5,5
368,BIRIYYA,5,5
1214,TEFAHOT,5,5
431,DALTON,5,5
846,SHEFER,5,6
609,KEFAR HOSHEN,6,5
1064,AMIRIM,6,6
1047,HAZON,6,7
1115,AVIVIM,6,6
540,REIHANIYYE,6,6
1067,DOVEV,7,7
527,SHEZOR,7,7
1229,KALLANIT,7,7
1230,LIVNIM,7,7
1297,KEFAR HANANYA,7,7
664,KEREM BEN ZIMRA,7,7
599,PAROD,8,9
1212,AMUQQA,8,9
709,TIFRAH,1,1
1377,SHAVE DAROM,4,..
2021,ESHEL HANASI,5,4
2050,TALME BILU,6,5
750,PEDUYIM,6,6
749,PATTISH,6,6
2059,PA'AME TASHAZ,7,6
762,BITHA,7,6
2049,SEDE ZEVI,7,7
789,RANNEN,7,7
71,ESHBOL,7,7
2048,NIR AQIVA,7,6
748,MASLUL,7,7
736,GILAT,7,7
1080,MABBU'IM,7,7
414,QELAHIM,7,7
2047,NIR MOSHE,8,8
1335,ARAB AL NAIM,1,1
1317,DEMEIDE,1,1
1332,HUSSNIYYA,2,2
1245,SALLAMA,2,2
1334,RAS AL-EIN,3,3
1331,KAMANE,3,3
1276,ESHBAL,6,..
1203,HARARIT,7,7
1171,LOTEM,7,7
1178,MORESHET,7,7
1112,YODEFAT,7,7
1188,ESHHAR,7,8
1201,KAMMON,7,8
1172,TUVAL,7,7
1209,HARASHIM,7,7
1275,AVTALYON,8,8
1185,PELEKH,8,7
1272,HALUZ,8,8
1163,MORAN,8,8
