lamas.code,lamas.name
839,its openings
757,successful
64,Yad Rambam
158,naan
370,Carrot
838,Payday
301,Beit Uziel
828,will take root
1333,Nof Ayalon
862,John's Gardens
435,Descendant of Sarni
1050,House of Hasmoneans
670,Mishmar Ayalon
2010,Kfar Ben Nun
610,secret
160,rat
1103,Hadar gardens
743,Kfar Shmuel
735,Ramot Meir
177,Bilo village
563,Mishmar David
1264,Carmi Yosef
156,springs
597,Palmach
853,Gaul
311,A whistling garden
159,Beit Hanan
582,Governor's village
1336,iris
202,working house
174,planted
1076,Beit Berl
184,the level of the conqueror
718,will expand
841,Elisema
686,Neve Yemin
808,Nir Eliyahu
705,Nachshonim
355,plowing
1148,Tzur Natan
716,Eyal
870,The Three Hill
717,belt
871,Einat
1345,Contact Isaac
230,action
2035,Edens
2015,I'm greedy
1315,giving
128,Gat Rimon
858,Neve Yerak
98,Kfar Malal
206,The return levels
207,Givat Han
249,Sirkin village
239,Gan Haim
183,Yarkona
218,Gardens with
722,fulfilling
284,Warburg Field
198,scout
1236,Nirit
547,Tamra (Jezreel)
95,Alpha house
497,Taiba (in the valley)
635,Mokaybela
524,Naora
86,a hill
89,Ein Harod (unification)
452,Jezreel
636,Sandal
113,mighty
145,heap
164,full
442,Gedona
1155,Magen Shaul
84,Tel Yosef
82,Ein Harod (United)
1110,Friend
1108,an artist
2052,Avital
2053,Parson
165,Nir is beautiful
2054,The best
90,I want her
242,The method house
141,Lightning
1274,Gan Ner
833,Lightbulb
269,homeland
339,Ramat Zvi
146,Bumblebee
1069,Ram-on
85,Kfar Yehezkel
667,in thunder
578,Sasa
76,Kfar Giladi
623,Yaraon
1213,tulip
347,a lamp
378,Mishgav with
596,a queen
35,Gadot
366,dill
852,protector
443,Kfar Hanasi
319,Amir
253,sick
385,Amiad
380,The flames of the Bashan
77,Ayelet Hashahar
357,Bloom village
408,Neot Mordechai
302,bay
308,from two
329,Sde Nehemiah
416,A blessed spring
345,Sold village
1211,potters
356,the bridgers
303,Dan
453,will open
1132,Schnir
1322,Indianness
585,Levi
371,spherical
307,the sowers
786,Olive village
1162,Beit Rimon
701,Arbel
365,Beit Keshet
721,Sde Ilan
49,Ilanya
1190,Mitzpe Netufa
292,Sharona
255,Wheat village
306,that the figure of a bee
388,Kfar Kish
1293,Givat Avni
58,expecting
1258,foundation
1176,sapphire
1262,cliffs
806,Ein Yahav
13,measles
1175,Idan
1150,horn
1151,Paran
3723,face friend
3657,residence
3719,rut
3748,Atniel
3724,disgusted
3756,a horse
3764,Hagai
3656,Carmel
3759,Adora
3745,Masadat Yehuda
3784,heard
3743,basket
3777,Sensena
3722,Clusters
990,Ras Ali
652,Abtin
1321,Khalid
890,The religious youth village
178,Ramat Yohanan
882,pine trees
96,Yegor
237,The Gate of the Valleys
889,Kfar Hassidim B
278,bruit
254,Maccabi village
112,Kfar Hassidim A
220,Bialik village
1284,scenic
1197,Neat Samdar
1156,Samar
866,her benefit
1052,incense
1248,Eliphaz
1126,Eilot
1255,Lutan
1129,group
1266,dawn
1158,Yahal
21,Beer Ora
334,Yavneh Group
1094,Kerem Yavne (sitting)
848,Beit Raban
760,Ben is eligible
720,Nir Galim
592,Beni Darom
571,Beit Gamliel
1141,Introduction informants
1084,Ben Shemen (youth village)
2038,emerald
450,Isaac's wells
804,I will call you
449,streams
257,garnet
604,Beit Arif
618,Hadid
802,Givat 28
663,Yehuda Castle
745,Gomzo
616,Rintia
784,Beit Nehemiah
863,gardener
673,Kfar Truman
1166,Ruth village
1310,torch
1165,Shilot
2013,Ben Shemen (seat)
606,Balm
707,Kfar Daniel
448,Bnei Atarot
107,Kfar Silver
746,her knees
820,extract
351,Nitzan
1419,Nitzan B
747,Sycamore House
791,prop
726,Acknowledgment
1376,Garden well
359,buds
1323,Bat Hadar
342,Gebraam
573,scoring
358,Yad Mordechai
584,Zikim
768,Karmeya
744,Ptolemy is beautiful
699,Nir Israel
824,Michael star
1242,Enrichment path
706,Gaia
212,Beit Zvi
694,Ma'agan Michael
1320,sharp eye
102,Meir Shafia
427,Kfar Galim
769,Nir Etzion
327,Sea fields
612,pure
312,Neve Yam
74,Ein Hod
317,Beit Oren
810,Ofer
53,Atlit
33,Shlomo's daughter
290,Ma'an Zvi
433,surges
434,the rowers
738,generation
426,Ein Carmel
689,Magad
683,Carmel Hill
580,A vineyard from the Harel
687,Ain Ayala
800,House of Hanania
675,the builders
1167,Caesarea
287,Tel Yitzhak
232,sane
842,volcano
417,universe
1024,diligent
346,Rolls
288,Beit Yehoshua
446,Thank you
247,Rashpon
418,Bnei Zion
316,Neter village
389,in trouble
1324,Arsuf
1339,Al-Azi
2045,inheritance
393,Galeon
340,Gat (kibbutz)
1133,Verdon
619,Beit Guvrin
16,Beit Nir
564,strata
315,charged
2046,virtue
274,Kfar Menachem
293,Sde Yoav
888,The Rif village
767,Porat
170,Kfar Yabetz
837,Asriel
2002,yields
379,redeemed
661,Shaar Ephraim
753,Yanov
851,Oz buds
880,Ein Sharid
447,Nordic
1044,volley
276,Tzur Moshe
549,Ganot Hadar
386,Benny Dror
157,Rose eye
425,shift
187,Kfar Hess
162,freedom
32,power
814,furrows
23,Emtia
44,Glamor
1368,Palm trees
821,their percentage
36,Field of David
55,Venus
2030,rest
1374,Picking vineyards
1369,planted
309,Norah
7,Dawn
18,Field of Moses
11,Nir Khan
1365,Eliav
775,Yad Natan
1233,Slide
24,Lachish
730,Eliphalet
2063,elk
2009,jubilee
843,spies
732,Jordan Escort
322,Beit Hillel
324,rest of the settlement
1253,tilapia
861,Eliezer Field
372,Ramot Naftali
1252,Kuriz
1285,crocus
1210,antimony
130,guard of the valley
369,Gilad (Even Yitzchak)
270,the judge's eye
682,Elikim
703,Givat Oz
250,the sower
300,Dahlia
2029,Oz way
335,Judge level
367,Eye of the valley
445,Ramot Menashe
586,Megiddo
241,Yakneam (colony)
3786,stone
3645,The willow house
3556,coral
3639,Rose of Jericho
3610,A complete expectation
3601,toasting
1246,Aramsha
658,Sheikh Danon
376,Evron
289,Eye of the Bay
1183,completely
785,Ahihud
708,deep
297,Mesrik village
1256,visa
572,The valley house
589,Swamp
313,Afek
576,already
280,parking
595,The fighters of the ghettos
559,Bustan Hagalil
674,Liman
792,the convoy route
409,Yahyam
432,you kept
574,The Ziv Bridge
1068,Adamite
294,Eylon
579,Rosh Hankara village
325,position
575,storm
390,rugby
1143,A miracle of nations
463,Gaton
454,storm
712,Ben-Ami
282,Shavei Tzion
3779,Kochav Yaakov
3648,Matityahu
3767,Nahaliel
3752,Frankincense
3823,Gani Modi'in
3576,Mitzpe Jericho
3641,Sheila
3658,crown
3763,Geva Binyamin
3765,pestle
3564,dawn star
3824,Amichai
3709,Mevo Horon
3788,Telmon
3573,Neve Tsov
3651,More than four
3659,peaks
3617,ore
3565,pomegranates
3747,plane
3575,Beit Horon
3787,superior
3770,Hasmoneans
3638,Kfar Adumim
3715,Almon
3655,NIL
3644,New Gibeon
3796,The pine village
1325,Zoharim village
2039,Kiryat Yaarim (institution)
521,Ein Nakoba
1056,Ein Kerem - agricultural school
514,Ein Rapha
127,Ramat Rachel
10,Distilled
465,Tsova
751,Beit Meir
805,Ishai
816,neglected
794,crane
27,Fields of Micah
1134,Hand of eight
809,Nehem
1071,Neve Michael
776,from her cover
1123,cloak
39,vine
52,Luzit
740,I will ask
823,Bar Gyora
859,as a living room
799,Zechariah
796,cell phone
778,donate
864,in the corner
59,copper
567,wasp
783,Sapphire stone
752,dare
780,light
693,The path of the Lord
1079,hornbills
822,plantation
825,A mountain miracle
1070,Aviazer
787,Givat Yarim
779,Aminadav
777,Nachshon
78,Grape picking
771,More introduction
464,Harel
742,Zion Railway
919,Givat Isaiah
672,A cash register house
1113,Tzur Hadassah
1114,Shrigs (Lee-on)
364,Kfar Uria
462,Tal Shahar
1254,myrrh
741,vacuum cleaner
460,Ramat Raziel
1043,Gizo
286,High five
710,Olive House
1259,Neve Shalom
456,root
208,elite origin
405,Neve Ilan
868,Aloni Yitzhak
189,Kfar Pines
72,Gan Shmuel
1316,Al-Arian
649,excruciating
2024,Umm al-Kutuf
139,Ein Shemer
1370,Mitzpe Ilan
648,strait
444,Regevs
617,Barkai
344,sulcus
1243,harvesting
2055,Maor
2008,Yitzhak Field
310,Glikson village
375,sickle
223,Ein Iron
2003,Ptolemy Elazar
1128,Who is my people?
225,Garden of Samaria
213,shifts
715,Lovely flames
281,New bankruptcy
1045,planted
795,honeysuckle
892,Abdon
662,sturdiness
1184,gift
1220,knights
1147,planted
1219,The threshing floors of the Galilee
813,Ein Yaakov
1130,Kfar Rosenwald (seed)
1081,Even Menachem
603,Alkosh
755,Goren
1173,torches
614,keeper
774,Zuriel
1205,Dishes
570,tortured
1206,Goethe
1314,Neve Ziv
1208,Hila
1338,like her
607,Miron
1294,Tales of the Hasidim
546,Ain al-Assad
1191,Bar Yochai
688,What
605,Kfar Shamai
368,in a shooting
1214,taphot
431,Kite
846,improve
609,Kfar Hoshan
1064,Emirs
1047,vision
1115,springs
540,Rihaniya
1067,Dubb
527,interwoven
1229,anemone
1230,whites
1297,Kfar Hanania
664,Kerem Ben Zimra
599,separated
1212,deep
709,you will flower
1377,Shave South
2021,Ashel the president
2050,Ptolemy BILO
750,redeemed
749,hammer
2059,times 5777
762,trustfulness
2049,Deer field
789,Renan
71,spadix
2048,Nir Akiva
748,Route
736,you discovered
1080,Terrified
414,cobs
2047,Nir Moshe
1335,A pleasant evening
1317,imagined
1332,Hosnia
1245,Selma
1334,Ras al-Ain
1331,Kamana
1276,Ashval
1203,mountainous
1171,Lotem
1178,legacy
1112,Yodafat
1188,buckthorn
1201,cumin
1172,Seasoned
1209,deaf
1275,Battalion
1185,spindle
1272,pioneer
1163,moran
1180,Deer
1235,roots
1202,from money
1228,cyclamen
1207,Frankincense
1160,her neighbor
1174,crane
1222,Mitzpe Aviv
1221,formal
1181,Tel-Al
1226,tributaries
1204,a sheet
917,Atzmon Segev
1179,thyme
1138,target
1348,Beer HaDaj
1375,Abu Talul
1347,short a-ser
1342,Abu Qurinat (locality)
440,basics
2033,House of parts
577,Yad Binyamin
363,Chafetz Chaim
1372,Hazani's scion
588,Bani Ram
1371,Tal gardens
264,Golan Gate
57,Sea of ​​Galilee (group)
273,Ein Gev
702,Haun
374,Enacted
1105,Furia - Neve Oved
176,avenues
62,Degania A.
262,Ginosar
143,A seed house
263,Masada
79,Degania B
1104,Poriya - a working village
188,Ashdot Ya'akov (consolidated)
1313,High fertility
719,harvest mound
199,Ashdot Ya'akov (Ihud)
330,beams
678,anchorage
1125,Almagor
63,Kinneret (colony)
304,Sde Eliyahu
268,Tirat Zvi
2016,saturation
1282,most
383,Eye of the commissioner
854,Street
1127,Ma'ale Gilboa
296,Neve Eitan
265,Beit Yosef
2026,Jordana
48,Menachemia
298,tracks
295,Kfar Rupin
2057,Demons of donations
439,extensions
1283,Twin mounds
256,Nir David (Tel Amal)
305,bridge
590,Neve Or
259,Sde Nahum
437,Resheph
343,Hamdia
272,bastion of life
1318,Sea inlets
186,youth
897,Rupin Midrash
197,transitions
224,lily of the valley
217,Kfar HaRa
872,Gawli Yemen
422,sword to shovel
173,Givat Haim (United)
194,The Sharon Guard
204,Elyashiv
850,Ahitov
167,The eye of the forest
2018,Givat Haim (Union)
235,Lily of the Sharon
698,Borgata
423,the anchor
1319,Bat Hefer
758,Yad Hana
377,the qualifier
252,Beitan Aharon
680,courage
737,chicory
205,partridge
387,Kfar Munesh
382,trawl
734,Gan Yashia
233,Kfar Yedidia
807,Haniel
219,Lovers of Zion
2043,test
193,Kfar Haim
373,Beit Halevi
1102,sea ​​cliffs
697,in Arothim
175,Avihil
326,Beit Yitzchak-Shaar Hafer
115,beach
190,Kfar Vitkin
877,Liberty House
191,Hadar with
1361,Bat Chen
200,Beit Yanai
1077,Givat Shapira
942,Suaed (Hamaria)
994,Menshit Zvada
106,Kfar Gideon
104,from a seed
66,Mehravia (kibbutz)
142,Sde Jacob
457,Gazit
1249,oleander
407,you spoke
285,oaks
436,Ein Dor
132,Kfar Baruch
134,Ifat
135,Ramat David
92,Ginger
126,remnant
1330,Barak estate
103,A mound of lentils
80,praised
140,Joshua Village
1257,a charmer
1186,suspension
133,You frowned
248,Beit Shaarim
192,The forest village
94,Belfuria
613,birds
684,the scribe
97,Mehravia (seat)
677,the batteries
430,Bethlehem of Galilee
1337,umbrella
1182,Alon HaGilil
429,Aloni father
1199,jewel
1244,you changed
1288,Givat Ela
696,Kfar Habad
797,Ahiezer
798,Yagel
788,an olive
801,Hamad
594,ornithology
729,The Seventh Guard
331,Nir Tzvi
836,disgrace
3785,durations
3607,12th
3782,Rotem
3609,hardware
3606,pulley
3646,greedy
3578,that a figure is sick
3613,Gitti
3599,sick
3566,beautiful
3619,Roy
3598,crimson
3614,an addict
3612,hiccups
3713,NAMA
3605,beacon
3555,The battalion route
3615,Fetzel
3558,Tomer
1195,Nitsana (community of education)
354,many
1340,space with
885,Sde Boker
421,field resources
1278,Beer Milka
1260,harnesses
1152,I'm delusional
1140,Midrash Ben Gurion
1291,truffle
1177,snowdrifts
1280,Chinese buds
803,Yoshibia
1146,youth
2064,her arm
1083,resourcefulness
419,welfare
761,captive
2044,from nights
723,Capricorn House
415,Shukda
865,oats
398,chain
2014,stems
1065,female singer
1082,circles
1095,Kfar Maimon
665,rebirth
3749,Yitzhar
3710,blessing
3762,Itamar
3572,Apple village
3579,Alon Mora
3571,Shavi Samaria
3569,Dotan's introduction
3793,Gems
3643,graceful
3717,scythe
3712,grape
3795,myriad
3744,Bruchin
3637,Ma'ale Samaria
3790,landscapes
3746,Kiryat Natafim
3822,Rachel
3751,towers
3647,darling
3768,Pedual
3778,Ephraim tree
3727,Gold leaves
3649,Almond
3568,basil
3791,scouts
3720,Gates of hope
3654,Bracken
3567,rocky
338,enemies
811,will prepare you
844,Nahal Oz
362,Ruhama
348,Nir with
714,cedar
424,backs
668,levels
67,candle light
336,generations
845,Gaza village
428,Obviously a force
766,independence
1145,beam
37,Strong
15,pleasantness
818,Zarahiya
815,Zebediel
620,Isaac beacons
826,Uza
873,peace
2051,Welfare
622,Ein Tzorim
1098,Shapira Center
400,Ibn Shmuel
692,benign
2042,Ein Gedi
1261,Mount Amsha
1124,Adequate square
1251,Ein Tamar
