"","city_lms_name","city_lms_code","num_of_rooms","floor","total_area","validity_date","company_name","status_name","status_change_date","property_type_name","city_lms_name_translated","company_name_translated","status_name_translated","property_type_name_translated"
"90","Beit Shean",9200,3,3,84,"23/05/2024","Amidar","free","24/12/2023","Apartment","Beit Shean","Amidar","free","Apartment"
"91","Arad",2560,2,4,52,"23/05/2024","Amidar","free","25/07/2023","Apartment","Arad","Amidar","free","Apartment"
"92","Dimona",2200,3,3,54,"23/05/2024","Amidar","free","02/08/2021","Apartment","Dimona","Amidar","free","Apartment"
"93","Kiryat Shmona",2800,2,3,62.7,"23/05/2024","Amidar","free","04/07/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"94","Afula",7700,2,2,46,"23/05/2024","Amidar","free","15/05/2022","Apartment","Afula","Amidar","free","Apartment"
"95","Afula",7700,2,2,46,"23/05/2024","Amidar","free","15/05/2022","Apartment","Afula","Amidar","free","Apartment"
"96","Arad",2560,2,3,54,"23/05/2024","Amidar","free","22/06/2023","Apartment","Arad","Amidar","free","Apartment"
"97","Dimona",2200,3,2,58,"23/05/2024","Amidar","free","25/10/2021","Apartment","Dimona","Amidar","free","Apartment"
"98","Beer Sheva",9000,2.5,1,42.4,"23/05/2024","Amidar","free","07/11/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"99","Nof Hagalil",1061,3,3,53.3,"23/05/2024","Amidar","free","29/08/2022","Apartment","Nof Hagalil","Amidar","free","Apartment"
"100","Mitzpe Ramon",99,3,1,72,"23/05/2024","Amidar","free","14/12/2020","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"101","Nof Hagalil",1061,1,4,31.27,"23/05/2024","Amidar","free","09/05/2023","Apartment","Nof Hagalil","Amidar","free","Apartment"
"102","Kiryat Arba",3611,3,3,75,"23/05/2024","Amidar","free","15/10/2023","Apartment","Kiryat Arba","Amidar","free","Apartment"
"103","Katzrin",4100,3,2,75,"23/05/2024","Co. Ltd","free","02/01/2023","Apartment","Katzrin","Co. Ltd","free","Apartment"
"104","Ofakim",31,3,2,54,"23/05/2024","Amigur","free","07/11/2023","Apartment","Ofakim","Amigur","free","Apartment"
"105","Ofakim",31,2,2,49,"23/05/2024","Amigur","free","29/11/2022","Apartment","Ofakim","Amigur","free","Apartment"
"106","Ofakim",31,2,2,55,"23/05/2024","Amigur","free","03/12/2023","Apartment","Ofakim","Amigur","free","Apartment"
"107","Ofakim",31,3,3,64,"23/05/2024","Amigur","free","09/08/2022","Apartment","Ofakim","Amigur","free","Apartment"
"108","Netivot",246,2,4,52,"23/05/2024","Amigur","free","24/09/2020","Apartment","Netivot","Amigur","free","Apartment"
"109","Dimona",2200,2,3,47,"23/05/2024","Amidar","free","09/02/2021","Apartment","Dimona","Amidar","free","Apartment"
"110","Yeruham",831,3,3,72,"23/05/2024","Amidar","free","10/09/2020","Apartment","Yeruham","Amidar","free","Apartment"
"111","Beer Sheva",9000,2,4,47,"23/05/2024","Amidar","free","16/03/2020","Apartment","Beer Sheva","Amidar","free","Apartment"
"112","Arad",2560,2,4,52,"23/05/2024","Amidar","free","08/06/2022","Apartment","Arad","Amidar","free","Apartment"
"113","Hazor HaGalilit",2034,3,3,70,"23/05/2024","Amidar","free","14/04/2022","Apartment","Hazor HaGalilit","Amidar","free","Apartment"
"114","Dimona",2200,3,4,70,"23/05/2024","Amidar","free","02/11/2022","Apartment","Dimona","Amidar","free","Apartment"
"115","Mitzpe Ramon",99,3,4,64.8,"23/05/2024","Amidar","free","18/02/2024","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"116","Beer Sheva",9000,2.5,1,48.3,"23/05/2024","Amidar","free","03/07/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"117","Kiryat Shmona",2800,2,4,57,"23/05/2024","Amidar","free","16/03/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"118","Dimona",2200,3,3,53.1,"23/05/2024","Amidar","free","16/05/2022","Apartment","Dimona","Amidar","free","Apartment"
"119","Beer Sheva",9000,2,2,51,"23/05/2024","Amidar","free","27/04/2021","Apartment","Beer Sheva","Amidar","free","Apartment"
"120","Kiryat Gat",2630,2,3,48,"23/05/2024","Amidar","free","07/12/2023","Apartment","Kiryat Gat","Amidar","free","Apartment"
"121","Afula",7700,2,3,46.5,"23/05/2024","Amidar","free","04/04/2021","Apartment","Afula","Amidar","free","Apartment"
"122","Afula",7700,2,3,46.5,"23/05/2024","Amidar","free","04/04/2021","Apartment","Afula","Amidar","free","Apartment"
"123","Nof Hagalil",1061,1,3,37,"23/05/2024","Amidar","free","10/11/2022","Apartment","Nof Hagalil","Amidar","free","Apartment"
"124","Nof Hagalil",1061,1,5,34,"23/05/2024","Amidar","free","17/12/2023","Apartment","Nof Hagalil","Amidar","free","Apartment"
"125","Kiryat Shmona",2800,3,2,63.3,"23/05/2024","Amidar","free","19/06/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"126","Nesher",2500,2,2,57,"23/05/2024","Amidar","free","10/12/2023","Apartment","Nesher","Amidar","free","Apartment"
"127","Kiryat Shmona",2800,2,4,57,"23/05/2024","Amidar","free","18/05/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"128","Yeruham",831,2,2,48,"23/05/2024","Amidar","free","05/04/2022","Apartment","Yeruham","Amidar","free","Apartment"
"129","Beer Sheva",9000,3,4,57,"23/05/2024","Amidar","free","08/05/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"130","Beer Sheva",9000,2,2,53,"23/05/2024","Amidar","free","06/12/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"131","Beit Shean",9200,2,3,63,"23/05/2024","Amidar","free","04/01/2024","Apartment","Beit Shean","Amidar","free","Apartment"
"132","Beer Sheva",9000,2.5,2,45,"23/05/2024","Amidar","free","21/12/2021","Apartment","Beer Sheva","Amidar","free","Apartment"
"133","Arad",2560,2,4,38,"23/05/2024","Amidar","free","29/05/2022","Apartment","Arad","Amidar","free","Apartment"
"134","Katzrin",4100,1,1,44,"23/05/2024","Co. Ltd","free","10/12/2023","Apartment","Katzrin","Co. Ltd","free","Apartment"
"135","Tel Aviv Jaffa",5000,1.5,1,31.86,"23/05/2024","flint","free","27/11/2022","Apartment","Tel Aviv Jaffa","flint","free","Apartment"
"136","Arad",2560,2,4,57,"23/05/2024","Amidar","free","03/01/2022","Apartment","Arad","Amidar","free","Apartment"
"137","Kiryat Gat",2630,2,4,48,"23/05/2024","Amidar","free","07/01/2024","Apartment","Kiryat Gat","Amidar","free","Apartment"
"138","Haifa",4000,1,3,40,"23/05/2024","Shakmona","free","01/05/2023","Apartment","Haifa","Shakmona","free","Apartment"
"139","Katzrin",4100,3,2,75,"23/05/2024","Co. Ltd","free","24/10/2023","Apartment","Katzrin","Co. Ltd","free","Apartment"
"140","Maale Ephraim",3608,3,2,77,"23/05/2024","Co. Ltd","free","01/01/2021","Apartment","Maale Ephraim","Co. Ltd","free","Apartment"
"141","Netivot",246,3,3,70,"23/05/2024","Amigur","free","23/11/2023","Apartment","Netivot","Amigur","free","Apartment"
"142","Netivot",246,2,3,52,"23/05/2024","Amigur","free","08/12/2022","Apartment","Netivot","Amigur","free","Apartment"
"143","Netivot",246,3,4,70,"23/05/2024","Amigur","free","18/09/2023","Apartment","Netivot","Amigur","free","Apartment"
"144","Ofakim",31,3,1,64,"23/05/2024","Amigur","free","07/05/2023","Apartment","Ofakim","Amigur","free","Apartment"
"145","Ofakim",31,2,1,37,"23/05/2024","Amigur","free","09/03/2022","Apartment","Ofakim","Amigur","free","Apartment"
"146","Ofakim",31,2,2,55,"23/05/2024","Amigur","free","01/03/2023","Apartment","Ofakim","Amigur","free","Apartment"
"147","Yeruham",831,2,3,48,"23/05/2024","Amidar","free","11/04/2021","Apartment","Yeruham","Amidar","free","Apartment"
"148","Mitzpe Ramon",99,3,4,72,"23/05/2024","Amidar","free","10/10/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"149","Arad",2560,2,4,57,"23/05/2024","Amidar","free","16/03/2021","Apartment","Arad","Amidar","free","Apartment"
"150","Or Akiva",1020,1.5,2,33,"23/05/2024","Amidar","free","26/11/2023","Apartment","Or Akiva","Amidar","free","Apartment"
"151","Mitzpe Ramon",99,3,3,74,"23/05/2024","Amidar","free","26/02/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"152","Mitzpe Ramon",99,3,2,58.8,"23/05/2024","Amidar","free","20/10/2022","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"153","Ma'alot-Tarshiha",1063,2,3,46,"23/05/2024","Amidar","free","01/08/2022","Apartment","Ma'alot-Tarshiha","Amidar","free","Apartment"
"154","Beer Sheva",9000,2,4,47,"23/05/2024","Amidar","free","18/11/2019","Apartment","Beer Sheva","Amidar","free","Apartment"
"155","Dimona",2200,3,1,62,"23/05/2024","Amidar","free","15/12/2022","Apartment","Dimona","Amidar","free","Apartment"
"156","Beer Sheva",9000,2,4,47,"23/05/2024","Amidar","free","18/10/2021","Apartment","Beer Sheva","Amidar","free","Apartment"
"157","Dimona",2200,2,4,48,"23/05/2024","Amidar","free","04/07/2022","Apartment","Dimona","Amidar","free","Apartment"
"158","Dimona",2200,2,3,48,"23/05/2024","Amidar","free","12/03/2020","Apartment","Dimona","Amidar","free","Apartment"
"159","Kiryat Shmona",2800,2,4,60.6,"23/05/2024","Amidar","free","28/11/2022","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"160","Dimona",2200,2,2,46.3,"23/05/2024","Amidar","free","02/03/2023","Apartment","Dimona","Amidar","free","Apartment"
"161","Kiryat Gat",2630,2,3,52,"23/05/2024","Amidar","free","25/01/2024","Apartment","Kiryat Gat","Amidar","free","Apartment"
"162","Yeruham",831,3,2,73,"23/05/2024","Amidar","free","25/03/2021","Apartment","Yeruham","Amidar","free","Apartment"
"163","Dimona",2200,3,4,63,"23/05/2024","Amidar","free","08/08/2021","Apartment","Dimona","Amidar","free","Apartment"
"164","Dimona",2200,2.5,2,53.1,"23/05/2024","Amidar","free","11/04/2022","Apartment","Dimona","Amidar","free","Apartment"
"165","Dimona",2200,3,4,54,"23/05/2024","Amidar","free","27/06/2022","Apartment","Dimona","Amidar","free","Apartment"
"166","Dimona",2200,3,3,54,"23/05/2024","Amidar","free","30/12/2019","Apartment","Dimona","Amidar","free","Apartment"
"167","Beer Sheva",9000,2,2,52,"23/05/2024","Amidar","free","28/12/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"168","Dimona",2200,3,3,53.1,"23/05/2024","Amidar","free","27/12/2020","Apartment","Dimona","Amidar","free","Apartment"
"169","Mitzpe Ramon",99,3,4,79,"23/05/2024","Amidar","free","11/10/2020","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"170","Kiryat Arba",3611,3,5,75,"23/05/2024","Amidar","free","29/09/2023","Apartment","Kiryat Arba","Amidar","free","Apartment"
"171","Sderot",1031,3,3,61,"23/05/2024","Amigur","free","23/03/2023","Apartment","Sderot","Amigur","free","Apartment"
"172","Yeruham",831,3,4,72,"23/05/2024","Amidar","free","30/08/2020","Apartment","Yeruham","Amidar","free","Apartment"
"173","Yeruham",831,2,3,48,"23/05/2024","Amidar","free","14/12/2021","Apartment","Yeruham","Amidar","free","Apartment"
"174","Beer Sheva",9000,2.5,2,45,"23/05/2024","Amidar","free","11/12/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"175","Mitzpe Ramon",99,2.5,1,53.9,"23/05/2024","Amidar","free","29/03/2022","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"176","Dimona",2200,2,4,56,"23/05/2024","Amidar","free","14/02/2023","Apartment","Dimona","Amidar","free","Apartment"
"177","Mitzpe Ramon",99,3,4,79,"23/05/2024","Amidar","free","03/11/2020","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"178","Mitzpe Ramon",99,5,2,110,"23/05/2024","Amidar","free","26/08/2019","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"179","Zefat",8000,2,3,50,"23/05/2024","Amidar","free","09/03/2023","Apartment","Zefat","Amidar","free","Apartment"
"180","Kiryat Shmona",2800,2,3,60.3,"23/05/2024","Amidar","free","14/09/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"181","Beer Sheva",9000,2,2,47.9,"23/05/2024","Amidar","free","05/12/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"182","Beer Sheva",9000,2,4,47,"23/05/2024","Amidar","free","06/01/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"183","Dimona",2200,2,2,48,"23/05/2024","Amidar","free","23/03/2023","Apartment","Dimona","Amidar","free","Apartment"
"184","Ma'alot-Tarshiha",1063,2,3,46,"23/05/2024","Amidar","free","29/11/2022","Apartment","Ma'alot-Tarshiha","Amidar","free","Apartment"
"185","Beer Sheva",9000,2.5,2,49,"23/05/2024","Amidar","free","15/07/2021","Apartment","Beer Sheva","Amidar","free","Apartment"
"186","Afula",7700,2,7,49.5,"23/05/2024","Amidar","free","07/12/2021","Apartment","Afula","Amidar","free","Apartment"
"187","Afula",7700,2,7,49.5,"23/05/2024","Amidar","free","07/12/2021","Apartment","Afula","Amidar","free","Apartment"
"188","Dimona",2200,3,3,54,"23/05/2024","Amidar","free","30/08/2022","Apartment","Dimona","Amidar","free","Apartment"
"189","Dimona",2200,2.5,1,42,"23/05/2024","Amidar","free","06/12/2023","Apartment","Dimona","Amidar","free","Apartment"
"190","Dimona",2200,3,3,54,"23/05/2024","Amidar","free","15/02/2021","Apartment","Dimona","Amidar","free","Apartment"
"191","Dimona",2200,2,4,52,"23/05/2024","Amidar","free","28/07/2020","Apartment","Dimona","Amidar","free","Apartment"
"192","Yeruham",831,3,3,54,"23/05/2024","Amidar","free","31/10/2021","Apartment","Yeruham","Amidar","free","Apartment"
"193","Hazor HaGalilit",2034,2,4,48,"23/05/2024","Amidar","free","27/01/2022","Apartment","Hazor HaGalilit","Amidar","free","Apartment"
"194","Hazor HaGalilit",2034,2,4,48,"23/05/2024","Amidar","free","11/08/2021","Apartment","Hazor HaGalilit","Amidar","free","Apartment"
"195","Yeruham",831,2,1,44,"23/05/2024","Amidar","free","09/12/2021","Apartment","Yeruham","Amidar","free","Apartment"
"196","Beit Shean",9200,3,2,63,"23/05/2024","Amidar","free","28/01/2024","Apartment","Beit Shean","Amidar","free","Apartment"
"197","Beer Sheva",9000,2.5,1,48,"23/05/2024","Amidar","free","04/07/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"198","Nof Hagalil",1061,2,5,50,"23/05/2024","Amidar","free","06/08/2023","Apartment","Nof Hagalil","Amidar","free","Apartment"
"199","Beit Shemesh",2610,3,4,87,"23/05/2024","Amidar","free","15/01/2024","Apartment","Beit Shemesh","Amidar","free","Apartment"
"200","Maale Ephraim",3608,3,2,77,"23/05/2024","Co. Ltd","free","01/11/2020","Apartment","Maale Ephraim","Co. Ltd","free","Apartment"
"201","Kiryat Shmona",2800,2,5,66,"23/05/2024","Amidar","free","06/09/2022","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"202","Ma'alot-Tarshiha",1063,3,3,54,"23/05/2024","Amidar","free","02/03/2023","Apartment","Ma'alot-Tarshiha","Amidar","free","Apartment"
"203","Afula",7700,2,3,49,"23/05/2024","Amidar","free","01/08/2021","Apartment","Afula","Amidar","free","Apartment"
"204","Afula",7700,2,3,49,"23/05/2024","Amidar","free","01/08/2021","Apartment","Afula","Amidar","free","Apartment"
"205","Beit Shean",9200,3,3,65,"23/05/2024","Amidar","free","01/11/2023","Apartment","Beit Shean","Amidar","free","Apartment"
"206","Yeruham",831,3,2,76,"23/05/2024","Amidar","free","13/01/2022","Apartment","Yeruham","Amidar","free","Apartment"
