CODE OF LOCALITY,NAME OF LOCALITY,INDEX POPULATION 2019, CLUSTER 2019, CLUSTER 2017
819,AVIGEDOR,826,9,9
593,ARUGOT,"1,147",9,9
553,NIR BANIM,726,9,9
234,BIZZARON,"1,258",9,9
163,TIMMORIM,777,9,9
475,DAHI,703,3,3
512,KAFAR MISR,"2,750",3,3
523,NEIN,"1,876",3,3
526,SULAM,"2,609",3,3
1265,SHOMERIYYA,825,3,3
397,HAZERIM,852,5,4
2060,BEROSH,564,6,5
2061,TIDHAR,653,7,7
396,NEVATIM,996,7,7
2062,TE'ASHUR,446,7,7
1198,KERAMIM,489,7,7
2023,LAHAV,567,8,7
394,SHOVAL,819,8,7
395,MISHMAR HANEGEV,"1,005",8,8
849,DEVIRA,"1,007",9,9
1344,GEVA'OT BAR,"1,230",9,9
598,BET QAMA,"1,405",9,9
144,GAN SHELOMO,578,8,7
562,BET EL'AZARI,"1,568",8,8
147,GIV'AT BRENNER,"2,678",8,8
615,QIDRON,"1,607",9,9
685,BENAYA,798,9,9
196,GIBBETON,369,9,9
1072,GAN HADAROM,636,8,9
857,KEFAR AVIV,822,9,9
555,SHEDEMA,593,9,9
765,MISGAV DOV,722,9,9
764,KEFAR MORDEKHAY,644,9,9
731,MESHAR,795,10,9
591,ASERET,"1,012",10,9
4006,QESHET,797,3,3
4005,HASPIN,"2,054",3,3
4017,ALLONE HABASHAN,457,4,3
4014,NATUR,713,5,3
4007,YONATAN,745,5,5
4304,NOV,965,5,4
4019,MEZAR,299,5,4
4701,RAMAT MAGSHIMIM,705,5,6
4024,QELA,319,6,5
4011,AVNE ETAN,725,6,6
4015,BENE YEHUDA,"1,085",6,6
4013,ORTAL,343,7,5
4004,KEFAR HARUV,434,7,6
4002,ELI-AD,433,7,7
4003,EL-ROM,398,7,6
4026,HAD-NES,810,7,7
4012,ANI'AM,533,7,7
4101,MEROM GOLAN,743,7,7
4551,NE'OT GOLAN,632,7,7
4503,EN ZIWAN,370,7,7
4301,AFIQ,345,7,7
4204,MEVO HAMMA,459,7,7
4022,GESHUR,280,7,8
4021,GIV'AT YO'AV,707,7,7
4702,RAMOT,552,8,7
4025,QIDMAT ZEVI,499,8,8
4028,KANAF,461,8,8
4009,SHA'AL,276,8,8
4010,ODEM,155,8,9
4008,MA'ALE GAMLA,557,8,9
3653,MA'ALE AMOS,663,2,2
3754,ASFAR,932,2,3
3794,BAT AYIN,"1,568",3,3
3561,MIGDAL OZ,573,3,4
3488,KEFAR EZYON,"1,155",4,4
3766,KARME ZUR,"1,001",5,5
3726,NOQEDIM,"2,383",5,5
3563,TEQOA,"4,076",5,5
3604,ALLON SHEVUT,"3,054",6,6
3602,ROSH ZURIM,933,7,6
3781,QEDAR,"1,599",7,7
3618,EL'AZAR,"2,459",7,7
3725,NEWE DANIYYEL,"2,322",7,7
3603,HAR GILLO,"1,635",7,7
856,SHA'ALVIM,"1,928",5,4
711,AZARYA,"1,227",7,7
759,YAZIZ,822,7,7
839,PETAHYA,841,7,7
757,MAZLIAH,"1,363",7,7
64,YAD RAMBAM,"1,124",7,7
158,NA'AN,"1,717",7,7
370,GEZER,287,7,7
838,PEDAYA,841,7,7
301,BET UZZI'EL,625,7,7
828,YASHRESH,"1,001",7,7
1333,NOF AYYALON,"2,128",7,7
862,GANNE YOHANAN,621,7,7
435,NEZER SERENI,882,8,8
1050,BET HASHMONAY,"2,197",9,9
670,MISHMAR AYYALON,556,9,9
2010,KEFAR BIN NUN,749,9,9
610,SITRIYYA,"1,102",9,9
160,HULDA,"1,163",9,9
1103,GANNE HADAR,339,9,9
743,KEFAR SHEMU'EL,956,9,9
735,RAMOT ME'IR,749,9,9
177,KEFAR BILU,"1,258",9,9
563,MISHMAR DAWID,949,10,9
1264,KARME YOSEF,"1,743",10,10
156,AYANOT,394,2,2
597,PALMAHIM,689,8,8
853,GE'ALYA,973,9,9
311,GAN SOREQ,694,9,9
159,BET HANAN,542,9,9
582,KEFAR HANAGID,"1,260",9,9
1336,IRUS,706,9,10
202,BET OVED,263,10,9
174,NETA'IM,637,10,9
1076,BET BERL,198,7,5
184,RAMAT HAKOVESH,"1,130",7,7
718,YARHIV,"1,082",7,7
841,ELISHAMA,"1,200",7,7
686,NEWE YAMIN,"1,155",7,7
808,NIR ELIYYAHU,555,7,8
705,NAHSHONIM,405,8,7
355,HORESHIM,335,8,8
1148,ZUR NATAN,313,8,8
716,EYAL,534,8,7
870,GIV'AT HASHELOSHA,870,8,8
717,HAGOR,"1,162",8,9
871,ENAT,829,8,9
1345,ZUR YIZHAQ,"6,361",9,9
230,MA'AS,864,9,9
2035,ADANIM,515,9,9
2015,SEDE HEMED,"1,019",9,9
1315,MATTAN,"3,617",9,9
128,GAT RIMMON,326,9,9
858,NEWE YARAQ,"1,348",9,9
98,KEFAR MALAL,325,9,9
206,RAMOT HASHAVIM,"1,730",9,9
207,GIV'AT HEN,374,9,9
249,KEFAR SIRKIN,"1,502",9,9
239,GAN HAYYIM,816,9,9
183,YARQONA,360,9,9
218,GANNE AM,242,9,9
722,MAGSHIMIM,"1,089",9,9
284,SEDE WARBURG,"1,478",10,9
198,ZOFIT,"1,287",10,9
1236,NIRIT,926,10,10
547,TAMRA (YIZRE'EL),"1,601",2,2
95,BET ALFA,"1,068",2,4
497,TAYIBE(BAEMEQ),"1,865",2,2
635,MUQEIBLE,"4,081",2,2
524,NA'URA,"2,324",3,3
86,GEVA,618,3,3
89,EN HAROD (IHUD),546,4,4
452,YIZRE'EL,553,4,4
636,SANDALA,"1,644",5,4
113,ADDIRIM,272,5,4
145,GADISH,397,5,5
164,MELE'A,383,6,6
442,GID'ONA,471,6,6
1155,MAGEN SHA'UL,676,6,6
84,TEL YOSEF,560,6,7
82,EN HAROD(ME'UHAD),760,6,6
1110,HEVER,616,6,6
1108,OMEN,387,6,6
2052,AVITAL,494,7,6
2053,PERAZON,322,7,7
165,NIR YAFE,724,7,7
2054,METAV,471,7,7
90,HEFZI-BAH,715,7,7
242,BET HASHITTA,"1,263",7,7
141,BARAQ,411,7,7
1274,GAN NER,"2,670",7,7
833,NURIT,193,7,9
269,MOLEDET,"1,068",7,7
339,RAMAT ZEVI,710,7,8
146,DEVORA,217,8,8
1069,RAM-ON,978,8,9
85,KEFAR YEHEZQEL,"1,115",8,9
667,BAR'AM,584,2,2
578,SASA,416,4,4
76,KEFAR GIL'ADI,664,5,5
623,YIR'ON,404,5,6
1213,ZIV'ON,274,6,5
347,MENARA,248,7,6
378,MISGAV AM,339,7,7
596,MALKIYYA,462,7,7
35,GADOT,434,7,7
366,SHAMIR,922,7,6
852,GONEN,364,7,7
443,KEFAR HANASI,865,7,7
319,AMIR,584,7,7
253,HULATA,694,7,6
385,AMMI'AD,439,7,7
380,LAHAVOT HABASHAN,892,7,7
77,AYYELET HASHAHAR,"1,119",7,7
357,KEFAR BLUM,766,7,7
408,NE'OT MORDEKHAY,620,7,7
302,DAFNA,936,7,7
308,MAHANAYIM,804,7,7
329,SEDE NEHEMYA,"1,235",7,7
416,MA'YAN BARUKH,767,7,8
345,KEFAR SZOLD,674,7,7
1211,QADDARIM,270,7,7
356,HAGOSHERIM,805,7,7
303,DAN,745,7,7
453,YIFTAH,569,7,8
1132,SENIR,586,8,8
1322,HODAYOT,321,1,1
585,LAVI,627,2,2
371,KADOORIE,244,3,3
307,HAZORE'IM,"1,060",5,4
786,KEFAR ZETIM,768,5,4
1162,BET RIMMON,876,6,6
701,ARBEL,735,7,7
365,BET QESHET,712,7,6
721,SEDE ILAN,590,7,7
49,ILANIYYA,490,7,7
1190,MIZPE NETOFA,"1,029",7,8
292,SHARONA,571,8,8
255,KEFAR HITTIM,619,8,8
306,SHADMOT DEVORA,683,8,8
388,KEFAR KISCH,604,8,8
1293,GIV'AT AVNI,"2,049",8,8
58,MIZPA,141,8,9
1258,MASSAD,347,9,9
1176,SAPPIR,447,6,6
1262,ZUQIM,344,7,7
806,EN YAHAV,742,7,7
13,HAZEVA,620,7,7
1175,IDDAN,392,8,8
1150,ZOFAR,451,8,9
1151,PARAN,501,8,9
3723,PENE HEVER,635,2,2
3657,MA'ON,595,4,4
3719,TELEM,445,4,4
3748,OTNI'EL,"1,044",5,4
3724,NEGOHOT,352,5,4
3756,SUSEYA,"1,339",5,4
3764,HAGGAY,667,5,4
3656,KARMEL,437,5,5
3759,ADORA,462,5,5
3745,MEZADOT YEHUDA,550,5,5
3784,SHIM'A,741,6,5
3743,TENE,872,7,7
3777,SANSANA,519,7,7
3722,ESHKOLOT,577,7,7
990,RAS ALI,643,1,1
652,IBTIN,"2,835",2,2
1321,KHAWALED,710,2,2
890,KEFAR HANO'AR HADATI,222,2,3
178,RAMAT YOHANAN,"1,012",3,3
882,ORANIM,178,3,3
96,YAGUR,"1,584",4,4
237,SHA'AR HAAMAQIM,685,6,6
889,KEFAR HASIDIM BET,302,7,3
278,USHA,532,7,7
254,KEFAR HAMAKKABBI,386,7,7
112,KEFAR HASIDIM ALEF,564,7,7
220,KEFAR BIALIK,685,9,8
1284,NOFIT,"2,689",10,10
1197,NE'OT SMADAR,227,1,2
1156,SAMAR,279,3,3
866,YOTVATA,717,3,3
1052,QETURA,471,4,4
1248,ELIFAZ,150,4,4
1126,ELOT,314,5,6
1255,LOTAN,177,6,5
1129,GEROFIT,249,6,7
1266,SHAHARUT,164,7,6
1158,YAHEL,218,7,7
21,BE'ER ORA,"1,033",7,7
334,QEVUZAT YAVNE,958,2,2
1094,KEREM YAVNE(YESHIVA),532,3,3
848,BET RABBAN,"1,017",4,3
760,BEN ZAKKAY,"1,132",5,5
720,NIR GALLIM,"1,396",7,6
592,BENE DAROM,903,7,7
571,BET GAMLI'EL,"1,019",8,8
1141,MEVO MODI'IM,255,3,3
1084,BEN SHEMEN(K.NO'AR),620,3,3
2038,BAREQET,"2,082",4,4
450,BE'EROT YIZHAQ,414,5,4
804,AHISAMAKH,"1,377",6,5
449,NEHALIM,"1,788",6,7
257,NOFEKH,588,7,7
604,BET ARIF,"1,174",7,7
618,HADID,875,7,6
802,GIV'AT KOAH,903,7,7
663,TIRAT YEHUDA,"1,201",7,7
745,GIMZO,"1,206",7,7
616,RINNATYA,"1,205",8,8
784,BET NEHEMYA,879,8,8
863,GINNATON,918,8,8
673,KEFAR TRUMAN,893,9,9
1166,KEFAR RUT,264,9,9
1310,LAPPID,"2,394",9,9
1165,SHILAT,771,9,9
2013,BEN SHEMEN (MOSHAV),870,9,9
606,MAZOR,"1,331",9,9
707,KEFAR DANIYYEL,708,10,9
448,BENE ATAROT,964,10,9
107,KEFAR SILVER,287,2,3
746,BEREKHYA,"1,274",5,4
820,HELEZ,455,5,5
351,NIZZAN,"2,461",5,5
1419,NIZZAN B,498,5,5
747,BET SHIQMA,863,5,5
791,MASH'EN,"1,064",6,6
726,HODIYYA,548,6,6
1376,BE'ER GANNIM,"1,525",7,6
359,NIZZANIM,421,7,7
1323,BAT HADAR,760,7,7
342,GEVAR'AM,466,7,8
573,MAVQI'IM,484,7,7
358,YAD MORDEKHAY,737,8,8
584,ZIQIM,852,8,8
768,KARMIYYA,597,8,8
744,TALME YAFE,818,8,8
699,NIR YISRA'EL,877,8,9
824,KOKHAV MIKHA'EL,"1,052",8,8
1242,NETIV HAASARA,891,9,9
706,GE'A,969,9,9
212,BET ZEVI,345,2,1
694,MA'AGAN MIKHA'EL,"2,039",2,3
1320,EIN HOD,305,3,3
102,ME'IR SHEFEYA,296,3,3
427,KEFAR GALLIM,389,4,4
769,NIR EZYON,981,4,4
327,SEDOT YAM,"1,057",5,4
612,ZERUFA,"1,097",7,7
312,NEWE YAM,232,7,7
74,EN HOD,643,7,7
317,BET OREN,507,7,8
810,OFER,651,7,7
53,ATLIT,"8,875",7,8
33,BAT SHELOMO,656,8,8
290,MA'YAN ZEVI,749,8,8
433,NAHSHOLIM,687,8,8
434,HAHOTERIM,858,8,9
738,DOR,443,9,9
426,EN KARMEL,922,9,9
689,MEGADIM,"1,329",9,9
683,GEVA  KARMEL,"1,200",9,9
580,KEREM MAHARAL,777,9,9
687,EN AYYALA,"1,150",9,9
800,BET HANANYA,907,9,9
675,HABONIM,369,9,9
1167,QESARYYA,"5,343",9,10
287,TEL YIZHAQ,"1,017",5,4
232,SHEFAYIM,"1,302",7,7
842,GA'ASH,819,7,6
417,YAQUM,764,7,7
1024,HARUZIM,846,7,7
346,GELIL YAM,517,8,8
288,BET YEHOSHUA,"1,046",9,9
446,UDIM,"1,379",9,9
247,RISHPON,"1,458",9,9
418,BENE ZIYYON,"1,370",9,9
316,KEFAR NETTER,"1,193",10,9
389,BAZRA,"1,213",10,10
1324,ARSUF,165,10,9
1339,AL-AZY,196,1,1
2045,NAHALA,717,7,7
393,GAL'ON,582,7,8
340,GAT(QIBBUZ),850,7,7
1133,WARDON,277,7,7
619,BET GUVRIN,435,7,8
16,BET NIR,609,7,7
564,REVADIM,813,8,8
315,NEGBA,969,8,8
2046,SEGULLA,717,8,8
274,KEFAR MENAHEM,"1,366",8,9
293,SEDE YO'AV,583,9,8
888,KEFAR HARIF,836,9,9
767,PORAT,"1,275",5,4
170,KEFAR YA'BEZ,659,6,5
837,AZRI'EL,904,7,6
2002,TENUVOT,830,7,7
379,GE'ULIM,968,7,7
661,SHA'AR EFRAYIM,"1,907",7,7
753,YANUV,913,7,8
851,NIZZANE OZ,"1,115",8,8
880,EN SARID,"1,630",8,8
447,NORDIYYA,"1,871",9,9
1044,YE'AF,300,9,9
276,ZUR MOSHE,"3,097",9,9
549,GANNOT HADAR,971,9,9
386,BENE DEROR,"1,171",9,9
157,EN WERED,"1,484",9,9
425,MISHMERET,"1,059",9,9
187,KEFAR HESS,"1,593",9,9
162,HERUT,"1,298",10,9
32,OZEM,652,3,4
814,TELAMIM,929,5,4
23,AMAZYA,263,5,6
44,ZOHAR,350,6,6
1368,BNE DEQALIM,"1,211",6,5
821,AHUZZAM,547,6,5
36,SEDE DAWID,594,6,5
55,NOGAH,583,6,6
2030,MENUHA,618,6,6
1374,KARME KATIF,508,6,7
1369,NETA,613,6,6
309,NEHORA,"1,181",7,7
7,SHAHAR,879,7,7
18,SEDE MOSHE,760,8,8
11,NIR HEN,548,8,8
1365,ELIAV,546,8,9
775,YAD NATAN,666,8,8
1233,SHEQEF,501,9,8
24,LAKHISH,769,10,9
730,ELIFELET,651,6,6
2063,DISHON,333,7,6
2009,YUVAL,638,7,7
843,MARGALIYYOT,412,7,6
732,MISHMAR HAYARDEN,810,7,7
322,BET HILLEL,775,7,7
324,SHE'AR YASHUV,668,7,7
1253,AMNUN,392,7,7
861,SEDE ELI'EZER,809,7,7
372,RAMOT NAFTALI,546,7,8
1252,KORAZIM,349,8,8
1285,KARKOM,528,8,8
1210,KAHAL,442,9,9
130,MISHMAR HAEMEQ,"1,271",2,3
369,GAL'ED (EVEN YIZHAQ),492,3,3
270,EN HASHOFET,861,5,4
682,ELYAQIM,910,5,5
703,GIV'AT OZ,464,5,5
250,HAZOREA,914,6,6
300,DALIYYA,815,6,5
2029,MIDRAKH OZ,794,7,7
335,RAMAT HASHOFET,"1,101",7,8
367,EN HAEMEQ,803,7,8
445,RAMOT MENASHE,"1,159",8,8
586,MEGIDDO,847,8,9
241,YOQNE'AM(MOSHAVA),"1,401",9,9
3786,AVENAT,209,6,4
3645,BET HAARAVA,350,7,6
3556,ALMOG,254,7,7
3639,WERED YERIHO,341,7,7
3610,MIZPE SHALEM,207,7,8
3601,QALYA,438,8,8
1246,ARAMSHA,"1,682",3,3
658,SHEIKH DANNUN,"2,887",3,3
376,EVRON,840,4,4
289,EN HAMIFRAZ,"1,249",5,5
1183,KELIL,748,6,4
785,AHIHUD,892,6,6
708,AMQA,772,6,6
297,KEFAR MASARYK,834,7,6
1256,ASHERAT,587,7,7
572,BET HAEMEQ,578,7,6
589,BEZET,295,7,8
313,AFEQ,713,7,7
576,KABRI,"1,054",7,7
280,HANITA,756,7,7
595,LOHAME HAGETA'OT,705,7,8
559,BUSTAN HAGALIL,"1,302",7,9
674,LIMAN,692,7,8
792,NETIV HASHAYYARA,477,7,8
409,YEHI'AM,721,7,7
432,SHAMERAT,554,7,8
574,GESHER HAZIW,"1,530",7,8
1068,ADAMIT,216,7,9
294,ELON,"1,031",8,8
579,KEFAR ROSH HANIQRA,"1,363",8,8
325,MAZZUVA,"1,165",8,9
575,YAS'UR,845,8,9
390,REGBA,"1,096",8,8
1143,NES AMMIM,420,8,9
463,GA'TON,692,8,8
454,SA'AR,858,8,8
712,BEN AMMI,766,8,9
282,SHAVE ZIYYON,"1,205",9,9
3779,KOKHAV YA'AQOV,"8,540",2,2
3648,MATTITYAHU,890,2,2
3767,NAHALI'EL,712,3,3
3752,MA'ALE LEVONA,906,3,3
3823,GANNE MODI'IN,"2,603",4,3
3576,MIZPE YERIHO,"2,560",4,4
3641,SHILO,"4,356",4,4
3658,ATERET,900,4,4
3763,GEVA BINYAMIN,"5,682",5,4
3765,ELI,"4,415",5,4
3564,KOKHAV HASHAHAR,"2,227",5,4
3824,AMMIHAY,209,5,..
3709,MEVO HORON,"2,669",5,4
3788,TALMON,"4,575",5,4
3573,NEVE TSUF,"1,485",5,6
3651,MA'ALE MIKHMAS,"1,529",6,5
3659,PESAGOT,"1,881",6,5
3617,OFRA,"3,043",6,4
3565,RIMMONIM,700,6,6
3747,DOLEV,"1,448",6,6
3575,BET HORON,"1,437",7,7
3787,NA'ALE,"2,148",7,7
3770,HASHMONA'IM,"2,771",7,7
3638,KEFAR ADUMMIM,"4,674",7,7
3715,ALMON,"1,420",7,7
3655,NILI,"1,786",8,8
3644,GIV'ON HAHADASHA,"1,067",8,8
3796,KEFAR HAORANIM,"2,657",9,9
1325,KEFAR ZOHARIM,160,2,..
2039,QIRYAT YE'ARIM(INSTITUTE),179,2,1
521,EIN NAQQUBA,"3,505",2,2
1056,EN KAREM-B.S.HAQLA'I,172,3,2
514,EIN RAFA,"1,179",3,3
127,RAMAT RAHEL,522,4,4
10,TIROSH,492,4,3
465,ZOVA,625,5,4
751,BET ME'IR,847,5,4
805,YISH'I,771,5,5
816,ZANOAH,524,5,5
794,AGUR,528,5,5
27,SEDOT MIKHA,378,5,5
1134,YAD HASHEMONA,299,6,5
809,NAHAM,570,6,5
1071,NEWE MIKHA'EL,749,6,6
776,MAHSEYA,477,6,5
1123,ADDERET,883,6,5
39,GEFEN,410,6,5
52,LUZIT,816,6,6
740,ESHTA'OL,"1,238",6,6
823,BAR GIYYORA,674,7,7
859,KESALON,428,7,6
799,ZEKHARYA,"1,124",7,6
796,ZELAFON,"1,044",7,6
778,TARUM,945,7,7
864,BEQOA,786,7,7
59,NEHUSHA,"1,484",7,7
567,ZOR'A,930,7,7
783,EVEN SAPPIR,703,7,7
752,TA'OZ,629,7,7
780,ORA,"1,279",7,7
693,NETIV HALAMED-HE,654,7,7
1079,ZAFRIRIM,402,7,7
822,MATTA,896,7,7
825,NES HARIM,"1,414",7,7
1070,AVI'EZER,875,7,7
787,GIV'AT YE'ARIM,"1,455",7,7
779,AMMINADAV,"1,086",8,8
777,NAHSHON,589,8,8
78,QIRYAT ANAVIM,467,8,8
771,MEVO BETAR,965,8,8
464,HAR'EL,264,8,9
742,MESILLAT ZIYYON,"1,215",8,9
919,GIV'AT YESHA'YAHU,824,8,8
672,BET NEQOFA,744,8,9
1113,ZUR HADASSA,"11,120",8,9
1114,SARIGIM (LI-ON),"1,058",8,8
364,KEFAR URIYYA,947,9,9
462,TAL SHAHAR,"1,369",9,9
1254,NATAF,449,9,8
741,SHO'EVA,655,9,9
460,RAMAT RAZI'EL,660,9,9
1043,GIZO,207,9,9
286,MA'ALE HAHAMISHA,793,9,9
710,BET ZAYIT,"1,708",9,9
1259,NEWE SHALOM,323,9,9
456,SHORESH,"1,201",9,9
208,MOZA ILLIT,"1,212",9,9
405,NEWE ILAN,997,9,9
868,ALLONE YIZHAQ,308,2,1
189,KEFAR PINES,"1,034",3,3
72,GAN SHEMU'EL,933,3,3
1316,AL-ARYAN,191,4,4
649,MEISER,"2,017",4,4
2024,UMM AL-QUTUF,"1,117",5,4
139,EN SHEMER,557,5,6
1370,MITSPE ILAN,626,7,6
648,MEZER,383,7,6
444,REGAVIM,480,7,7
617,BARQAY,553,7,7
344,MA'ANIT,812,7,7
1243,QAZIR,"2,884",7,7
2055,MA'OR,"1,398",7,8
2008,SEDE YIZHAQ,596,7,8
310,KEFAR GLIKSON,338,8,7
375,MAGGAL,"1,139",8,8
223,EN IRON,546,8,8
2003,TALME EL'AZAR,945,9,9
1128,ME AMMI,366,9,9
225,GAN HASHOMERON,861,9,9
213,MISHMAROT,"1,024",9,9
715,LAHAVOT HAVIVA,"1,014",9,9
281,PEQI'IN HADASHA,476,6,6
1045,SHETULA,293,6,6
795,YA'ARA,752,6,6
892,AVDON,668,7,6
662,HOSEN,"1,135",7,7
1184,MATTAT,191,7,5
1220,ABBIRIM,263,7,7
1147,NETU'A,306,7,7
1219,GORNOT HAGALIL,177,7,7
813,EN YA'AQOV,"1,137",7,7
1130,KEFAR ROZENWALD(ZARIT),243,7,7
1081,EVEN MENAHEM,299,7,7
603,ELQOSH,275,7,7
755,GOREN,426,7,7
1173,LAPPIDOT,128,7,7
614,SHOMERA,353,7,7
774,ZURI'EL,360,7,8
1205,MANOT,459,7,8
570,ME'ONA,963,7,7
1206,GITTA,291,8,8
1314,NEWE ZIV,950,8,9
1208,HILLA,588,8,9
1338,KADDITA,181,2,2
607,MERON,985,2,2
1294,OR HAGANUZ,574,2,2
546,EIN AL-ASAD,886,4,4
1191,BAR YOHAY,"1,072",5,4
688,ALMA,712,5,4
605,KEFAR SHAMMAY,559,5,5
368,BIRIYYA,839,5,5
1214,TEFAHOT,478,5,5
431,DALTON,862,5,5
846,SHEFER,427,5,6
609,KEFAR HOSHEN,775,6,5
1064,AMIRIM,866,6,6
1047,HAZON,306,6,7
1115,AVIVIM,471,6,6
540,REIHANIYYE,"1,195",6,6
1067,DOVEV,483,7,7
527,SHEZOR,323,7,7
1229,KALLANIT,238,7,7
1230,LIVNIM,427,7,7
1297,KEFAR HANANYA,750,7,7
664,KEREM BEN ZIMRA,526,7,7
599,PAROD,595,8,9
1212,AMUQQA,132,8,9
709,TIFRAH,"2,178",1,1
1377,SHAVE DAROM,171,4,..
2021,ESHEL HANASI,356,5,4
2050,TALME BILU,529,6,5
750,PEDUYIM,520,6,6
749,PATTISH,947,6,6
2059,PA'AME TASHAZ,562,7,6
762,BITHA,777,7,6
2049,SEDE ZEVI,665,7,7
789,RANNEN,703,7,7
71,ESHBOL,652,7,7
2048,NIR AQIVA,686,7,6
748,MASLUL,859,7,7
736,GILAT,"1,451",7,7
1080,MABBU'IM,"1,235",7,7
414,QELAHIM,643,7,7
2047,NIR MOSHE,592,8,8
1335,ARAB AL NAIM,815,1,1
1317,DEMEIDE,515,1,1
1332,HUSSNIYYA,773,2,2
1245,SALLAMA,"3,340",2,2
1334,RAS AL-EIN,393,3,3
1331,KAMANE,"1,534",3,3
1276,ESHBAL,126,6,..
1203,HARARIT,542,7,7
1171,LOTEM,782,7,7
1178,MORESHET,"1,489",7,7
1112,YODEFAT,908,7,7
1188,ESHHAR,965,7,8
1201,KAMMON,"1,402",7,8
1172,TUVAL,319,7,7
1209,HARASHIM,333,7,7
1275,AVTALYON,468,8,8
1185,PELEKH,142,8,7
1272,HALUZ,536,8,8
1163,MORAN,452,8,8
1180,ZVIYYA,331,8,8
1235,SHORASHIM,517,8,9
1202,MIKHMANNIM,557,8,8
1228,RAQQEFET,"1,057",9,9
1207,LAVON,717,9,9
1160,SHEKHANYA,814,9,9
1174,MANOF,862,9,9
1222,MIZPE AVIV,"1,070",9,9
1221,ZURIT,901,9,9
1181,TAL-EL,"1,186",9,9
1226,YUVALLIM,"1,093",9,10
1204,GILON,"1,092",9,10
917,ATSMON SEGEV,"1,121",9,10
1179,QORANIT,927,9,10
1138,YA'AD,690,9,9
1348,BIR HADAGE,"5,874",1,1
1375,ABU TULUL,"2,023",1,1
1347,QASR A-SIR,"2,460",1,1
1342,ABU QUREINAT,"1,904",1,1
440,YESODOT,924,2,2
2033,BET HILQIYYA,"1,247",2,2
577,YAD BINYAMIN,"4,235",5,5
363,HAFEZ HAYYIM,558,6,6
1372,NEZER HAZZANI,498,6,6
588,BENE RE'EM,"1,417",7,7
1371,GANNE TAL,867,7,7
264,SHA'AR HAGOLAN,526,5,4
57,KINNERET(QEVUZA),689,5,4
273,EN GEV,665,5,5
702,HAON,181,5,5
374,HUQOQ,612,6,6
1105,PORIYYA-NEWE OVED,"1,234",6,6
176,AFIQIM,"1,500",6,6
62,DEGANYA ALEF,528,6,4
262,GINNOSAR,580,6,6
143,BET ZERA,568,6,6
263,MASSADA,360,6,7
79,DEGANYA BET,674,7,7
1104,PORIYYA-KEFAR AVODA,355,7,7
188,ASHDOT YA'AQOV(ME'UHAD),545,7,7
1313,PORIYYA ILLIT,"1,162",7,7
719,TEL QAZIR,417,7,7
199,ASHDOT YA'AQOV(IHUD),"1,003",7,7
330,ALUMMOT,405,7,7
678,MA'AGAN,380,7,7
1125,ALMAGOR,418,8,8
63,KINNERET(MOSHAVA),686,8,8
304,SEDE ELIYYAHU,687,3,3
268,TIRAT ZEVI,886,4,4
2016,REWAYA,444,5,4
1282,MERAV,723,5,4
383,EN HANAZIV,604,5,4
854,REHOV,401,5,5
1127,MA'ALE GILBOA,840,5,6
