CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms,CityLMSName_Translated
בת ים,2.0,0,2,57,96,19,1,0,0,0,0,0,0,Bat Yam
קרית ביאליק,5.0,0,0,0,2,2,0,0,0,0,0,0,0,Kiryat Bialik
קרית ארבע,1.0,0,2,9,30,15,0,0,0,0,0,0,0,Kiryat Arba
אריאל,4.0,0,0,0,4,0,0,0,0,0,0,0,0,Ariel
חיפה,0.0,0,10,30,20,12,2,0,1,0,0,0,0,Haifa
עין שריד,1.0,0,1,1,1,1,0,0,0,0,0,0,0,Ein Sharid
חברון,1.0,0,0,0,0,0,0,0,1,0,0,0,0,Hebron
ירושלים,7.0,0,0,0,16,9,0,0,0,0,0,0,0,Jerusalem
ירושלים,13.0,0,0,0,1,0,0,0,0,0,0,0,0,Jerusalem
פתח תקוה,5.0,0,0,0,6,13,0,0,0,0,0,0,0,Petah Tikva
קרית טבעון,4.0,0,0,0,0,2,0,0,0,0,0,0,0,Kiryat Tiv'on
כלנית,0.0,0,0,0,9,0,0,0,0,0,0,0,0,anemone
קרית ביאליק,8.0,0,0,0,1,3,0,0,0,0,0,0,0,Kiryat Bialik
נשר,12.0,0,0,0,0,1,0,0,0,0,0,0,0,Nesher
מעלות-תרשיחא,4.0,0,0,2,36,5,0,0,0,0,0,0,0,Tarshiha
רמלה,2.0,0,0,43,70,30,3,0,0,0,0,0,0,Ramla
ירוחם,1.0,0,5,63,104,19,8,7,1,0,0,0,0,Yeruham
כפר יונה,2.0,0,0,3,4,4,0,0,0,0,0,0,0,Kfar Yona
בית שאן,3.0,0,0,1,113,105,1,1,0,1,0,0,0,Beit Shean
כחל,,0,0,0,1,0,0,0,0,0,0,0,0,antimony
בת ים,8.0,0,0,0,5,3,0,0,0,0,0,0,0,Bat Yam
חיפה,1.0,0,58,118,140,36,3,0,0,0,0,0,0,Haifa
מודיעין עילית,5.0,0,0,0,0,1,0,0,0,0,0,0,0,Modi'in Illit
קרית נטפים,1.0,0,0,0,10,0,0,0,0,0,0,0,0,Kiryat Natafim
עין שריד,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Ein Sharid
זכרון יעקב,2.0,0,1,2,1,4,0,0,0,0,0,0,0,Zichron Yaakov
אספר,0.0,0,0,0,5,0,0,0,0,0,0,0,0,I will tell
רמת ישי,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Ramat Yishai
קרית שמונה,6.0,0,0,0,1,8,0,0,0,0,0,0,0,Kiryat Shmona
ראשון לציון,0.0,0,1,0,1,0,0,0,0,0,0,0,0,Rishon Lezion
פתח תקוה,4.0,0,0,33,56,7,3,0,0,0,0,0,0,Petah Tikva
נשר,5.0,0,7,1,6,3,0,0,0,0,0,0,0,Nesher
ראשון לציון,6.0,0,0,0,10,4,0,0,0,0,0,0,0,Rishon Lezion
כפר סבא,5.0,0,0,0,6,0,0,0,0,0,0,0,0,Kfar Saba
קרית גת,15.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Gat
נעמי,0.0,0,0,0,3,0,0,0,0,0,0,0,0,Naomi
חולון,0.0,0,0,2,6,0,0,0,0,0,0,0,0,Holon
רעננה,3.0,0,0,2,8,3,2,0,0,0,0,0,0,fresh
כרמיאל,9.0,0,0,0,0,3,0,0,0,0,0,0,0,Carmiel
חיפה,7.0,0,5,5,17,10,1,0,0,0,0,0,0,Haifa
אשקלון,8.0,0,0,0,8,1,0,0,0,0,0,0,0,Ashkelon
קרית שמונה,9.0,0,0,0,8,4,0,0,0,0,0,0,0,Kiryat Shmona
פתח תקוה,10.0,0,0,0,3,0,0,0,0,0,0,0,0,Petah Tikva
כפר סבא,2.0,0,0,15,25,6,1,0,0,0,0,0,0,Kfar Saba
ראשון לציון,3.0,0,2,23,74,43,2,0,0,0,0,0,0,Rishon Lezion
פתח תקוה,7.0,0,0,0,1,0,0,0,0,0,0,0,0,Petah Tikva
יבול,0.0,0,0,0,3,0,0,0,0,0,0,0,0,crop
חולון,3.0,0,9,37,69,16,4,0,0,0,0,0,0,Holon
חיפה,4.0,0,16,70,76,18,0,0,0,0,0,0,0,Haifa
חריש,1.0,0,0,0,3,1,0,0,0,0,0,0,0,earing
קרית גת,12.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Gat
אשקלון,5.0,0,0,4,9,5,1,0,0,0,0,0,0,Ashkelon
"בני עי""ש",2.0,0,0,0,1,0,0,0,0,0,0,0,0,sons of Aish
נוף הגליל,12.0,0,0,0,0,4,0,0,0,0,0,0,0,The view of the Galilee
יקנעם עלית,8.0,0,0,0,1,0,0,0,0,0,0,0,0,Yakneam Alit
תל מונד,1.0,0,0,6,4,1,6,0,0,0,0,0,0,Tel Mond
נתניה,7.0,0,0,1,11,9,1,0,0,0,0,0,0,Netanya
מעלות-תרשיחא,0.0,0,0,1,2,3,1,0,0,0,0,0,0,Tarshiha
מעלה אדומים,2.0,0,0,0,3,1,0,0,0,0,0,0,0,Ma'ale Adumim
עפולה,3.0,0,2,52,182,41,0,0,0,0,0,0,0,Afula
נשר,8.0,0,0,0,2,4,0,0,0,0,0,0,0,Nesher
מעלות-תרשיחא,6.0,0,0,0,3,2,0,0,0,0,0,0,0,Tarshiha
יקנעם עלית,2.0,0,6,11,11,4,0,0,0,0,0,0,0,Yakneam Alit
יתד,0.0,0,0,0,2,0,0,0,0,0,0,0,0,stake
נוף הגליל,3.0,0,7,126,226,21,0,4,0,0,0,0,0,The view of the Galilee
בית שאן,5.0,0,0,0,13,2,0,0,0,0,0,0,0,Beit Shean
נתניה,1.0,0,73,74,138,58,11,2,0,0,0,0,0,Netanya
עפולה,6.0,0,0,32,33,6,1,0,0,0,0,0,0,Afula
אור יהודה,2.0,0,0,13,18,2,0,0,0,0,0,0,0,Or Yehuda
קרית אונו,5.0,0,0,0,1,3,0,0,0,0,0,0,0,Kiryat Ono
באר יעקב,3.0,0,0,3,18,0,0,0,0,0,0,0,0,Be'er Ya'akov
"בני עי""ש",5.0,0,0,0,1,0,0,0,0,0,0,0,0,sons of Aish
מעלות-תרשיחא,3.0,0,0,31,63,9,0,0,0,0,0,0,0,Tarshiha
נתניה,4.0,0,0,19,79,30,2,0,0,0,0,0,0,Netanya
הרצליה,4.0,0,6,10,9,2,0,0,0,0,0,0,0,Herzliya
קרית עקרון,4.0,0,0,1,1,0,0,0,0,0,0,0,0,Kiryat Ekron
מטולה,2.0,0,0,0,0,2,0,0,0,0,0,0,0,Matula
עמנואל,1.0,0,0,0,0,0,1,0,0,0,0,0,0,Emmanuel
יקנעם עלית,5.0,0,0,0,0,5,0,0,0,0,0,0,0,Yakneam Alit
ראש פנה,1.0,0,0,3,11,0,2,0,0,0,0,0,0,Head turned
עפולה,9.0,0,0,2,3,0,0,0,0,0,0,0,0,Afula
בית שאן,2.0,0,2,19,123,86,1,0,0,1,0,0,0,Beit Shean
נוף הגליל,6.0,0,0,14,30,2,0,0,0,0,0,0,0,The view of the Galilee
אשדוד,10.0,0,0,0,0,1,0,0,0,0,0,0,0,Ashdod
רמת השרון,19.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
תל אביב -יפו,2.0,0,25,153,201,75,11,1,0,0,0,0,0,Tel Aviv Jaffa
קרית מלאכי,2.0,0,0,34,33,16,1,0,0,0,0,0,0,Kiryat Malachi
קרית מוצקין,9.0,0,0,0,0,0,1,0,0,0,0,0,0,Kiryat Motzkin
מגדל העמק,4.0,0,0,6,80,11,0,0,0,0,0,0,0,Migdal Haemek
אילת,1.0,0,5,19,60,12,1,0,0,0,0,0,0,Eilat
לוד,8.0,0,0,0,1,2,0,0,0,0,0,0,0,Lod
קרית מוצקין,6.0,0,0,0,0,0,1,0,0,0,0,0,0,Kiryat Motzkin
תל אביב -יפו,8.0,0,0,1,24,4,0,0,0,0,0,0,0,Tel Aviv Jaffa
אשדוד,4.0,0,5,133,121,41,5,0,0,0,0,0,0,Ashdod
קרית מוצקין,0.0,0,2,1,0,0,0,0,0,0,0,0,0,Kiryat Motzkin
אלעד,2.0,0,0,0,5,5,0,0,0,0,0,0,0,Elad
קדימה-צורן,0.0,0,0,1,1,1,0,0,0,0,0,0,0,"Come on, Zoran"
גדרה,0.0,0,0,0,0,1,0,0,0,0,0,0,0,a fence
יצהר,1.0,0,0,0,2,0,0,0,0,0,0,0,0,Yitzhar
אשדוד,7.0,0,0,0,10,14,3,0,0,0,0,0,0,Ashdod
רמת השרון,16.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
קרית מלאכי,5.0,0,0,0,0,3,0,0,0,0,0,0,0,Kiryat Malachi
קרית מוצקין,3.0,0,0,3,18,2,0,0,0,0,0,0,0,Kiryat Motzkin
קדימה-צורן,3.0,0,0,2,4,1,0,0,0,0,0,0,0,"Come on, Zoran"
חצבה,0.0,0,0,0,3,0,0,0,0,0,0,0,0,measles
תל אביב -יפו,5.0,0,0,6,49,13,0,0,0,0,0,0,0,Tel Aviv Jaffa
מגדל העמק,1.0,0,6,78,128,34,5,0,0,0,0,0,0,Migdal Haemek
מגדל העמק,7.0,0,0,0,4,5,0,0,0,0,0,0,0,Migdal Haemek
גדרה,3.0,0,0,0,1,1,0,0,0,0,0,0,0,a fence
ביתר עלית,3.0,0,0,0,2,0,0,0,0,0,0,0,0,Beitar Illit
רחובות,1.0,0,5,49,70,31,13,1,0,0,0,0,0,streets
נס ציונה,3.0,0,1,4,13,2,1,0,0,0,0,0,0,Ness Ziona
קרית ים,3.0,0,7,32,56,8,0,0,0,0,0,0,0,Kiryat Yam
גני תקוה,2.0,0,0,0,10,1,0,0,0,0,0,0,0,Ganei Tikva
ערד,5.0,0,0,0,3,5,0,0,0,0,0,0,0,Arad
פוריה-נוה עוב,1.0,0,1,1,1,0,0,0,0,0,0,0,0,Furia-Neva is working
תלמי יוסף,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Ptolemy Yosef
כפר יונה,8.0,0,0,0,1,0,0,0,0,0,0,0,0,Kfar Yona
שלומי,4.0,0,0,5,4,5,0,0,0,0,0,0,0,my peace
אבני איתן,0.0,0,0,0,8,0,0,0,0,0,0,0,0,Solid stones
ראש העין,2.0,0,0,2,15,7,4,0,0,0,0,0,0,Rosh HaAyin
ערד,2.0,0,6,21,21,8,1,0,0,0,0,0,0,Arad
נס ציונה,6.0,0,0,0,0,1,0,0,0,0,0,0,0,Ness Ziona
צופר,0.0,0,0,0,2,0,0,0,0,0,0,0,0,horn
רחובות,4.0,0,1,14,37,7,0,0,0,0,0,0,0,streets
רמלה,13.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramla
גני תקוה,5.0,0,0,0,1,0,0,0,0,0,0,0,0,Ganei Tikva
ערד,8.0,0,0,0,1,0,0,0,0,0,0,0,0,Arad
קרני שומרון,1.0,0,0,0,35,8,6,0,0,0,0,0,0,Horns of Samaria
גבעת שמואל,3.0,0,0,5,2,0,0,0,0,0,0,0,0,Givat Shmuel
רחובות,7.0,0,0,1,2,3,0,0,0,0,0,0,0,streets
שלומי,1.0,0,1,3,40,25,2,0,1,0,0,0,0,my peace
קצרין,1.0,0,4,2,24,5,0,0,0,0,0,0,0,Katzrin
קרית ים,9.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Yam
נצרת,3.0,0,0,0,7,4,0,0,0,0,0,0,0,Nazareth
קרית שמונה,2.0,0,4,19,150,115,1,1,0,0,0,0,0,Kiryat Shmona
ספיר,0.0,0,0,0,3,0,0,0,0,0,0,0,0,sapphire
רחובות,10.0,0,0,0,0,1,0,0,0,0,0,0,0,streets
צחר,1.0,0,0,0,17,3,0,0,0,0,0,0,0,dawn
חולון,10.0,0,0,0,1,0,0,0,0,0,0,0,0,Holon
קרית אתא,0.0,0,0,0,1,0,1,0,0,0,0,0,0,Kiryat Ata
חדרה,0.0,0,0,0,0,2,0,0,0,0,0,0,0,Hadera
קרית גת,5.0,0,0,7,11,2,0,0,0,0,0,0,0,Kiryat Gat
כרמיאל,2.0,0,0,24,82,7,0,0,0,0,0,0,0,Carmiel
כמהין,1.0,0,0,0,4,0,0,0,0,0,0,0,0,truffle
רעננה,0.0,0,0,2,2,2,0,0,0,0,0,0,0,fresh
ראשון לציון,,0,0,0,4,0,0,0,0,0,0,0,0,Rishon Lezion
קרית ים,5.0,0,0,2,1,1,1,0,0,0,0,0,0,Kiryat Yam
ערד,7.0,0,0,0,7,3,0,0,0,0,0,0,0,Arad
עין תמר,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Ein Tamar
חולון,6.0,0,1,5,7,11,0,0,0,0,0,0,0,Holon
קרית אתא,4.0,0,0,42,44,4,3,0,0,0,0,0,0,Kiryat Ata
קרית אתא,10.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Ata
קרית גת,3.0,0,0,146,160,27,2,0,0,0,0,0,0,Kiryat Gat
קרית גת,9.0,0,0,0,1,0,0,0,0,0,0,0,0,Kiryat Gat
נצני סיני,1.0,0,0,0,2,0,0,0,0,0,0,0,0,Chinese radish
קרית ים,8.0,0,3,1,3,0,0,0,0,0,0,0,0,Kiryat Yam
אשקלון,2.0,0,10,156,167,50,1,1,0,0,0,0,0,Ashkelon
מגדלים,1.0,0,0,0,4,0,0,0,0,0,0,0,0,towers
קרית שמונה,3.0,0,0,28,122,100,1,0,0,1,0,0,0,Kiryat Shmona
רמלה,15.0,0,0,0,0,1,1,0,0,0,0,0,0,Ramla
יבנה,2.0,0,0,13,18,11,2,0,0,0,0,0,0,Yavne
חולון,9.0,0,2,6,5,1,0,0,0,0,0,0,0,Holon
אור יהודה,11.0,0,0,0,1,0,0,0,0,0,0,0,0,Or Yehuda
נשר,2.0,0,12,21,34,2,0,0,0,0,0,0,0,Nesher
באר שבע,6.0,0,2,1,26,16,0,0,0,0,0,0,0,Beer Sheva
קרית אתא,7.0,0,0,2,10,0,0,0,0,0,0,0,0,Kiryat Ata
קרית ים,2.0,0,19,45,67,3,0,0,0,0,0,0,0,Kiryat Yam
קרית עקרון,1.0,0,2,4,16,13,1,0,0,0,0,0,0,Kiryat Ekron
קרית אתא,1.0,0,55,50,58,9,1,1,0,1,0,0,0,Kiryat Ata
קרית גת,6.0,0,0,3,2,0,0,0,0,0,0,0,0,Kiryat Gat
קרית מלאכי,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Malachi
ראשון לציון,9.0,0,0,0,2,0,0,0,0,0,0,0,0,Rishon Lezion
קרית שמונה,0.0,0,0,0,0,5,0,1,0,0,0,0,0,Kiryat Shmona
גבעתים,1.0,0,1,10,5,0,0,0,0,0,0,0,0,Givatayim
קרית מלאכי,6.0,0,0,0,0,2,0,0,0,0,0,0,0,Kiryat Malachi
קרית מוצקין,4.0,0,1,2,6,2,0,0,0,0,0,0,0,Kiryat Motzkin
אור יהודה,8.0,0,0,0,1,0,0,0,0,0,0,0,0,Or Yehuda
תל אביב -יפו,4.0,0,2,56,110,34,4,0,0,0,0,0,0,Tel Aviv Jaffa
באר שבע,3.0,0,10,314,405,80,1,5,0,0,0,0,0,Beer Sheva
ביריה,1.0,0,0,0,0,1,0,0,0,0,0,0,0,Byria
דימונה,3.0,0,21,270,274,69,4,1,0,0,0,0,0,Dimona
קציר,1.0,0,0,0,3,0,0,0,0,0,0,0,0,harvesting
רמת גן,10.0,0,0,0,1,0,0,0,0,0,0,0,0,Ramat Gan
באר שבע,0.0,0,1,10,55,6,1,1,0,0,0,0,1,Beer Sheva
גבעתים,4.0,0,1,2,1,0,0,0,0,0,0,0,0,Givatayim
אבן יהודה,3.0,0,0,1,1,0,0,0,0,0,0,0,0,Even Yehuda
קרית מלאכי,3.0,0,0,36,36,11,0,0,0,0,0,0,0,Kiryat Malachi
לוד,7.0,0,0,0,2,4,0,0,0,0,0,0,0,Lod
נהריה,8.0,0,0,0,7,1,0,0,0,0,0,0,0,Nahariya
דימונה,0.0,0,0,2,1,7,0,0,0,0,0,0,0,Dimona
רמת גן,7.0,0,0,0,1,0,0,0,0,0,0,0,0,Ramat Gan
נס ציונה,7.0,0,0,0,0,1,0,0,0,0,0,0,0,Ness Ziona
טבריה,3.0,0,0,39,126,33,1,7,0,1,0,0,0,Tiberias
חצור הגלילית,4.0,0,0,6,30,0,0,0,0,0,0,0,0,Hazor HaGalilit
קרית מוצקין,13.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Motzkin
קרית מוצקין,7.0,0,0,0,2,0,0,0,0,0,0,0,0,Kiryat Motzkin
בני ברק,3.0,0,0,26,34,15,0,0,0,0,0,0,0,Bnei Brak
אשדוד,0.0,0,0,0,20,7,1,0,0,0,0,0,0,Ashdod
גבעת שמואל,2.0,0,0,1,1,3,0,0,0,0,0,0,0,Givat Shmuel
אופקים,1.0,0,13,92,173,27,5,6,3,0,0,0,0,horizons
שלומי,0.0,0,0,0,1,0,0,0,0,0,0,0,0,my peace
מזכרת בתיה,3.0,0,0,1,6,0,0,0,0,0,0,0,0,A souvenir of her house
ברקת,0.0,0,0,8,0,1,0,0,0,0,0,0,0,emerald
מגדל העמק,0.0,0,17,89,20,3,0,0,0,0,0,0,0,Migdal Haemek
ראש העין,0.0,0,1,1,3,1,0,0,0,0,0,0,0,Rosh HaAyin
נס ציונה,4.0,0,1,0,9,2,0,0,0,0,0,0,0,Ness Ziona
חספין,1.0,0,0,0,47,0,0,0,0,0,0,0,0,Hasfin
נוף הגליל,14.0,0,0,0,0,3,0,0,0,0,0,0,0,The view of the Galilee
יקיר,1.0,0,0,0,3,0,0,0,0,0,0,0,0,darling
בית דגן,1.0,0,2,2,5,1,0,0,0,0,0,0,0,Beit Dagan
חצור הגלילית,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Hazor HaGalilit
קרית טבעון,5.0,0,0,0,2,0,0,0,0,0,0,0,0,Kiryat Tiv'on
נהריה,5.0,0,0,0,2,1,0,0,0,0,0,0,0,Nahariya
מנחמיה,1.0,0,0,0,6,0,0,0,0,0,0,0,0,Menachemia
הרצליה,6.0,0,0,0,1,0,0,0,0,0,0,0,0,Herzliya
בית דגן,4.0,0,0,3,3,1,0,0,0,0,0,0,0,Beit Dagan
נהריה,2.0,0,5,85,43,10,0,0,0,0,0,0,0,Nahariya
חצור הגלילית,3.0,0,0,6,40,7,0,0,0,0,0,0,0,Hazor HaGalilit
אריאל,2.0,0,0,0,9,5,0,0,0,0,0,0,0,Ariel
פרי גן,0.0,0,0,0,2,0,0,0,0,0,0,0,0,garden fruit
כפר יונה,3.0,0,0,2,3,2,0,0,0,0,0,0,0,Kfar Yona
חריש,9.0,0,0,0,0,1,0,0,0,0,0,0,0,earing
נצרת,1.0,0,0,0,5,4,0,0,0,0,0,0,0,Nazareth
מעלה אפרים,1.0,0,1,2,2,16,0,0,0,0,0,0,0,Maale Ephraim
יבנה,7.0,0,0,0,0,0,1,0,0,0,0,0,0,Yavne
