"","city_lms_name","lamas_code","year","x3_rooms_apartments","average_price_nis_3_rooms_apartments","x4_rooms_apartments","average_price_nis_4_rooms_apartments"
"112","Modi'in Illit",3797,2022,0,0,1,1820000
"113","Modi'in Illit",3797,2023,1,1790000,4,2140000
"114","Nahariya",9100,2017,4,820000,7,1073142.857
"115","Nahariya",9100,2018,15,755666.6666,7,1128428.571
"116","Nahariya",9100,2019,2,8e+05,0,0
"117","Nahariya",9100,2021,0,0,1,1015000
"118","Nahariya",9100,2022,0,0,3,1417666.667
"119","Nahariya",9100,2023,2,1210000,11,1421363.636
"120","Ness Ziona",7200,2017,0,0,1,1700000
"121","Ness Ziona",7200,2020,3,1755000,0,0
"122","Nazareth",7300,2018,0,0,1,865000
"123","Nazareth",7300,2019,1,5e+05,1,660000
"124","Nazareth",7300,2020,2,535000,0,0
"125","Nazareth",7300,2024,1,780000,0,0
"126","Netanya",7400,2017,24,1317916.667,17,1539176.471
"127","Netanya",7400,2018,51,1367254.902,20,1560250
"128","Netanya",7400,2019,11,1276363.636,1,1950000
"129","Netanya",7400,2020,4,1330000,0,0
"130","Netanya",7400,2021,1,1320000,1,1530000
"131","Netanya",7400,2022,2,1877500,12,2183250
"132","Netanya",7400,2023,10,1814000,35,2352885.714
"133","Netanya",7400,2024,1,1515000,0,0
"134","Acre",7600,2017,2,745000,0,0
"135","Acre",7600,2018,0,0,2,954000
"136","Acre",7600,2019,0,0,6,962000
"137","Acre",7600,2020,6,591000,10,833000
"138","Acre",7600,2021,1,620000,2,1013500
"139","Acre",7600,2022,5,963000,5,1204000
"140","Acre",7600,2023,0,0,1,1300000
"141","Afula",7700,2017,3,671666.6666,0,0
"142","Afula",7700,2018,1,710000,3,771666.6666
"143","Afula",7700,2019,0,0,1,920000
"144","Afula",7700,2022,0,0,1,9e+05
"145","Afula",7700,2023,0,0,1,1540000
"146","Petah Tikva",7900,2017,19,1375578.947,11,1632090.909
"147","Petah Tikva",7900,2018,38,1383078.947,23,1644652.174
"148","Petah Tikva",7900,2019,3,1393333.333,5,1701000
"149","Petah Tikva",7900,2020,2,1490000,0,0
"150","Petah Tikva",7900,2021,2,1435000,6,1715000
"151","Petah Tikva",7900,2022,2,1910000,18,2257716.667
"152","Petah Tikva",7900,2023,19,1986315.789,14,2416285.714
"153","Petah Tikva",7900,2024,4,2027500,2,2320000
"154","Kiryat Ata",6800,2017,3,875000,1,8e+05
"155","Kiryat Ata",6800,2018,1,770000,5,881000
"156","Kiryat Ata",6800,2019,0,0,1,1030000
"157","Kiryat Ata",6800,2022,0,0,1,2498708
"158","Kiryat Ata",6800,2023,0,0,1,1800000
"159","Kiryat Gat",2630,2018,28,815000,11,1107727.273
"160","Kiryat Gat",2630,2019,2,827500,1,877000
"161","Kiryat Gat",2630,2023,2,1522000,5,1722000
"162","Kiryat Gat",2630,2024,1,1405000,0,0
"163","Rosh HaAyin",2640,2017,1,1340000,3,1431666.667
"164","Rosh HaAyin",2640,2018,3,1380000,3,1473333.333
"165","Rosh HaAyin",2640,2019,1,1300000,4,1662500
"166","Rosh HaAyin",2640,2022,0,0,1,2970000
"167","Rosh HaAyin",2640,2023,0,0,7,2507857.143
"168","Rishon Lezion",8300,2017,6,1455000,1,1580000
"169","Rishon Lezion",8300,2018,28,1422428.571,9,1638333.333
"170","Rishon Lezion",8300,2019,6,1505500,3,1681666.667
"171","Rishon Lezion",8300,2020,0,0,1,1950000
"172","Rishon Lezion",8300,2021,0,0,1,1630000
"173","Rishon Lezion",8300,2022,1,1845000,5,2100000
"174","Rishon Lezion",8300,2023,13,2189230.769,9,2397777.778
"175","Rishon Lezion",8300,2024,1,2010000,1,2543000
"176","Rehovot",8400,2017,6,1226666.667,2,1482000
"177","Rehovot",8400,2018,13,1262384.615,11,1651818.182
"178","Rehovot",8400,2019,1,1060000,0,0
"179","Rehovot",8400,2020,1,1430000,0,0
"180","Rehovot",8400,2022,4,2034750,7,2191428.571
"181","Rehovot",8400,2023,8,1760000,10,2452300
"182","Rehovot",8400,2024,1,1740000,1,2130000
"183","Ramla",8500,2017,1,940000,4,1312500
"184","Ramla",8500,2018,7,971000,13,1293076.923
"185","Ramla",8500,2019,15,1018933.333,9,1363888.889
"186","Ramla",8500,2020,8,1016875,0,0
"187","Ramla",8500,2022,1,1380000,4,1622500
"188","Ramla",8500,2023,3,1636666.667,4,2087500
"189","Ramla",8500,2024,2,1170000,1,2070000
"190","Ramat Gan",8600,2017,3,1673333.333,0,0
"191","Ramat Gan",8600,2018,3,1677000,1,1680000
"192","Ramat Gan",8600,2019,5,1668000,1,1950000
"193","Ramat Gan",8600,2020,5,1766000,2,1890000
"194","Ramat Gan",8600,2022,1,2290000,0,0
"195","Ramat Gan",8600,2023,5,2298000,0,0
"196","Ramat Gan",8600,2024,1,2120000,0,0
"197","Raanana",8700,2017,0,0,1,1955000
"198","Raanana",8700,2018,1,1890000,0,0
"199","Raanana",8700,2020,1,1700000,0,0
"200","Raanana",8700,2023,0,0,2,2570000
"201","Tel Aviv Jaffa",5000,2017,23,1556956.522,6,1660833.333
"202","Tel Aviv Jaffa",5000,2018,16,1577500,13,1712692.308
"203","Tel Aviv Jaffa",5000,2019,11,1514636.364,3,1765000
"204","Tel Aviv Jaffa",5000,2020,5,1507800,1,1870000
"205","Tel Aviv Jaffa",5000,2021,1,1570000,0,0
"206","Tel Aviv Jaffa",5000,2022,1,2645000,0,0
"207","Tel Aviv Jaffa",5000,2023,16,2172100.5,5,2378384.4
"208","Tel Aviv Jaffa",5000,2024,4,2070000,1,2500000
