CityLmsName,CityLmsCode,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName,CityLmsName_Translated,CompanyName_Translated,StatusName_Translated,PropertyTypeName_Translated
מעלות-תרשיחא,1063,3.0,1,79.0,23/05/2024,עמידר,פנויה,10/02/2024,דירה ,Tarshiha,Amidar,free,Apartment
מצפה רמון,99,3.0,2,72.0,23/05/2024,עמידר,פנויה,07/09/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
עכו,7600,1.0,2,29.0,23/05/2024,עמידר,פנויה,02/01/2023,דירה ,Acre,Amidar,free,Apartment
אור עקיבא,1020,1.5,2,33.0,23/05/2024,עמידר,פנויה,21/05/2023,דירה ,Or Akiva,Amidar,free,Apartment
מצפה רמון,99,3.0,3,79.0,23/05/2024,עמידר,פנויה,15/11/2015,דירה ,Mitzpe Ramon,Amidar,free,Apartment
צפת,8000,2.0,6,47.0,23/05/2024,עמידר,פנויה,10/09/2023,דירה ,Zefat,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,60.6,23/05/2024,עמידר,פנויה,19/08/2021,דירה ,Kiryat Shmona,Amidar,free,Apartment
קרית שמונה,2800,3.0,4,73.0,23/05/2024,עמידר,פנויה,03/12/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
ערד,2560,2.0,4,38.0,23/05/2024,עמידר,פנויה,03/01/2024,דירה ,Arad,Amidar,free,Apartment
מצפה רמון,99,3.0,3,55.0,23/05/2024,עמידר,פנויה,09/01/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
נוף הגליל,1061,2.0,4,45.0,23/05/2024,עמידר,פנויה,08/08/2023,דירה ,The view of the Galilee,Amidar,free,Apartment
קרית שמונה,2800,2.0,2,61.7,23/05/2024,עמידר,פנויה,08/10/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
קרית ארבע,3611,3.0,3,86.0,23/05/2024,עמידר,פנויה,19/03/2023,דירה ,Kiryat Arba,Amidar,free,Apartment
בית שאן,9200,3.0,4,70.0,23/05/2024,עמידר,פנויה,02/02/2023,דירה ,Beit Shean,Amidar,free,Apartment
קרית שמונה,2800,3.0,6,73.0,23/05/2024,עמידר,פנויה,15/02/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
קרית שמונה,2800,2.0,5,58.5,23/05/2024,עמידר,פנויה,27/08/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
באר שבע,9000,2.0,2,45.0,23/05/2024,עמידר,פנויה,25/02/2022,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,2.0,3,47.0,23/05/2024,עמידר,פנויה,09/03/2021,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.0,3,44.0,23/05/2024,עמידר,פנויה,07/07/2020,דירה ,Dimona,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,57.0,23/05/2024,עמידר,פנויה,14/11/2022,דירה ,Kiryat Shmona,Amidar,free,Apartment
מעלות-תרשיחא,1063,2.0,3,46.0,23/05/2024,עמידר,פנויה,23/07/2023,דירה ,Tarshiha,Amidar,free,Apartment
ירוחם,831,2.0,1,48.0,23/05/2024,עמידר,פנויה,23/03/2023,דירה ,Yeruham,Amidar,free,Apartment
מצפה רמון,99,3.0,2,79.0,23/05/2024,עמידר,פנויה,27/02/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
דימונה,2200,2.0,2,50.0,23/05/2024,עמידר,פנויה,01/05/2022,דירה ,Dimona,Amidar,free,Apartment
קרית שמונה,2800,3.0,4,66.0,23/05/2024,עמידר,פנויה,29/03/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
באר שבע,9000,1.0,2,30.0,23/05/2024,עמידר,פנויה,12/12/2023,דירה ,Beer Sheva,Amidar,free,Apartment
אופקים,31,2.0,2,49.0,23/05/2024,עמיגור,פנויה,01/05/2022,דירה ,horizons,Amigur,free,Apartment
שדרות,1031,4.0,4,90.0,23/05/2024,עמיגור,פנויה,07/02/2024,דירה ,Sderot,Amigur,free,Apartment
אשקלון,7100,1.0,2,31.5,23/05/2024,עמיגור,פנויה,11/01/2023,דירה ,Ashkelon,Amigur,free,Apartment
אופקים,31,2.0,2,54.0,23/05/2024,עמיגור,פנויה,11/04/2022,דירה ,horizons,Amigur,free,Apartment
מגדל העמק,874,1.0,1,38.0,23/05/2024,עמיגור,פנויה,01/02/2024,דירה ,Migdal Haemek,Amigur,free,Apartment
קרית שמונה,2800,1.0,3,51.5,23/05/2024,עמידר,פנויה,06/09/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
ערד,2560,2.0,4,47.0,23/05/2024,עמידר,פנויה,28/02/2022,דירה ,Arad,Amidar,free,Apartment
מעלות-תרשיחא,1063,3.0,4,65.0,23/05/2024,עמידר,פנויה,12/11/2023,דירה ,Tarshiha,Amidar,free,Apartment
דימונה,2200,4.0,3,76.6,23/05/2024,עמידר,פנויה,29/07/2018,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.0,4,48.0,23/05/2024,עמידר,פנויה,29/06/2021,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,4.0,4,89.0,23/05/2024,עמידר,פנויה,05/01/2020,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.0,3,48.0,23/05/2024,עמידר,פנויה,29/12/2021,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.5,2,48.0,23/05/2024,עמידר,פנויה,27/12/2023,דירה ,Beer Sheva,Amidar,free,Apartment
באר שבע,9000,2.0,2,48.0,23/05/2024,עמידר,פנויה,05/09/2022,דירה ,Beer Sheva,Amidar,free,Apartment
קרית שמונה,2800,2.0,2,67.5,23/05/2024,עמידר,פנויה,15/06/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
דימונה,2200,2.0,2,48.0,23/05/2024,עמידר,פנויה,05/07/2022,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,3.0,3,53.1,23/05/2024,עמידר,פנויה,15/08/2023,דירה ,Dimona,Amidar,free,Apartment
בית שאן,9200,3.0,4,65.0,23/05/2024,עמידר,פנויה,29/10/2023,דירה ,Beit Shean,Amidar,free,Apartment
ערד,2560,1.0,4,30.0,23/05/2024,עמידר,פנויה,19/09/2023,דירה ,Arad,Amidar,free,Apartment
בית שאן,9200,3.0,3,84.0,23/05/2024,עמידר,פנויה,24/12/2023,דירה ,Beit Shean,Amidar,free,Apartment
ערד,2560,2.0,4,52.0,23/05/2024,עמידר,פנויה,25/07/2023,דירה ,Arad,Amidar,free,Apartment
דימונה,2200,3.0,3,54.0,23/05/2024,עמידר,פנויה,02/08/2021,דירה ,Dimona,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,62.7,23/05/2024,עמידר,פנויה,04/07/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
עפולה,7700,2.0,2,46.0,23/05/2024,עמידר,פנויה,15/05/2022,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,2,46.0,23/05/2024,עמידר,פנויה,15/05/2022,דירה ,Afula,Amidar,free,Apartment
ערד,2560,2.0,3,54.0,23/05/2024,עמידר,פנויה,22/06/2023,דירה ,Arad,Amidar,free,Apartment
דימונה,2200,3.0,2,58.0,23/05/2024,עמידר,פנויה,25/10/2021,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.5,1,42.4,23/05/2024,עמידר,פנויה,07/11/2022,דירה ,Beer Sheva,Amidar,free,Apartment
נוף הגליל,1061,3.0,3,53.3,23/05/2024,עמידר,פנויה,29/08/2022,דירה ,The view of the Galilee,Amidar,free,Apartment
מצפה רמון,99,3.0,1,72.0,23/05/2024,עמידר,פנויה,14/12/2020,דירה ,Mitzpe Ramon,Amidar,free,Apartment
נוף הגליל,1061,1.0,4,31.27,23/05/2024,עמידר,פנויה,09/05/2023,דירה ,The view of the Galilee,Amidar,free,Apartment
קרית ארבע,3611,3.0,3,75.0,23/05/2024,עמידר,פנויה,15/10/2023,דירה ,Kiryat Arba,Amidar,free,Apartment
קצרין,4100,3.0,2,75.0,23/05/2024,"שו""פ",פנויה,02/01/2023,דירה ,Katzrin,Co. Ltd,free,Apartment
אופקים,31,3.0,2,54.0,23/05/2024,עמיגור,פנויה,07/11/2023,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,2,49.0,23/05/2024,עמיגור,פנויה,29/11/2022,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,2,55.0,23/05/2024,עמיגור,פנויה,03/12/2023,דירה ,horizons,Amigur,free,Apartment
אופקים,31,3.0,3,64.0,23/05/2024,עמיגור,פנויה,09/08/2022,דירה ,horizons,Amigur,free,Apartment
נתיבות,246,2.0,4,52.0,23/05/2024,עמיגור,פנויה,24/09/2020,דירה ,routes,Amigur,free,Apartment
דימונה,2200,2.0,3,47.0,23/05/2024,עמידר,פנויה,09/02/2021,דירה ,Dimona,Amidar,free,Apartment
ירוחם,831,3.0,3,72.0,23/05/2024,עמידר,פנויה,10/09/2020,דירה ,Yeruham,Amidar,free,Apartment
באר שבע,9000,2.0,4,47.0,23/05/2024,עמידר,פנויה,16/03/2020,דירה ,Beer Sheva,Amidar,free,Apartment
ערד,2560,2.0,4,52.0,23/05/2024,עמידר,פנויה,08/06/2022,דירה ,Arad,Amidar,free,Apartment
חצור הגלילית,2034,3.0,3,70.0,23/05/2024,עמידר,פנויה,14/04/2022,דירה ,Hazor HaGalilit,Amidar,free,Apartment
דימונה,2200,3.0,4,70.0,23/05/2024,עמידר,פנויה,02/11/2022,דירה ,Dimona,Amidar,free,Apartment
מצפה רמון,99,3.0,4,64.8,23/05/2024,עמידר,פנויה,18/02/2024,דירה ,Mitzpe Ramon,Amidar,free,Apartment
באר שבע,9000,2.5,1,48.3,23/05/2024,עמידר,פנויה,03/07/2022,דירה ,Beer Sheva,Amidar,free,Apartment
קרית שמונה,2800,2.0,4,57.0,23/05/2024,עמידר,פנויה,16/03/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
דימונה,2200,3.0,3,53.1,23/05/2024,עמידר,פנויה,16/05/2022,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.0,2,51.0,23/05/2024,עמידר,פנויה,27/04/2021,דירה ,Beer Sheva,Amidar,free,Apartment
קרית גת,2630,2.0,3,48.0,23/05/2024,עמידר,פנויה,07/12/2023,דירה ,Kiryat Gat,Amidar,free,Apartment
עפולה,7700,2.0,3,46.5,23/05/2024,עמידר,פנויה,04/04/2021,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,3,46.5,23/05/2024,עמידר,פנויה,04/04/2021,דירה ,Afula,Amidar,free,Apartment
נוף הגליל,1061,1.0,3,37.0,23/05/2024,עמידר,פנויה,10/11/2022,דירה ,The view of the Galilee,Amidar,free,Apartment
נוף הגליל,1061,1.0,5,34.0,23/05/2024,עמידר,פנויה,17/12/2023,דירה ,The view of the Galilee,Amidar,free,Apartment
קרית שמונה,2800,3.0,2,63.3,23/05/2024,עמידר,פנויה,19/06/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
נשר,2500,2.0,2,57.0,23/05/2024,עמידר,פנויה,10/12/2023,דירה ,Nesher,Amidar,free,Apartment
קרית שמונה,2800,2.0,4,57.0,23/05/2024,עמידר,פנויה,18/05/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
ירוחם,831,2.0,2,48.0,23/05/2024,עמידר,פנויה,05/04/2022,דירה ,Yeruham,Amidar,free,Apartment
באר שבע,9000,3.0,4,57.0,23/05/2024,עמידר,פנויה,08/05/2023,דירה ,Beer Sheva,Amidar,free,Apartment
באר שבע,9000,2.0,2,53.0,23/05/2024,עמידר,פנויה,06/12/2023,דירה ,Beer Sheva,Amidar,free,Apartment
בית שאן,9200,2.0,3,63.0,23/05/2024,עמידר,פנויה,04/01/2024,דירה ,Beit Shean,Amidar,free,Apartment
באר שבע,9000,2.5,2,45.0,23/05/2024,עמידר,פנויה,21/12/2021,דירה ,Beer Sheva,Amidar,free,Apartment
ערד,2560,2.0,4,38.0,23/05/2024,עמידר,פנויה,29/05/2022,דירה ,Arad,Amidar,free,Apartment
קצרין,4100,1.0,1,44.0,23/05/2024,"שו""פ",פנויה,10/12/2023,דירה ,Katzrin,Co. Ltd,free,Apartment
תל אביב -יפו,5000,1.5,1,31.86,23/05/2024,חלמיש,פנויה,27/11/2022,דירה ,Tel Aviv Jaffa,flint,free,Apartment
ערד,2560,2.0,4,57.0,23/05/2024,עמידר,פנויה,03/01/2022,דירה ,Arad,Amidar,free,Apartment
קרית גת,2630,2.0,4,48.0,23/05/2024,עמידר,פנויה,07/01/2024,דירה ,Kiryat Gat,Amidar,free,Apartment
חיפה,4000,1.0,3,40.0,23/05/2024,שקמונה,פנויה,01/05/2023,דירה ,Haifa,Shakmona,free,Apartment
קצרין,4100,3.0,2,75.0,23/05/2024,"שו""פ",פנויה,24/10/2023,דירה ,Katzrin,Co. Ltd,free,Apartment
מעלה אפרים,3608,3.0,2,77.0,23/05/2024,"שו""פ",פנויה,01/01/2021,דירה ,Maale Ephraim,Co. Ltd,free,Apartment
נתיבות,246,3.0,3,70.0,23/05/2024,עמיגור,פנויה,23/11/2023,דירה ,routes,Amigur,free,Apartment
נתיבות,246,2.0,3,52.0,23/05/2024,עמיגור,פנויה,08/12/2022,דירה ,routes,Amigur,free,Apartment
נתיבות,246,3.0,4,70.0,23/05/2024,עמיגור,פנויה,18/09/2023,דירה ,routes,Amigur,free,Apartment
אופקים,31,3.0,1,64.0,23/05/2024,עמיגור,פנויה,07/05/2023,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,1,37.0,23/05/2024,עמיגור,פנויה,09/03/2022,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,2,55.0,23/05/2024,עמיגור,פנויה,01/03/2023,דירה ,horizons,Amigur,free,Apartment
ירוחם,831,2.0,3,48.0,23/05/2024,עמידר,פנויה,11/04/2021,דירה ,Yeruham,Amidar,free,Apartment
מצפה רמון,99,3.0,4,72.0,23/05/2024,עמידר,פנויה,10/10/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
ערד,2560,2.0,4,57.0,23/05/2024,עמידר,פנויה,16/03/2021,דירה ,Arad,Amidar,free,Apartment
אור עקיבא,1020,1.5,2,33.0,23/05/2024,עמידר,פנויה,26/11/2023,דירה ,Or Akiva,Amidar,free,Apartment
מצפה רמון,99,3.0,3,74.0,23/05/2024,עמידר,פנויה,26/02/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
מצפה רמון,99,3.0,2,58.8,23/05/2024,עמידר,פנויה,20/10/2022,דירה ,Mitzpe Ramon,Amidar,free,Apartment
מעלות-תרשיחא,1063,2.0,3,46.0,23/05/2024,עמידר,פנויה,01/08/2022,דירה ,Tarshiha,Amidar,free,Apartment
באר שבע,9000,2.0,4,47.0,23/05/2024,עמידר,פנויה,18/11/2019,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,3.0,1,62.0,23/05/2024,עמידר,פנויה,15/12/2022,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.0,4,47.0,23/05/2024,עמידר,פנויה,18/10/2021,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,2.0,4,48.0,23/05/2024,עמידר,פנויה,04/07/2022,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.0,3,48.0,23/05/2024,עמידר,פנויה,12/03/2020,דירה ,Dimona,Amidar,free,Apartment
קרית שמונה,2800,2.0,4,60.6,23/05/2024,עמידר,פנויה,28/11/2022,דירה ,Kiryat Shmona,Amidar,free,Apartment
דימונה,2200,2.0,2,46.3,23/05/2024,עמידר,פנויה,02/03/2023,דירה ,Dimona,Amidar,free,Apartment
קרית גת,2630,2.0,3,52.0,23/05/2024,עמידר,פנויה,25/01/2024,דירה ,Kiryat Gat,Amidar,free,Apartment
ירוחם,831,3.0,2,73.0,23/05/2024,עמידר,פנויה,25/03/2021,דירה ,Yeruham,Amidar,free,Apartment
דימונה,2200,3.0,4,63.0,23/05/2024,עמידר,פנויה,08/08/2021,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.5,2,53.1,23/05/2024,עמידר,פנויה,11/04/2022,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,3.0,4,54.0,23/05/2024,עמידר,פנויה,27/06/2022,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,3.0,3,54.0,23/05/2024,עמידר,פנויה,30/12/2019,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.0,2,52.0,23/05/2024,עמידר,פנויה,28/12/2022,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,3.0,3,53.1,23/05/2024,עמידר,פנויה,27/12/2020,דירה ,Dimona,Amidar,free,Apartment
מצפה רמון,99,3.0,4,79.0,23/05/2024,עמידר,פנויה,11/10/2020,דירה ,Mitzpe Ramon,Amidar,free,Apartment
קרית ארבע,3611,3.0,5,75.0,23/05/2024,עמידר,פנויה,29/09/2023,דירה ,Kiryat Arba,Amidar,free,Apartment
שדרות,1031,3.0,3,61.0,23/05/2024,עמיגור,פנויה,23/03/2023,דירה ,Sderot,Amigur,free,Apartment
ירוחם,831,3.0,4,72.0,23/05/2024,עמידר,פנויה,30/08/2020,דירה ,Yeruham,Amidar,free,Apartment
ירוחם,831,2.0,3,48.0,23/05/2024,עמידר,פנויה,14/12/2021,דירה ,Yeruham,Amidar,free,Apartment
באר שבע,9000,2.5,2,45.0,23/05/2024,עמידר,פנויה,11/12/2022,דירה ,Beer Sheva,Amidar,free,Apartment
מצפה רמון,99,2.5,1,53.9,23/05/2024,עמידר,פנויה,29/03/2022,דירה ,Mitzpe Ramon,Amidar,free,Apartment
דימונה,2200,2.0,4,56.0,23/05/2024,עמידר,פנויה,14/02/2023,דירה ,Dimona,Amidar,free,Apartment
מצפה רמון,99,3.0,4,79.0,23/05/2024,עמידר,פנויה,03/11/2020,דירה ,Mitzpe Ramon,Amidar,free,Apartment
מצפה רמון,99,5.0,2,110.0,23/05/2024,עמידר,פנויה,26/08/2019,דירה ,Mitzpe Ramon,Amidar,free,Apartment
צפת,8000,2.0,3,50.0,23/05/2024,עמידר,פנויה,09/03/2023,דירה ,Zefat,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,60.3,23/05/2024,עמידר,פנויה,14/09/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
באר שבע,9000,2.0,2,47.9,23/05/2024,עמידר,פנויה,05/12/2022,דירה ,Beer Sheva,Amidar,free,Apartment
באר שבע,9000,2.0,4,47.0,23/05/2024,עמידר,פנויה,06/01/2022,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,2.0,2,48.0,23/05/2024,עמידר,פנויה,23/03/2023,דירה ,Dimona,Amidar,free,Apartment
מעלות-תרשיחא,1063,2.0,3,46.0,23/05/2024,עמידר,פנויה,29/11/2022,דירה ,Tarshiha,Amidar,free,Apartment
באר שבע,9000,2.5,2,49.0,23/05/2024,עמידר,פנויה,15/07/2021,דירה ,Beer Sheva,Amidar,free,Apartment
עפולה,7700,2.0,7,49.5,23/05/2024,עמידר,פנויה,07/12/2021,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,7,49.5,23/05/2024,עמידר,פנויה,07/12/2021,דירה ,Afula,Amidar,free,Apartment
דימונה,2200,3.0,3,54.0,23/05/2024,עמידר,פנויה,30/08/2022,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.5,1,42.0,23/05/2024,עמידר,פנויה,06/12/2023,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,3.0,3,54.0,23/05/2024,עמידר,פנויה,15/02/2021,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.0,4,52.0,23/05/2024,עמידר,פנויה,28/07/2020,דירה ,Dimona,Amidar,free,Apartment
ירוחם,831,3.0,3,54.0,23/05/2024,עמידר,פנויה,31/10/2021,דירה ,Yeruham,Amidar,free,Apartment
חצור הגלילית,2034,2.0,4,48.0,23/05/2024,עמידר,פנויה,27/01/2022,דירה ,Hazor HaGalilit,Amidar,free,Apartment
חצור הגלילית,2034,2.0,4,48.0,23/05/2024,עמידר,פנויה,11/08/2021,דירה ,Hazor HaGalilit,Amidar,free,Apartment
ירוחם,831,2.0,1,44.0,23/05/2024,עמידר,פנויה,09/12/2021,דירה ,Yeruham,Amidar,free,Apartment
בית שאן,9200,3.0,2,63.0,23/05/2024,עמידר,פנויה,28/01/2024,דירה ,Beit Shean,Amidar,free,Apartment
באר שבע,9000,2.5,1,48.0,23/05/2024,עמידר,פנויה,04/07/2023,דירה ,Beer Sheva,Amidar,free,Apartment
נוף הגליל,1061,2.0,5,50.0,23/05/2024,עמידר,פנויה,06/08/2023,דירה ,The view of the Galilee,Amidar,free,Apartment
בית שמש,2610,3.0,4,87.0,23/05/2024,עמידר,פנויה,15/01/2024,דירה ,Beit Shemesh,Amidar,free,Apartment
מעלה אפרים,3608,3.0,2,77.0,23/05/2024,"שו""פ",פנויה,01/11/2020,דירה ,Maale Ephraim,Co. Ltd,free,Apartment
קרית שמונה,2800,2.0,5,66.0,23/05/2024,עמידר,פנויה,06/09/2022,דירה ,Kiryat Shmona,Amidar,free,Apartment
מעלות-תרשיחא,1063,3.0,3,54.0,23/05/2024,עמידר,פנויה,02/03/2023,דירה ,Tarshiha,Amidar,free,Apartment
עפולה,7700,2.0,3,49.0,23/05/2024,עמידר,פנויה,01/08/2021,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,3,49.0,23/05/2024,עמידר,פנויה,01/08/2021,דירה ,Afula,Amidar,free,Apartment
בית שאן,9200,3.0,3,65.0,23/05/2024,עמידר,פנויה,01/11/2023,דירה ,Beit Shean,Amidar,free,Apartment
