Committee symbol,ballot id,settlement name,settlement ID,Ballot num,concentrate,Judge,BZB,Voters,Rejected,Accepted,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
10,4620,Even Yehuda,182,5.0,5,0,644,440,2,438,32,0,2,2,0,0,21,0,1,0,0,0,0,0,1,12,139,2,0,0,1,0,216,0,0,0,0,0,0,9
10,4621,Even Yehuda,182,6.0,7,0,629,485,2,483,39,4,2,1,0,0,13,0,0,0,0,0,0,0,0,10,76,0,0,0,0,0,334,0,0,0,0,0,0,4
10,4622,Even Yehuda,182,8.0,2,0,482,365,1,364,25,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,196,0,0,0,3,0,89,0,0,0,0,0,0,35
10,4623,Even Yehuda,182,9.1,4,0,634,500,1,499,56,3,1,1,0,0,8,0,0,0,0,0,0,0,0,14,106,0,0,0,1,0,306,0,0,0,0,0,0,3
10,4624,Even Yehuda,182,9.2,4,0,634,487,2,485,60,1,4,0,0,0,8,0,0,0,0,0,0,0,0,13,75,0,0,0,0,0,321,0,0,0,0,0,0,3
10,4625,Even Yehuda,182,9.3,4,0,634,497,1,496,62,2,2,0,0,0,10,0,0,0,0,0,0,0,0,11,98,0,0,0,0,0,309,0,0,0,0,0,0,2
10,4626,Even Yehuda,182,9.4,4,0,634,506,5,501,57,0,1,0,0,0,6,0,0,0,0,0,0,0,0,9,86,0,0,0,1,0,340,0,0,0,0,0,0,1
10,4627,Even Yehuda,182,9.5,4,0,634,470,3,467,45,7,1,0,0,0,8,0,0,0,0,0,0,0,0,9,97,0,0,0,1,0,291,0,0,0,0,0,0,8
10,4628,Even Yehuda,182,9.6,4,0,634,485,0,485,43,4,1,0,0,0,10,0,0,0,0,0,0,0,0,13,80,0,0,0,0,0,331,0,0,0,0,0,0,3
10,4629,Even Yehuda,182,9.7,4,0,634,498,2,496,60,0,4,1,0,0,6,0,0,0,0,0,0,0,0,14,78,0,0,0,0,0,330,1,0,0,0,0,0,2
10,4630,Even Yehuda,182,10.0,3,0,648,469,2,467,30,3,0,1,0,0,16,0,0,1,0,0,0,0,0,22,134,0,0,0,3,0,246,0,0,0,0,0,0,11
10,4631,Even Yehuda,182,12.0,8,0,633,487,2,485,66,1,4,1,0,0,10,0,0,0,0,0,0,0,0,16,69,0,0,0,0,0,312,0,0,0,0,0,0,6
10,4632,Even Yehuda,182,13.0,2,0,480,379,1,378,11,9,1,1,0,0,42,0,0,0,0,0,0,0,0,8,209,0,0,0,6,0,71,0,0,0,0,0,0,20
6,2203,Even Menachem,1081,1.0,1,0,281,193,0,193,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,125,0,0,0,1,0,33,0,0,0,0,0,0,20
2,744,Sapphire stone,783,1.0,2,0,497,351,2,349,19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,219,0,0,0,2,0,73,0,0,0,0,0,0,13
17,9114,Ibn Shmuel,400,1.0,1,0,472,401,0,401,2,13,0,0,0,0,176,0,0,0,0,0,0,0,0,0,160,0,0,0,5,0,9,0,0,0,0,0,0,36
17,9115,Ibn Shmuel,400,2.0,1,0,440,386,2,384,2,14,0,0,0,0,123,0,0,0,0,0,0,0,0,0,188,1,0,0,1,0,4,0,0,0,0,0,0,51
4,1426,Solid stones,4011,1.0,1,0,402,311,0,311,4,5,1,0,0,0,158,0,0,0,0,0,1,0,0,1,92,0,0,0,17,0,23,0,0,0,0,0,0,9
10,4741,Gems,3793,1.0,3,0,515,408,1,407,2,10,0,0,0,0,198,0,0,0,0,0,0,0,0,0,149,0,0,0,12,0,0,0,0,0,0,0,0,36
10,4742,Gems,3793,2.0,3,0,592,474,0,474,0,10,0,0,0,0,202,0,0,0,0,0,0,0,0,0,188,0,0,0,11,0,4,1,0,0,0,0,0,58
18,9742,Absalom,1311,1.0,1,0,250,158,1,157,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,74,41,1,0,0,0,0,35,0,0,0,0,0,0,0
2,961,Adora,3759,1.0,1,0,246,191,0,191,5,4,1,0,0,0,60,0,0,0,0,0,0,0,0,4,72,1,0,0,9,0,32,0,0,0,0,0,0,3
5,1573,mighty,113,1.0,1,0,233,183,0,183,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58
6,2204,Adamite,1068,1.0,1,0,354,195,0,195,56,0,14,0,0,0,3,0,0,0,0,0,0,0,0,18,36,1,0,0,0,0,65,1,0,0,0,0,0,1
2,826,cloak,1123,1.0,1,0,570,409,1,408,13,4,0,0,0,0,49,0,0,0,0,0,0,0,0,1,238,1,0,0,3,0,53,0,0,0,0,0,0,46
10,4633,Thank you,446,1.0,1,0,401,297,0,297,32,0,3,0,0,0,4,0,0,0,0,0,0,0,0,8,54,0,0,1,0,0,190,1,0,0,0,0,0,4
10,4634,Thank you,446,2.0,1,0,406,318,1,317,52,1,1,0,0,0,5,0,0,0,0,0,0,0,0,11,35,0,0,0,1,0,206,0,0,0,0,0,0,5
3,1282,redness,4010,1.0,1,0,121,89,0,89,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,54,0,0,0,0,0,0,1
18,9743,Fan,1046,1.0,1,0,267,185,0,185,6,0,2,0,0,0,16,0,0,0,0,0,0,0,0,1,81,0,0,0,0,0,73,0,0,0,0,0,0,6
9,3998,Umm al-Fahm,2710,1.0,1,0,722,436,5,431,3,0,424,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3999,Umm al-Fahm,2710,2.0,28,0,779,492,1,491,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,4000,Umm al-Fahm,2710,3.0,3,0,650,424,2,422,3,0,412,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
9,4001,Umm al-Fahm,2710,4.0,3,0,755,501,1,500,1,0,496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,4002,Umm al-Fahm,2710,5.0,3,0,726,478,2,476,0,0,467,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0
9,4003,Umm al-Fahm,2710,6.0,5,0,696,455,2,453,2,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
9,4004,Umm al-Fahm,2710,7.0,27,0,695,371,3,368,3,0,361,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9,4005,Umm al-Fahm,2710,8.0,1,0,619,345,1,344,1,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4006,Umm al-Fahm,2710,9.0,7,0,673,422,0,422,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4007,Umm al-Fahm,2710,10.0,8,0,579,443,2,441,5,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
9,4008,Umm al-Fahm,2710,11.0,9,0,659,441,6,435,1,0,428,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0
9,4009,Umm al-Fahm,2710,12.0,10,0,549,332,0,332,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
9,4010,Umm al-Fahm,2710,14.0,12,0,586,379,4,375,2,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4011,Umm al-Fahm,2710,16.0,16,0,546,338,6,332,2,0,322,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0
9,4012,Umm al-Fahm,2710,17.0,16,0,550,321,0,321,0,0,315,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
9,4013,Umm al-Fahm,2710,18.0,15,0,773,473,4,469,1,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
9,4014,Umm al-Fahm,2710,19.0,16,0,755,489,3,486,4,0,478,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4015,Umm al-Fahm,2710,20.0,17,0,736,433,1,432,1,0,426,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
9,4016,Umm al-Fahm,2710,21.0,4,0,721,479,2,477,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0
9,4017,Umm al-Fahm,2710,22.0,31,0,549,356,2,354,4,0,347,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4018,Umm al-Fahm,2710,23.0,1,0,688,453,2,451,0,0,442,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1
9,4019,Umm al-Fahm,2710,24.0,15,0,755,441,2,439,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0
9,4020,Umm al-Fahm,2710,25.0,31,0,617,404,0,404,2,0,399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,4021,Umm al-Fahm,2710,26.0,30,0,646,435,2,433,1,0,425,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0
9,4022,Umm al-Fahm,2710,27.0,10,0,459,274,4,270,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
9,4023,Umm al-Fahm,2710,28.0,30,0,747,408,3,405,0,0,401,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
9,4024,Umm al-Fahm,2710,29.0,26,0,705,384,3,381,1,1,378,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4025,Umm al-Fahm,2710,30.0,7,0,658,388,1,387,1,0,381,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
9,4026,Umm al-Fahm,2710,31.0,21,0,588,407,2,405,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,4027,Umm al-Fahm,2710,32.1,13,0,624,483,3,480,19,0,459,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4028,Umm al-Fahm,2710,32.2,13,0,624,395,1,394,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0
9,4029,Umm al-Fahm,2710,32.3,13,0,624,418,4,414,2,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1
9,4030,Umm al-Fahm,2710,33.0,8,0,599,450,2,448,2,0,444,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4031,Umm al-Fahm,2710,34.0,26,0,513,331,5,326,0,0,321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
9,4032,Umm al-Fahm,2710,35.0,3,0,655,383,5,378,2,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
9,4033,Umm al-Fahm,2710,36.0,16,0,731,472,1,471,0,0,469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,4034,Umm al-Fahm,2710,37.0,10,0,599,336,3,333,4,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,4035,Umm al-Fahm,2710,39.0,12,0,570,337,4,333,1,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1
9,4036,Umm al-Fahm,2710,41.0,28,0,712,503,1,502,1,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4037,Umm al-Fahm,2710,42.0,29,0,783,475,2,473,0,0,468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
9,4038,Umm al-Fahm,2710,43.0,7,0,616,378,1,377,2,0,368,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1
9,4039,Umm al-Fahm,2710,44.0,28,0,630,367,1,366,0,0,363,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4040,Umm al-Fahm,2710,45.0,5,0,756,519,0,519,5,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
9,4041,Umm al-Fahm,2710,46.0,5,0,594,379,2,377,1,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4042,Umm al-Fahm,2710,47.0,12,0,666,372,0,372,2,0,360,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0
9,4043,Umm al-Fahm,2710,48.0,16,0,771,505,5,500,0,0,491,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,1
9,4044,Umm al-Fahm,2710,49.0,29,0,595,394,0,394,3,0,388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
9,4045,Umm al-Fahm,2710,50.0,17,0,735,487,4,483,1,0,480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4046,Umm al-Fahm,2710,51.0,3,0,646,394,2,392,1,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,4047,Umm al-Fahm,2710,52.0,10,0,591,349,3,346,1,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
9,4048,Umm al-Fahm,2710,53.0,4,0,559,338,3,335,1,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,4049,Umm al-Fahm,2710,54.0,4,0,540,352,2,350,1,0,346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,4050,Umm al-Fahm,2710,55.0,8,0,594,364,5,359,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
9,4051,Umm al-Fahm,2710,56.0,4,0,599,402,0,402,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1
9,4052,Umm al-Fahm,2710,57.0,10,0,604,350,1,349,1,0,346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,3802,Umm Alkatuf,2024,1.0,1,0,717,580,1,579,10,0,558,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0
18,9894,Um Batin,1358,1.0,1,0,691,381,2,379,2,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,2
18,9895,Um Batin,1358,2.0,1,0,640,382,4,378,0,0,373,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
18,9896,Um Batin,1358,3.0,1,0,680,395,2,393,1,0,384,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0
