Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments
ירושלים,3000,2023,22,1956954.545,30,2378333.333
ירושלים,3000,2024,3,1910000,7,2346428.571
כפר סבא,6900,2017,1,1780000,2,1687500
כפר סבא,6900,2018,4,1370000,1,1430000
כפר סבא,6900,2019,1,1752495,2,1420000
כפר סבא,6900,2020,1,1590000,,
כפר סבא,6900,2022,1,1960000,,
כפר סבא,6900,2023,3,2449333.333,8,2473750
לוד,7000,2017,,,2,1060000
לוד,7000,2018,3,1026666.667,5,1172000
לוד,7000,2019,10,1058000,7,1245714.286
לוד,7000,2020,1,1100000,2,1320000
לוד,7000,2022,3,1161666.667,8,1299875
לוד,7000,2023,1,1110000,,
מודיעין עילית,3797,2022,,,1,1820000
מודיעין עילית,3797,2023,1,1790000,4,2140000
נהריה,9100,2017,4,820000,7,1073142.857
נהריה,9100,2018,15,755666.6666,7,1128428.571
נהריה,9100,2019,2,800000,,
נהריה,9100,2021,,,1,1015000
נהריה,9100,2022,,,3,1417666.667
נהריה,9100,2023,2,1210000,11,1421363.636
נס ציונה,7200,2017,,,1,1700000
נס ציונה,7200,2020,3,1755000,,
נצרת,7300,2018,,,1,865000
נצרת,7300,2019,1,500000,1,660000
נצרת,7300,2020,2,535000,,
נצרת,7300,2024,1,780000,,
נתניה,7400,2017,24,1317916.667,17,1539176.471
נתניה,7400,2018,51,1367254.902,20,1560250
נתניה,7400,2019,11,1276363.636,1,1950000
נתניה,7400,2020,4,1330000,,
נתניה,7400,2021,1,1320000,1,1530000
נתניה,7400,2022,2,1877500,12,2183250
נתניה,7400,2023,10,1814000,35,2352885.714
נתניה,7400,2024,1,1515000,,
עכו,7600,2017,2,745000,,
עכו,7600,2018,,,2,954000
עכו,7600,2019,,,6,962000
עכו,7600,2020,6,591000,10,833000
עכו,7600,2021,1,620000,2,1013500
עכו,7600,2022,5,963000,5,1204000
עכו,7600,2023,,,1,1300000
עפולה,7700,2017,3,671666.6666,,
עפולה,7700,2018,1,710000,3,771666.6666
עפולה,7700,2019,,,1,920000
עפולה,7700,2022,,,1,900000
עפולה,7700,2023,,,1,1540000
פתח תקוה,7900,2017,19,1375578.947,11,1632090.909
פתח תקוה,7900,2018,38,1383078.947,23,1644652.174
פתח תקוה,7900,2019,3,1393333.333,5,1701000
פתח תקוה,7900,2020,2,1490000,,
פתח תקוה,7900,2021,2,1435000,6,1715000
פתח תקוה,7900,2022,2,1910000,18,2257716.667
פתח תקוה,7900,2023,19,1986315.789,14,2416285.714
פתח תקוה,7900,2024,4,2027500,2,2320000
קרית אתא,6800,2017,3,875000,1,800000
קרית אתא,6800,2018,1,770000,5,881000
קרית אתא,6800,2019,,,1,1030000
קרית אתא,6800,2022,,,1,2498708
קרית אתא,6800,2023,,,1,1800000
קרית גת,2630,2018,28,815000,11,1107727.273
קרית גת,2630,2019,2,827500,1,877000
קרית גת,2630,2023,2,1522000,5,1722000
קרית גת,2630,2024,1,1405000,,
ראש העין,2640,2017,1,1340000,3,1431666.667
ראש העין,2640,2018,3,1380000,3,1473333.333
ראש העין,2640,2019,1,1300000,4,1662500
ראש העין,2640,2022,,,1,2970000
ראש העין,2640,2023,,,7,2507857.143
ראשון לציון,8300,2017,6,1455000,1,1580000
ראשון לציון,8300,2018,28,1422428.571,9,1638333.333
ראשון לציון,8300,2019,6,1505500,3,1681666.667
ראשון לציון,8300,2020,,,1,1950000
ראשון לציון,8300,2021,,,1,1630000
ראשון לציון,8300,2022,1,1845000,5,2100000
ראשון לציון,8300,2023,13,2189230.769,9,2397777.778
ראשון לציון,8300,2024,1,2010000,1,2543000
רחובות,8400,2017,6,1226666.667,2,1482000
רחובות,8400,2018,13,1262384.615,11,1651818.182
רחובות,8400,2019,1,1060000,,
רחובות,8400,2020,1,1430000,,
רחובות,8400,2022,4,2034750,7,2191428.571
רחובות,8400,2023,8,1760000,10,2452300
רחובות,8400,2024,1,1740000,1,2130000
רמלה,8500,2017,1,940000,4,1312500
רמלה,8500,2018,7,971000,13,1293076.923
רמלה,8500,2019,15,1018933.333,9,1363888.889
רמלה,8500,2020,8,1016875,,
רמלה,8500,2022,1,1380000,4,1622500
רמלה,8500,2023,3,1636666.667,4,2087500
רמלה,8500,2024,2,1170000,1,2070000
רמת גן,8600,2017,3,1673333.333,,
רמת גן,8600,2018,3,1677000,1,1680000
רמת גן,8600,2019,5,1668000,1,1950000
רמת גן,8600,2020,5,1766000,2,1890000
רמת גן,8600,2022,1,2290000,,
רמת גן,8600,2023,5,2298000,,
רמת גן,8600,2024,1,2120000,,
רעננה,8700,2017,,,1,1955000
רעננה,8700,2018,1,1890000,,
רעננה,8700,2020,1,1700000,,
רעננה,8700,2023,,,2,2570000
תל אביב -יפו,5000,2017,23,1556956.522,6,1660833.333
תל אביב -יפו,5000,2018,16,1577500,13,1712692.308
תל אביב -יפו,5000,2019,11,1514636.364,3,1765000
תל אביב -יפו,5000,2020,5,1507800,1,1870000
תל אביב -יפו,5000,2021,1,1570000,,
תל אביב -יפו,5000,2022,1,2645000,,
תל אביב -יפו,5000,2023,16,2172100.5,5,2378384.4
תל אביב -יפו,5000,2024,4,2070000,1,2500000
